step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.115565,2.032041,19.772663,19.655273,19.662462,19.673546,19.677958,19.675371,1.009018,1.003027,1.003394,1.003959,1.004184,1.004052,19.723272,19.669880,19.659378,19.660604,19.661072,19.653713,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02209210,2.00948644,2.01443291,2.01923656,2.01856112,2.02045345,0.99114764,0.99585074,0.99371433,0.99093664,0.99010783,0.98852265,7.61582684e-05,3.01648892e-04,3.55065895e-05,3.02516564e-05,2.92949208e-05,3.10057876e-05,2.92417644e-05
1000,5.912983,1.765404,19.828329,19.684988,19.761768,19.816586,19.862364,19.820480,1.011857,1.004541,1.008454,1.011248,1.013582,1.011448,19.632393,19.711525,19.684708,19.711193,19.744410,19.722700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03088665,2.01544452,2.04312515,2.05943012,2.07160521,2.05530000,0.99109918,0.99601698,0.98674858,0.98052901,0.97427601,0.97801620,4.62842678e-04,9.93636902e-04,2.70350225e-04,3.30400653e-04,3.80398997e-04,4.28668165e-04,3.73601128e-04
1500,5.369141,1.614112,19.668304,19.686979,19.886387,19.989222,20.065578,19.953163,1.003688,1.004636,1.014789,1.020030,1.023917,1.018199,19.372837,19.710323,19.622269,19.669437,19.787611,19.771616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00703263,2.01831961,2.08348775,2.12694931,2.14779234,2.08549523,1.00793445,1.00365949,0.98719949,0.98154950,0.97379154,0.97445220,1.59289952e-03,2.07625865e-03,9.33440635e-04,1.41888624e-03,1.65855116e-03,1.85921951e-03,1.61104091e-03
2000,5.005623,1.515337,19.355909,19.640104,19.924551,20.047316,20.130777,19.989231,0.987741,1.002231,1.016708,1.022966,1.027211,1.020024,18.934332,19.690147,19.472469,19.560980,19.846333,19.895254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.94906032,2.01094246,2.10917521,2.16068387,2.18290329,2.09717250,1.04341912,1.02536857,1.01436365,1.01566350,1.00542021,0.97884315,3.06528089e-03,2.81651202e-03,1.91236869e-03,3.01831588e-03,3.50300991e-03,3.83618986e-03,3.30528896e-03
2500,4.764208,1.445163,19.090370,19.592691,19.915113,20.025845,20.133078,20.013670,0.974180,0.999794,1.016202,1.021845,1.027302,1.021260,18.421362,19.653164,19.306299,19.433781,20.050728,20.160650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.89692259,2.00246572,2.11729026,2.16066051,2.18697476,2.10600877,1.07767141,1.05143416,1.05486751,1.06106842,1.04352283,0.98069245,4.14407610e-03,2.98844837e-03,2.73251021e-03,4.31187637e-03,4.91493102e-03,5.31370193e-03,4.60298872e-03
3000,4.565138,1.387238,18.870655,19.547455,19.895634,19.984919,20.122353,20.037045,0.962959,0.997466,1.015181,1.019733,1.026727,1.022440,17.883930,19.594254,19.132530,19.305315,20.387785,20.460629,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.85699189,1.99495327,2.11856675,2.14829636,2.18382144,2.11437821,1.10668600,1.07678914,1.09758985,1.10471213,1.07882988,0.97979808,4.94597736e-03,2.98482436e-03,3.42408172e-03,5.32810576e-03,5.93861751e-03,6.37901947e-03,5.62121533e-03
3500,4.424254,1.349675,18.692167,19.501516,19.885567,19.955502,20.117836,20.063694,0.953840,0.995101,1.014640,1.018211,1.026471,1.023786,17.375513,19.537903,18.970743,19.186634,20.632919,20.680647,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.82562900,1.98704088,2.12282801,2.13999033,2.18196011,2.12237382,1.13074100,1.10175908,1.13399088,1.13676441,1.10614944,0.97647071,5.51314768e-03,2.82993633e-03,3.95611767e-03,6.09989138e-03,6.65726000e-03,7.15007959e-03,6.38560113e-03
4000,4.340741,1.321536,18.539782,19.460493,19.877821,19.926701,20.109802,20.077568,0.946049,0.992990,1.014217,1.016721,1.026037,1.024484,16.902916,19.481329,18.818359,19.077673,20.817944,20.856361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79966283,1.98063779,2.12696457,2.13142467,2.17507863,2.12690330,1.15194845,1.12761879,1.16915131,1.16482818,1.13028657,0.97283220,5.91236846e-03,2.65980163e-03,4.37769759e-03,6.66985661e-03,7.12963659e-03,7.69243529e-03,6.94478303e-03
4500,4.262816,1.301142,18.403997,19.433041,19.870827,19.898132,20.099899,20.095404,0.939107,0.991568,1.013835,1.015242,1.025509,1.025377,16.466858,19.425600,18.679306,18.978428,20.956602,21.009649,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.77775514,1.97999728,2.12994051,2.12266731,2.16808248,2.13214660,1.17163837,1.15006053,1.20257103,1.18905985,1.14919782,0.96853197,6.18981190e-03,2.51734490e-03,4.68416931e-03,7.09673623e-03,7.44005479e-03,8.05869885e-03,7.34186731e-03
5000,4.213912,1.284464,18.298758,19.403784,19.869858,19.872648,20.087952,20.102554,0.933723,0.990054,1.013757,1.013924,1.024882,1.025730,16.070555,19.371384,18.554287,18.892599,21.076908,21.150337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.76041257,1.97788644,2.13440633,2.11519790,2.15865922,2.13356733,1.18885744,1.17429411,1.23136258,1.20801091,1.16749644,0.96459371,6.36784224e-03,2.39742571e-03,4.91455011e-03,7.39212614e-03,7.63238966e-03,8.27117264e-03,7.59938918e-03
5500,4.176936,1.270127,18.205379,19.384411,19.865204,19.846668,20.077118,20.109018,0.928945,0.989048,1.013500,1.012584,1.024311,1.026047,15.715365,19.320242,18.442362,18.816912,21.175671,21.283037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74629724,1.97889054,2.13577008,2.10870361,2.15016055,2.13550234,1.20443892,1.19459414,1.26087248,1.22361553,1.18016553,0.95988113,6.47559355e-03,2.32551969e-03,5.07988874e-03,7.58451084e-03,7.72294262e-03,8.39036144e-03,7.75033794e-03
6000,4.116742,1.258255,18.132631,19.371029,19.872210,19.829634,20.073353,20.116102,0.925222,0.988344,1.013834,1.011694,1.024103,1.026396,15.400368,19.267572,18.340015,18.748894,21.265020,21.394093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73504663,1.98135126,2.14152718,2.10353112,2.14326739,2.13728714,1.21847904,1.21502948,1.28538752,1.23662078,1.19298363,0.95561159,6.52660934e-03,2.24936474e-03,5.20155067e-03,7.70249311e-03,7.74836075e-03,8.43430776e-03,7.82357901e-03
