step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.134984,2.036140,19.812075,19.688679,19.689672,19.678795,19.701189,19.694994,1.011029,1.004731,1.004782,1.004227,1.005369,1.005052,19.726620,19.687742,19.684120,19.667488,19.658230,19.653126,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03172779,2.01642990,2.01683640,2.01581907,2.02135134,2.02045226,0.98999715,0.99350393,0.99199289,0.99150199,0.98879713,0.98952061,1.11639321e-04,2.93778139e-04,8.23021328e-05,7.78333560e-05,7.54944704e-05,7.23370904e-05,6.80907397e-05
1000,5.957432,1.779205,19.909885,19.787752,19.887777,19.925041,19.941467,19.883629,1.016014,1.009781,1.014879,1.016782,1.017620,1.014665,19.642012,19.722107,19.729551,19.729504,19.747049,19.735531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.05502319,2.03700614,2.07182002,2.08467197,2.08833504,2.06624913,1.00340211,0.99044770,0.97698611,0.96994323,0.96832782,0.98138767,7.68537371e-04,1.12667598e-03,7.40825781e-04,6.56578282e-04,6.34660479e-04,6.47994631e-04,8.04489071e-04
1500,5.430500,1.635771,19.733948,19.984259,20.267412,20.398354,20.456341,20.366310,1.007026,1.019783,1.034198,1.040893,1.043842,1.039260,19.382555,19.731140,19.701166,19.723017,19.847818,19.808210,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01471257,2.08957982,2.19247651,2.24037910,2.23661208,2.18142843,1.07071817,1.00114226,0.97838151,0.96281916,0.95789516,0.96384311,3.01187090e-03,3.14501859e-03,3.01914359e-03,2.88688438e-03,2.85368273e-03,2.93285144e-03,3.23364465e-03
2000,5.076817,1.535133,18.849409,20.250792,20.718288,20.961439,21.055758,20.903294,0.961859,1.033332,1.057111,1.069561,1.074354,1.066601,19.048521,19.733778,19.600643,19.673912,20.009296,19.912397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79266632,2.18595290,2.36994290,2.44383574,2.43440056,2.30231166,1.23227811,1.05949295,1.03731406,1.00612402,1.00842547,0.98225516,6.59498906e-03,5.96927293e-03,6.68251049e-03,6.63185865e-03,6.62490120e-03,6.69497810e-03,6.96641300e-03
2500,4.848426,1.471970,17.857689,20.513985,21.138956,21.426220,21.659817,21.421432,0.911081,1.046700,1.078482,1.093212,1.105106,1.092975,18.723173,19.750099,19.468033,19.608610,20.299530,20.022396,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.56982327,2.28318405,2.54903936,2.59859562,2.64063048,2.41167331,1.42701972,1.16143346,1.13533831,1.09299946,1.08805406,1.02245831,1.01051393e-02,8.46995041e-03,1.03134541e-02,1.03460643e-02,1.03482502e-02,1.04478113e-02,1.07053053e-02
3000,4.659211,1.418214,17.002024,20.738276,21.482283,21.739849,22.261457,21.959137,0.867126,1.058068,1.095908,1.109158,1.135734,1.120334,18.397673,19.748072,19.331156,19.544151,20.744287,20.133854,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.38651061,2.36108661,2.67821264,2.64634442,2.83791637,2.51098919,1.64640903,1.30167019,1.26618242,1.20864129,1.19497013,1.06955123,1.34378777e-02,1.06326966e-02,1.37775764e-02,1.38975559e-02,1.38151878e-02,1.41008720e-02,1.44033777e-02
3500,4.515584,1.377205,16.262707,20.915527,21.828863,22.063623,22.819710,22.487873,0.829052,1.067041,1.113487,1.125627,1.164151,1.147228,18.079868,19.752558,19.186731,19.481014,21.089436,20.226412,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.23430026,2.40337014,2.79111218,2.68656993,2.99128461,2.58927202,1.89122593,1.47091722,1.41005599,1.33358824,1.32584810,1.12182248,1.66448210e-02,1.24777323e-02,1.70896780e-02,1.73602849e-02,1.71541385e-02,1.76761150e-02,1.81109775e-02
4000,4.432721,1.350655,15.580164,21.089567,22.167414,22.399878,23.333721,22.990025,0.793800,1.075836,1.130657,1.142730,1.190316,1.172767,17.779415,19.758005,19.052050,19.426348,21.339872,20.321785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.12132013,2.43956947,2.89425421,2.73983526,3.08725619,2.64355087,2.16507268,1.66354859,1.57346821,1.46821773,1.47465384,1.18414164,1.97131345e-02,1.40883718e-02,2.02432126e-02,2.06880663e-02,2.03794446e-02,2.11463533e-02,2.17333585e-02
4500,4.357953,1.330183,14.958707,21.256113,22.488855,22.739668,23.806622,23.475019,0.761573,1.084239,1.146937,1.160017,1.214403,1.197427,17.482100,19.747385,18.940151,19.380182,21.536797,20.412680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.05981922,2.46464419,2.97053838,2.79761815,3.14492488,2.67773390,2.47034335,1.87733710,1.74911165,1.60875142,1.64195335,1.24865961,2.26314672e-02,1.55063672e-02,2.32333913e-02,2.38639582e-02,2.34620571e-02,2.44600549e-02,2.52629742e-02
5000,4.310090,1.313461,14.543067,21.424362,22.799997,23.059277,24.238222,23.917858,0.739796,1.092719,1.162702,1.176276,1.236365,1.219943,17.185404,19.718512,18.846010,19.346165,21.717367,20.507589,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.05556178,2.48872924,3.03558731,2.84167886,3.15262675,2.68719959,2.79736400,2.11401868,1.93816042,1.76412463,1.83036292,1.32181334,2.53806418e-02,1.68182850e-02,2.60328837e-02,2.68616881e-02,2.63635386e-02,2.75876187e-02,2.86198370e-02
