step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,8.134542,2.309337,19.653475,19.604643,19.603100,19.603767,19.603573,19.602600,1.002935,1.000444,1.000365,1.000400,1.000390,1.000341,19.687860,19.641880,19.627653,19.622913,19.623890,19.624388,9.50648549e-05,2.92197627e-04,6.82891259e-05,5.69232907e-05,5.21597394e-05,5.13976847e-05,4.94216620e-05
1000,6.498971,1.932969,19.690269,19.611437,19.611633,19.609112,19.610359,19.610775,1.004811,1.000790,1.000800,1.000672,1.000735,1.000756,19.708275,19.708736,19.700800,19.700378,19.700094,19.687454,2.63263045e-04,5.70367672e-04,2.12218147e-04,2.04431824e-04,1.86989040e-04,1.99315022e-04,2.06256562e-04
1500,5.943293,1.793786,19.707256,19.620173,19.619753,19.615137,19.614470,19.616371,1.005677,1.001234,1.001212,1.000977,1.000941,1.001039,19.681059,19.725893,19.729538,19.739676,19.752432,19.742199,6.07281448e-04,8.77781073e-04,5.38726337e-04,5.43913280e-04,5.30591467e-04,5.60054323e-04,5.92622207e-04
2000,5.587622,1.690768,19.717678,19.627066,19.625196,19.621101,19.617113,19.614351,1.006208,1.001583,1.001486,1.001277,1.001072,1.000932,19.623180,19.726984,19.740116,19.755987,19.777828,19.795561,1.21084983e-03,1.38234242e-03,1.11409964e-03,1.14464411e-03,1.16125238e-03,1.21469481e-03,1.24806562e-03
2500,5.307451,1.608943,19.717466,19.629271,19.626303,19.619131,19.608868,19.595333,1.006196,1.001691,1.001536,1.001171,1.000644,0.999955,19.513906,19.717840,19.740000,19.747597,19.781591,19.874844,2.13142760e-03,2.14927760e-03,2.00727698e-03,2.09306180e-03,2.13463884e-03,2.20418908e-03,2.20012129e-03
3000,5.094744,1.548017,19.703619,19.623295,19.617910,19.605459,19.585537,19.555840,1.005486,1.001380,1.001099,1.000465,0.999443,0.997930,19.361612,19.701742,19.725752,19.714987,19.765368,19.984110,3.43906740e-03,3.24258604e-03,3.30197602e-03,3.45467567e-03,3.50950588e-03,3.58991488e-03,3.53574590e-03
3500,4.924742,1.499117,19.668921,19.606106,19.597828,19.577490,19.545786,19.495249,1.003711,1.000494,1.000060,0.999027,0.997402,0.994822,19.156551,19.678934,19.691269,19.661133,19.727386,20.148525,5.21178505e-03,4.70949104e-03,5.07760514e-03,5.30728418e-03,5.37350401e-03,5.45909489e-03,5.34373103e-03
4000,4.801554,1.459520,19.610518,19.569647,19.560299,19.532249,19.484062,19.411613,1.000725,0.998622,0.998130,0.996705,0.994233,0.990531,18.885513,19.651150,19.621246,19.603487,19.670624,20.443680,7.49573174e-03,6.56675175e-03,7.37906992e-03,7.69923255e-03,7.76798697e-03,7.85810314e-03,7.70324608e-03
4500,4.653368,1.418066,19.518007,19.514629,19.497433,19.460728,19.396610,19.305246,0.995996,0.995801,0.994904,0.993037,0.989752,0.985069,18.511768,19.621187,19.513077,19.523169,19.597387,20.893002,1.03322614e-02,8.76901299e-03,1.02599645e-02,1.06852697e-02,1.07375998e-02,1.08306119e-02,1.07111093e-02
5000,4.545949,1.385466,19.388489,19.440512,19.416620,19.371521,19.289322,19.178810,0.989376,0.991999,0.990756,0.988464,0.984250,0.978563,18.073896,19.602123,19.380226,19.419617,19.517813,21.274567,1.37419264e-02,1.12257162e-02,1.37410630e-02,1.42934397e-02,1.43422205e-02,1.44456197e-02,1.44034997e-02
5500,4.466823,1.355787,19.237648,19.358009,19.329020,19.277214,19.177563,19.046928,0.981664,0.987770,0.986260,0.983624,0.978522,0.971773,17.621735,19.593136,19.248262,19.325588,19.452736,21.556997,1.72166379e-02,1.34999538e-02,1.73094515e-02,1.79924332e-02,1.80846248e-02,1.81756075e-02,1.82377566e-02
6000,4.378168,1.335358,19.076384,19.272030,19.236217,19.177990,19.061468,18.907459,0.973422,0.983363,0.981496,0.978537,0.972578,0.964581,17.184038,19.588709,19.125288,19.236319,19.404985,21.809412,2.06388288e-02,1.55492797e-02,2.08665021e-02,2.16775723e-02,2.18052547e-02,2.18647979e-02,2.20695660e-02
6500,4.326979,1.321035,18.908365,19.184072,19.145523,19.076178,18.941462,18.767538,0.964832,0.978854,0.976840,0.973321,0.966426,0.957361,16.760153,19.594284,19.012650,19.165812,19.362226,22.029688,2.40008269e-02,1.74269229e-02,2.43774429e-02,2.53244787e-02,2.54798830e-02,2.55118720e-02,2.58843619e-02
7000,4.273965,1.307016,18.730509,19.095249,19.051052,18.970060,18.818695,18.629927,0.955740,0.974301,0.971996,0.967880,0.960128,0.950256,16.359667,19.604620,18.909916,19.095921,19.333961,22.230394,2.73164402e-02,1.91566832e-02,2.78461874e-02,2.89451256e-02,2.91211195e-02,2.91266777e-02,2.97028478e-02
7500,4.238024,1.294770,18.544584,19.010582,18.958458,18.863894,18.693268,18.487848,0.946239,0.969957,0.967244,0.962441,0.953709,0.942908,15.980611,19.615139,18.816219,19.043196,19.315825,22.417875,3.05848888e-02,2.08125617e-02,3.12806182e-02,3.25266756e-02,3.27213481e-02,3.26756909e-02,3.34924385e-02
8000,4.197946,1.286901,18.354786,18.924541,18.864138,18.756227,18.569733,18.349489,0.936534,0.965544,0.962398,0.956924,0.947387,0.935751,15.630927,19.630239,18.732180,18.993155,19.301537,22.593878,3.38138975e-02,2.24137232e-02,3.46915722e-02,3.60634252e-02,3.62699665e-02,3.61966938e-02,3.72480042e-02
