step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.058530,2.012583,19.726328,19.621284,19.625711,19.629499,19.625137,19.626852,1.006653,1.001293,1.001519,1.001712,1.001490,1.001577,19.706203,19.667725,19.667532,19.664148,19.664595,19.655554,1.56727190e-04,4.16341180e-04,1.16179908e-04,9.92348141e-05,1.04431499e-04,1.04208571e-04,9.99671684e-05
1000,5.882017,1.756081,19.787914,19.652233,19.663074,19.683867,19.668295,19.672268,1.009794,1.002871,1.003422,1.004482,1.003688,1.003891,19.600922,19.696114,19.688017,19.708828,19.743647,19.720558,7.71626491e-04,1.09436281e-03,6.49052497e-04,6.38148631e-04,7.57595408e-04,7.38599454e-04,7.52000138e-04
1500,5.354291,1.609479,19.785870,19.701132,19.725313,19.751892,19.735270,19.718044,1.009685,1.005360,1.006588,1.007942,1.007094,1.006220,19.320019,19.686237,19.624109,19.665964,19.772936,19.768700,1.99309927e-03,2.38766894e-03,1.62901299e-03,1.73055578e-03,2.06168345e-03,2.06068088e-03,2.08899355e-03
2000,4.997176,1.511237,19.677206,19.737417,19.767395,19.766342,19.756084,19.723408,1.004134,1.007198,1.008718,1.008665,1.008140,1.006484,18.876766,19.657721,19.470654,19.557251,19.804533,19.864134,3.43600168e-03,3.86187085e-03,2.82949861e-03,3.02811828e-03,3.58753465e-03,3.67539283e-03,3.63359484e-03
2500,4.769386,1.448420,19.516102,19.744654,19.767672,19.737444,19.726706,19.706526,0.995907,1.007553,1.008713,1.007174,1.006626,1.005609,18.392502,19.609957,19.292280,19.435593,19.924381,20.077614,4.50214220e-03,4.82956506e-03,3.77645786e-03,4.01547179e-03,4.72043734e-03,4.88839857e-03,4.78252256e-03
3000,4.580010,1.392377,19.318403,19.727793,19.742344,19.688070,19.672960,19.674595,0.985810,1.006678,1.007401,1.004639,1.003864,1.003961,17.884623,19.542482,19.091314,19.318293,20.181288,20.387642,5.31684274e-03,5.45702595e-03,4.54781204e-03,4.82231937e-03,5.58342366e-03,5.81558468e-03,5.67489071e-03
3500,4.432742,1.351370,19.092567,19.704376,19.711037,19.641714,19.619461,19.633833,0.974278,1.005467,1.005784,1.002261,1.001114,1.001858,17.396990,19.469429,18.897171,19.205736,20.396633,20.612738,5.91409517e-03,5.74651733e-03,5.15883882e-03,5.45695843e-03,6.22835802e-03,6.54086145e-03,6.35303697e-03
4000,4.345309,1.323373,18.839373,19.676859,19.680918,19.599957,19.563633,19.588163,0.961346,1.004046,1.004227,1.000112,0.998244,0.999503,16.945978,19.395576,18.720478,19.091961,20.549904,20.780569,6.33279405e-03,5.79325482e-03,5.60910627e-03,5.94391301e-03,6.70493208e-03,7.07619824e-03,6.86935987e-03
4500,4.264804,1.302423,18.571766,19.650475,19.647337,19.562231,19.511721,19.538055,0.947680,1.002683,1.002494,0.998174,0.995578,0.996914,16.528934,19.320597,18.563978,18.990084,20.660326,20.915550,6.61527257e-03,5.67528000e-03,5.93785383e-03,6.29386399e-03,7.03695277e-03,7.48563232e-03,7.26205250e-03
5000,4.213625,1.284169,18.297403,19.624191,19.616453,19.526274,19.460140,19.488346,0.933661,1.001323,1.000896,0.996330,0.992930,0.994347,16.156820,19.242828,18.425646,18.899704,20.754877,21.029762,6.79113343e-03,5.46422694e-03,6.17640279e-03,6.54853415e-03,7.26006459e-03,7.76344258e-03,7.53412955e-03
5500,4.175475,1.270120,18.028927,19.601219,19.586500,19.491743,19.415689,19.438908,0.919940,1.000133,0.999351,0.994555,0.990647,0.991790,15.823962,19.168610,18.301487,18.813641,20.822842,21.133934,6.88479872e-03,5.21070091e-03,6.32982980e-03,6.71343226e-03,7.38055585e-03,7.94964656e-03,7.72462692e-03
6000,4.114739,1.257470,17.773941,19.580929,19.558743,19.461527,19.371946,19.391867,0.906907,0.999081,0.997922,0.993002,0.988398,0.989354,15.527982,19.095259,18.196501,18.744223,20.881983,21.226377,6.91748302e-03,4.91694547e-03,6.42648339e-03,6.81917742e-03,7.44452327e-03,8.05388764e-03,7.84388091e-03
6500,4.083233,1.247743,17.539785,19.562128,19.531551,19.433321,19.330910,19.346853,0.894930,0.998109,0.996518,0.991551,0.986290,0.987022,15.265022,19.027592,18.110060,18.682680,20.930141,21.307125,6.89258186e-03,4.61942423e-03,6.46658754e-03,6.85261376e-03,7.44164269e-03,8.08378775e-03,7.89143518e-03
7000,4.039719,1.238117,17.323349,19.545401,19.508575,19.408291,19.295860,19.305113,0.883855,0.997238,0.995333,0.990263,0.984492,0.984859,15.045269,18.965059,18.036808,18.624529,20.969534,21.384718,6.83213452e-03,4.32530046e-03,6.47222018e-03,6.84227236e-03,7.39623699e-03,8.06572102e-03,7.89105613e-03
7500,4.010880,1.229373,17.134748,19.528702,19.485336,19.383699,19.263939,19.266378,0.874197,0.996374,0.994137,0.988999,0.982855,0.982851,14.865447,18.903656,17.973902,18.583723,21.010202,21.452702,6.74205475e-03,4.05342272e-03,6.43445924e-03,6.78736484e-03,7.31384289e-03,8.00532848e-03,7.85791036e-03
8000,3.975916,1.223071,16.973803,19.515779,19.466946,19.363873,19.232698,19.232342,0.865950,0.995707,0.993191,0.987981,0.981248,0.981085,14.717027,18.848396,17.925600,18.546577,21.046497,21.517004,6.63101029e-03,3.79730808e-03,6.37580315e-03,6.71100337e-03,7.20515056e-03,7.90594239e-03,7.79085420e-03
