step,train_loss,val_bpb
200,9.615361,2.826022
400,8.568960,2.468638
600,7.491745,2.185825
800,6.845093,2.041957
1000,6.453105,1.952442
1200,6.197690,1.893205
1400,6.009429,1.840291
1600,5.853278,1.792711
1800,5.695228,1.751669
2000,5.559490,1.712165
2200,5.437632,1.678952
2400,5.329609,1.649107
2600,5.220388,1.616623
2800,5.129567,1.593463
3000,5.050705,1.569610
3200,4.982242,1.546764
3400,4.907229,1.527578
3600,4.834896,1.510529
3800,4.791018,1.491168
4000,4.726529,1.472683
4200,4.657833,1.454569
4400,4.598214,1.436713
4600,4.552517,1.421101
4800,4.498421,1.409914
5000,4.459127,1.393297
5200,4.424945,1.380679
5400,4.404930,1.370975
5600,4.344216,1.360563
5800,4.302958,1.350483
6000,4.279152,1.342486
6200,4.254911,1.335013
6400,4.227151,1.329303
6600,4.206481,1.322382
6800,4.199362,1.316001
7000,4.164456,1.309790
7200,4.135809,1.304932
7400,4.133576,1.299341
7600,4.112545,1.295836
7800,4.091438,1.291198
8000,4.080266,1.286253
8200,4.073771,1.282657
8400,4.057995,1.278862
8600,4.040820,1.275840
8800,4.029907,1.271581
9000,4.032985,1.269775
9200,4.014547,1.266195
9400,3.997371,1.263492
9600,3.992063,1.260917
9800,3.993706,1.258021
10000,3.971914,1.255707
10200,3.967734,1.253690
10400,3.979454,1.251502
10600,3.982942,1.248113
10800,3.946938,1.248365
11000,3.923064,1.245710
11200,3.928255,1.245063
11400,3.927697,1.242575
11600,3.914291,1.240074
11800,3.912280,1.239504
12000,3.908724,1.237257
12200,3.891271,1.236889
12400,3.884613,1.234482
12600,3.882457,1.233539
12800,3.875280,1.232421
13000,3.870992,1.231903
13200,3.862561,1.229968
13400,3.866921,1.227499
13600,3.859622,1.226715
13800,3.847924,1.224466
14000,3.848415,1.224663
14200,3.852578,1.222530
14400,3.840606,1.222232
14600,3.827893,1.220671
14800,3.829008,1.219425
15000,3.831814,1.219681
15200,3.817373,1.218682
15400,3.826168,1.218073
15600,3.848212,1.216397
15800,3.834297,1.215259
16000,3.809453,1.215028
16200,3.792533,1.213613
16400,3.795471,1.213426
16600,3.794711,1.212484
16800,3.796059,1.211723
17000,3.788627,1.211345
17200,3.793286,1.209467
17400,3.770367,1.208778
17600,3.778696,1.208011
17800,3.776802,1.208038
18000,3.764810,1.207433
18200,3.763033,1.206579
18400,3.755793,1.204887
18600,3.769600,1.204318
18800,3.756537,1.204451
19000,3.749674,1.204001
19200,3.748262,1.202872
19400,3.758316,1.203082
19600,3.745980,1.200772
19800,3.734311,1.200245
