step,train_loss,val_bpb
200,9.850770,2.902868
400,8.756637,2.513775
600,7.643326,2.219051
800,6.966398,2.060236
1000,6.528730,1.958055
1200,6.247013,1.890506
1400,6.049780,1.835961
1600,5.894556,1.790303
1800,5.738589,1.748829
2000,5.603581,1.713218
2200,5.479248,1.675921
2400,5.368451,1.639647
2600,5.257063,1.610407
2800,5.164265,1.585597
3000,5.084233,1.559098
3200,5.015561,1.539085
3400,4.942141,1.522348
3600,4.871872,1.504064
3800,4.832826,1.486686
4000,4.773631,1.469477
4200,4.712215,1.453107
4400,4.653381,1.435662
4600,4.604663,1.419660
4800,4.549639,1.403731
5000,4.508705,1.387201
5200,4.473622,1.377401
5400,4.453192,1.362086
5600,4.392697,1.352138
5800,4.351283,1.343825
6000,4.328321,1.334377
6200,4.306324,1.327023
6400,4.279899,1.322900
6600,4.259749,1.312557
6800,4.254735,1.308384
7000,4.219624,1.303121
7200,4.193749,1.298607
7400,4.192756,1.292763
7600,4.172914,1.288983
7800,4.153109,1.287702
8000,4.143286,1.282913
8200,4.137539,1.279208
8400,4.123608,1.275084
8600,4.107920,1.272561
8800,4.096204,1.269652
9000,4.100518,1.266954
9200,4.083077,1.264416
9400,4.066695,1.260368
9600,4.061163,1.258385
9800,4.062951,1.254515
10000,4.041409,1.253380
10200,4.036563,1.249321
10400,4.049157,1.248397
10600,4.052897,1.244734
10800,4.017949,1.243730
11000,3.993183,1.242338
11200,3.998766,1.241087
11400,3.998317,1.239172
11600,3.984922,1.236191
11800,3.982927,1.236037
12000,3.979515,1.233479
12200,3.963777,1.233538
12400,3.956647,1.231926
12600,3.954445,1.230499
12800,3.948003,1.229612
13000,3.943762,1.226074
13200,3.935605,1.226092
13400,3.940349,1.224200
13600,3.932372,1.222843
13800,3.922157,1.222583
14000,3.921319,1.221693
14200,3.926195,1.219987
14400,3.914663,1.219546
14600,3.903439,1.219083
14800,3.904268,1.216930
15000,3.907198,1.218079
15200,3.892932,1.216411
15400,3.900188,1.215499
15600,3.923456,1.213684
15800,3.908904,1.212391
16000,3.885201,1.210289
16200,3.868384,1.210150
16400,3.871589,1.209825
16600,3.870361,1.209436
16800,3.871469,1.206940
17000,3.863610,1.207962
17200,3.868968,1.205527
17400,3.847554,1.207579
17600,3.855293,1.205599
17800,3.852761,1.204625
18000,3.841552,1.204564
18200,3.840148,1.202959
18400,3.832182,1.201780
18600,3.846694,1.202084
18800,3.833209,1.201684
19000,3.827085,1.202664
19200,3.824869,1.201690
19400,3.836460,1.202083
19600,3.823367,1.200384
19800,3.812704,1.198389
20000,3.819352,1.198983
20200,3.813858,1.198853
20400,3.805801,1.196089
20600,3.809993,1.197545
20800,3.832238,1.196409
21000,3.821342,1.195354
21200,3.802281,1.195644
21400,3.790105,1.194713
21600,3.791345,1.193322
21800,3.792893,1.193515
22000,3.799357,1.192393
22200,3.790635,1.191785
22400,3.794254,1.190801
22600,3.772302,1.190215
22800,3.780352,1.190466
23000,3.778287,1.189940
23200,3.766466,1.190259
23400,3.768299,1.188841
23600,3.764903,1.188229
23800,3.778547,1.187683
24000,3.756087,1.186517
24200,3.755868,1.188644
24400,3.760852,1.188140
24600,3.760719,1.188176
24800,3.750970,1.186757
25000,3.743994,1.185295
25200,3.749298,1.185852
25400,3.748047,1.185968
25600,3.745746,1.184212
25800,3.740792,1.184456
26000,3.759327,1.183082
26200,3.743452,1.181792
26400,3.743914,1.181924
26600,3.728319,1.180871
26800,3.732243,1.181263
27000,3.724513,1.182043
27200,3.735265,1.180088
27400,3.733150,1.179282
27600,3.730907,1.179996
27800,3.709980,1.178540
28000,3.717868,1.179534
28200,3.718045,1.179050
28400,3.702164,1.178310
28600,3.704107,1.177496
28800,3.701934,1.175805
29000,3.712393,1.177333
29200,3.693602,1.174840
29400,3.695240,1.176691
29600,3.699227,1.176717
29800,3.698810,1.174468
30000,3.687238,1.175248
30200,3.683473,1.174957
30400,3.689905,1.174227
30600,3.683147,1.174096
30800,3.685561,1.174143
31000,3.683351,1.173815
31200,3.708858,1.172929
31400,3.683032,1.172659
31600,3.677361,1.171845
31800,3.672557,1.171327
32000,3.680287,1.171519
32200,3.672609,1.171641
32400,3.675117,1.170370
32600,3.679891,1.169062
32800,3.670337,1.169572
33000,3.657335,1.169346
33200,3.661173,1.167104
33400,3.660447,1.168382
33600,3.651870,1.168392
33800,3.648651,1.168209
34000,3.647970,1.166838
34200,3.660056,1.167134
34400,3.644142,1.166898
34600,3.638986,1.166612
34800,3.653032,1.167241
35000,3.649353,1.166049
35200,3.635945,1.166173
35400,3.635654,1.165805
35600,3.642249,1.166492
35800,3.633094,1.165625
36000,3.636322,1.164909
36200,3.641819,1.164404
36400,3.660517,1.164281
36600,3.633533,1.164054
36800,3.627509,1.163679
37000,3.619915,1.163942
37200,3.627963,1.163345
37400,3.624062,1.162121
37600,3.623269,1.162184
37800,3.635423,1.161972
38000,3.621632,1.162478
38200,3.609537,1.162694
38400,3.611472,1.160879
38600,3.613869,1.161348
38800,3.599785,1.162267
39000,3.602448,1.161285
39200,3.603708,1.160818
39400,3.615487,1.159948
39600,3.599711,1.160186
39800,3.597778,1.160680
40000,3.608571,1.161071
40200,3.602807,1.160182
40400,3.589080,1.160185
40600,3.592872,1.159472
40800,3.604825,1.159560
41000,3.596011,1.159880
41200,3.595490,1.159095
41400,3.606050,1.160161
41600,3.622284,1.158750
41800,3.595839,1.158176
42000,3.584567,1.157991
42200,3.585482,1.158531
42400,3.590971,1.158010
42600,3.585613,1.157499
42800,3.585707,1.157982
43000,3.600326,1.157501
43200,3.580885,1.158160
43400,3.572009,1.157070
43600,3.580747,1.156642
43800,3.575252,1.156753
44000,3.571769,1.157134
44200,3.571871,1.156756
44400,3.575799,1.156833
44600,3.573410,1.155983
44800,3.567712,1.156382
45000,3.567082,1.157318
45200,3.579813,1.156128
45400,3.571406,1.157101
45600,3.566004,1.155765
45800,3.569734,1.155641
46000,3.578499,1.155987
46200,3.559686,1.156270
46400,3.570347,1.156068
46600,3.590140,1.156681
46800,3.598089,1.156382
47000,3.572663,1.155916
47200,3.549898,1.155789
47400,3.563308,1.155985
47600,3.570949,1.156145
47800,3.565032,1.156020
48000,3.565953,1.156018
