step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
500,8.182842,2.337763,19.685553,19.636370,19.650030,19.644903,19.648586,19.637205,1.004574,1.002063,1.002760,1.002499,1.002687,1.002106,19.680634,19.617867,19.619574,19.621002,19.626650,19.625582,0.49624223,0.49841127,0.49787164,0.49783713,0.49759439,0.49827436
1000,6.613428,1.967019,19.742298,19.645985,19.667686,19.680563,19.695496,19.694212,1.007469,1.002554,1.003661,1.004317,1.005079,1.005013,19.703913,19.651937,19.662064,19.678061,19.707132,19.709976,0.48852929,0.49712643,0.49603415,0.49495277,0.49441475,0.49418926
1500,6.021113,1.815590,19.773224,19.654663,19.697655,19.733173,19.774368,19.769295,1.009047,1.002996,1.005189,1.007000,1.009101,1.008841,19.681942,19.673090,19.685965,19.703611,19.767550,19.782150,0.47905844,0.49387172,0.48966563,0.48659641,0.48320580,0.48815480
2000,5.643749,1.706136,19.805683,19.664684,19.743303,19.811119,19.907295,19.885645,1.010702,1.003507,1.007514,1.010973,1.015878,1.014771,19.627396,19.680122,19.686096,19.706240,19.803930,19.850540,0.46561739,0.48624969,0.47540933,0.47095624,0.46577811,0.48078319
2500,5.334752,1.615494,19.800821,19.663677,19.797270,19.900141,20.063604,20.007977,1.010451,1.003453,1.010261,1.015509,1.023843,1.021004,19.520493,19.671598,19.658792,19.685740,19.817955,19.926926,0.44766086,0.47364148,0.45562881,0.44877392,0.44801077,0.47638607
3000,5.085312,1.541687,19.747551,19.658176,19.845076,19.981113,20.190542,20.108662,1.007731,1.003168,1.012691,1.019630,1.030307,1.026130,19.346107,19.649374,19.600897,19.637878,19.809908,20.032892,0.42494422,0.45530164,0.43083555,0.42513242,0.44368109,0.48622981
3500,4.880880,1.483259,19.646303,19.645924,19.871170,20.034470,20.271646,20.183037,1.002562,1.002537,1.014011,1.022341,1.034432,1.029915,19.104305,19.618082,19.506342,19.562067,19.778280,20.206736,0.40071872,0.43264315,0.40624496,0.40916061,0.45671245,0.51246512
4000,4.718130,1.430721,19.480850,19.615732,19.852140,20.025841,20.276262,20.230709,0.994114,1.000988,1.013029,1.021889,1.034652,1.032335,18.775961,19.577997,19.369984,19.457201,19.717222,20.551863,0.37701863,0.41141826,0.39145488,0.41045007,0.48432961,0.55329549
4500,4.548394,1.383698,19.228569,19.553719,19.797863,19.983072,20.235840,20.266809,0.981236,0.997811,1.010245,1.019693,1.032571,1.034161,18.357882,19.527344,19.186356,19.324451,19.633173,20.941133,0.35677627,0.39855981,0.38862073,0.42422637,0.51685321,0.60857093
5000,4.435045,1.348304,18.915895,19.453623,19.711044,19.904690,20.164118,20.274797,0.965274,0.992689,1.005800,1.015675,1.028895,1.034555,17.864063,19.466738,18.959494,19.174599,19.542219,21.263460,0.33920321,0.39299434,0.39412665,0.44344777,0.55254525,0.67543334
5500,4.348622,1.319345,18.601439,19.339306,19.612381,19.817455,20.078577,20.272022,0.949218,0.986841,1.000748,1.011207,1.024516,1.034400,17.375874,19.400763,18.723976,19.031694,19.460018,21.520733,0.32147110,0.39989680,0.40368167,0.46153253,0.58247495,0.74409187
6000,4.255373,1.297999,18.310934,19.222706,19.513876,19.714861,19.989929,20.257730,0.934385,0.980873,0.995701,1.005955,1.019970,1.033655,16.899906,19.331499,18.498146,18.901089,19.391182,21.744312,0.30880117,0.40348220,0.41153088,0.47683600,0.59651142,0.79656488
6500,4.201138,1.280895,18.026949,19.113041,19.409670,19.613245,19.895296,20.236794,0.919886,0.975259,0.990366,1.000751,1.015122,1.032575,16.445137,19.262323,18.278280,18.780811,19.324438,21.944420,0.29659000,0.40710968,0.42342353,0.48808634,0.60833055,0.83595592
7000,4.142987,1.266977,17.755415,18.993002,19.300695,19.500711,19.801731,20.216549,0.906018,0.969110,0.984784,0.994989,1.010327,1.031527,16.002419,19.200325,18.069273,18.673262,19.264297,22.128616,0.28524873,0.41255823,0.43014666,0.49857557,0.61835670,0.86013693
7500,4.103989,1.254283,17.492990,18.880007,19.195213,19.388828,19.701687,20.192732,0.892612,0.963325,0.979380,0.989266,1.005203,1.030289,15.579654,19.134527,17.871529,18.581034,19.207376,22.302834,0.27608204,0.41611758,0.43565160,0.50712669,0.61994117,0.87946141
8000,4.060807,1.245133,17.241140,18.769342,19.092541,19.283829,19.603424,20.167515,0.879751,0.957656,0.974116,0.983890,1.000172,1.028983,15.173547,19.070881,17.675270,18.495600,19.156729,22.465694,0.26745245,0.41674718,0.44261137,0.50809801,0.62413758,0.88942361
8500,4.026248,1.234423,16.997915,18.657621,18.984306,19.173889,19.510195,20.137440,0.867322,0.951928,0.968571,0.978265,0.995400,1.027424,14.787343,19.010384,17.491072,18.432467,19.117662,22.618673,0.26114783,0.42003232,0.44597611,0.51352787,0.62332368,0.89085668
9000,4.011615,1.227579,16.770464,18.543985,18.879082,19.070425,19.421093,20.110624,0.855702,0.946107,0.963175,0.972962,0.990832,1.026034,14.415895,18.953852,17.317411,18.388678,19.077637,22.760025,0.25344107,0.41866073,0.44409245,0.51154828,0.62088573,0.89219356
9500,3.967163,1.220514,16.543974,18.432182,18.776423,18.968533,19.330578,20.084436,0.844129,0.940381,0.957921,0.967743,0.986200,1.024673,14.066836,18.898497,17.148390,18.361830,19.042631,22.897625,0.25058204,0.41805512,0.44159663,0.50721139,0.61388254,0.88903558
10000,3.944530,1.213873,16.331347,18.330496,18.674305,18.869062,19.249508,20.063635,0.833259,0.935162,0.952686,0.962650,0.982046,1.023586,13.731235,18.847794,16.992773,18.337440,19.011251,23.030071,0.24513961,0.41692799,0.43918201,0.50461149,0.60826898,0.88006133
10500,3.948940,1.208566,16.129322,18.228924,18.578403,18.778158,19.169800,20.045944,0.822936,0.929954,0.947769,0.957990,0.977961,1.022661,13.415534,18.797245,16.838526,18.316198,18.985075,23.154716,0.24134901,0.41331381,0.43612683,0.50038785,0.60469878,0.87605071
11000,3.887797,1.203033,15.946863,18.129801,18.491129,18.690411,19.096935,20.023983,0.813607,0.924875,0.943286,0.953488,0.974232,1.021510,13.115419,18.750366,16.693531,18.302067,18.959265,23.286921,0.23539624,0.40827653,0.43080482,0.49529111,0.59420568,0.86717612
