step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
500,8.181104,2.332846,19.697554,19.643635,19.656769,19.648487,19.654936,19.644485,1.005186,1.002434,1.003104,1.002681,1.003011,1.002477,19.692127,19.631359,19.625389,19.623274,19.624187,19.624104,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1000,6.573935,1.954091,19.795673,19.664478,19.691172,19.715769,19.720289,19.716131,1.010192,1.003497,1.004859,1.006113,1.006344,1.006131,19.715837,19.682362,19.691788,19.699938,19.706215,19.693895,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1500,5.985026,1.805017,19.853756,19.683039,19.748369,19.815001,19.833788,19.801968,1.013155,1.004444,1.007774,1.011173,1.012130,1.010507,19.690083,19.703125,19.720318,19.747471,19.775335,19.754789,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2000,5.609146,1.695461,19.873461,19.706055,19.844631,19.954340,20.010359,19.932529,1.014159,1.005616,1.012677,1.018274,1.021127,1.017159,19.625834,19.710968,19.724142,19.770720,19.820881,19.808767,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2500,5.306324,1.606281,19.832041,19.727442,19.952805,20.102150,20.184151,20.044222,1.012044,1.006702,1.018182,1.025800,1.029975,1.022843,19.502039,19.703859,19.705776,19.775871,19.845737,19.877319,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3000,5.068437,1.538473,19.719378,19.743692,20.038971,20.208866,20.319670,20.122524,1.006293,1.007525,1.022561,1.031226,1.036867,1.026823,19.312523,19.682133,19.661531,19.757135,19.851837,19.973976,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3500,4.876069,1.483252,19.541048,19.733559,20.087675,20.258001,20.372095,20.160395,0.997190,1.006999,1.025029,1.033716,1.039522,1.028744,19.057562,19.648937,19.586397,19.719635,19.845415,20.136339,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4000,4.727780,1.434172,19.294737,19.684959,20.067968,20.215050,20.323988,20.165180,0.984616,1.004508,1.024007,1.031511,1.037050,1.028979,18.724840,19.605864,19.475241,19.659805,19.813488,20.467501,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4500,4.564858,1.388812,18.988686,19.603626,20.006319,20.107689,20.209349,20.144051,0.968991,1.000345,1.020839,1.026018,1.031184,1.027891,18.298435,19.552391,19.328720,19.565210,19.748266,20.865646,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
5000,4.454006,1.354290,18.622913,19.493818,19.901052,19.963425,20.073322,20.101353,0.950316,0.994721,1.015445,1.018640,1.024220,1.025700,17.804266,19.491554,19.146856,19.457495,19.677555,21.184475,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
5500,4.371970,1.326736,18.265724,19.365007,19.769157,19.815603,19.933151,20.046494,0.932076,0.988127,1.008691,1.011077,1.017041,1.022885,17.311047,19.432981,18.966105,19.355350,19.614761,21.425251,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
6000,4.282343,1.307070,17.932810,19.238724,19.638083,19.659451,19.789675,19.990376,0.915071,0.981666,1.001985,1.003091,1.009698,1.020005,16.825598,19.372715,18.785177,19.260700,19.559507,21.638660,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
6500,4.231103,1.290653,17.612593,19.104294,19.497023,19.501442,19.653559,19.938028,0.898712,0.974784,0.994759,0.995014,1.002723,1.017310,16.357897,19.319157,18.609850,19.181755,19.507198,21.823593,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
7000,4.175262,1.277202,17.312685,18.967922,19.364532,19.355875,19.521154,19.884846,0.883389,0.967802,0.987978,0.987568,0.995946,1.014572,15.908896,19.270653,18.443058,19.119007,19.465923,21.993223,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
7500,4.139761,1.265962,17.007744,18.835510,19.221123,19.209213,19.393442,19.831970,0.867804,0.961023,0.980634,0.980063,0.989408,1.011843,15.480995,19.222630,18.287302,19.068474,19.437254,22.149721,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
8000,4.098611,1.256297,16.719465,18.703354,19.080996,19.065403,19.264439,19.785410,0.853063,0.954253,0.973452,0.972708,0.982807,1.009439,15.069480,19.174892,18.130405,19.034691,19.411047,22.292082,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
8500,4.066036,1.247769,16.453367,18.579447,18.941397,18.931122,19.152546,19.739773,0.839451,0.947902,0.966304,0.965831,0.977070,1.007080,14.675894,19.128128,17.989233,19.015163,19.390821,22.431168,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
9000,4.054505,1.241611,16.181763,18.450300,18.810455,18.802952,19.037201,19.691547,0.825560,0.941287,0.959596,0.959270,0.971163,1.004584,14.298726,19.088808,17.860340,19.014248,19.370308,22.561115,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
9500,4.013072,1.234635,15.921410,18.319323,18.685572,18.677298,18.920366,19.646494,0.812239,0.934579,0.953196,0.952840,0.965179,1.002247,13.943038,19.047832,17.734764,19.017801,19.348732,22.687925,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
10000,3.994305,1.228481,15.683016,18.197605,18.557470,18.555958,18.817244,19.601398,0.800036,0.928338,0.946628,0.946621,0.959896,0.999911,13.609384,19.010309,17.617979,19.032991,19.337767,22.810608,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
10500,4.001334,1.222998,15.442138,18.085655,18.443932,18.441872,18.715429,19.562672,0.787706,0.922590,0.940802,0.940781,0.954675,0.997897,13.294310,18.975603,17.511017,19.052834,19.322678,22.929913,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
11000,3.944435,1.218664,15.215151,17.968208,18.332657,18.339085,18.616268,19.523714,0.776079,0.916568,0.935097,0.935518,0.949593,0.995866,13.001153,18.940889,17.409864,19.075119,19.314688,23.052097,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
11500,3.934049,1.214686,14.992350,17.864433,18.229763,18.233284,18.524755,19.480724,0.764664,0.911243,0.929807,0.930099,0.944896,0.993626,12.718843,18.910519,17.316355,19.107147,19.309168,23.168119,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
12000,3.928596,1.210884,14.780652,17.753834,18.131199,18.131950,18.429045,19.442802,0.753820,0.905567,0.924752,0.924913,0.939984,0.991647,12.467168,18.880476,17.227135,19.131002,19.310555,23.286304,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
12500,3.906642,1.207332,14.580564,17.656378,18.035210,18.037231,18.336540,19.405640,0.743570,0.900563,0.919823,0.920056,0.935245,0.989707,12.220259,18.858253,17.138603,19.155989,19.309855,23.400078,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
13000,3.891882,1.205341,14.380405,17.559917,17.941946,17.948360,18.251818,19.370600,0.733308,0.895602,0.915027,0.915497,0.930900,0.987874,11.990964,18.831028,17.064495,19.187914,19.310541,23.511448,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
13500,3.888741,1.201711,14.201447,17.462830,17.858658,17.859056,18.172585,19.333368,0.724139,0.890624,0.910738,0.910927,0.926830,0.985930,11.781408,18.811834,16.998842,19.216454,19.314009,23.618982,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
14000,3.867961,1.198668,14.018982,17.371418,17.771507,17.770029,18.097511,19.295698,0.714782,0.885928,0.906256,0.906351,0.922977,0.983964,11.583200,18.790977,16.933277,19.251078,19.325859,23.724779,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
14500,3.850851,1.196600,13.843176,17.285547,17.688194,17.681677,18.023945,19.260983,0.705760,0.881517,0.901974,0.901825,0.919194,0.982142,11.399640,18.776718,16.873734,19.283390,19.333916,23.827246,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
15000,3.850921,1.193846,13.678061,17.205532,17.614937,17.609972,17.949924,19.227854,0.697303,0.877413,0.898203,0.898141,0.915395,0.980406,11.225230,18.762812,16.823120,19.311119,19.339836,23.924774,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
15500,3.837413,1.191887,13.530010,17.123404,17.533918,17.533070,17.874510,19.194601,0.689690,0.873193,0.894051,0.894203,0.911523,0.978668,11.062992,18.751299,16.776375,19.341551,19.351398,24.026655,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
16000,3.826426,1.189230,13.386042,17.043991,17.461020,17.462017,17.808451,19.159250,0.682309,0.869095,0.890285,0.890557,0.908133,0.976810,10.916926,18.741505,16.730461,19.377445,19.364330,24.121809,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
16500,3.817602,1.187283,13.240194,16.972950,17.401453,17.392675,17.744318,19.128523,0.674819,0.865452,0.887220,0.887002,0.904836,0.975196,10.776763,18.735987,16.686049,19.409416,19.377523,24.213366,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
17000,3.804802,1.185985,13.111930,16.903286,17.336561,17.330971,17.688530,19.097380,0.668232,0.861859,0.883882,0.883836,0.901963,0.973558,10.648165,18.727478,16.648979,19.443691,19.386999,24.302437,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
17500,3.786014,1.184344,12.993158,16.836721,17.275270,17.267605,17.624350,19.070797,0.662135,0.858440,0.880729,0.880592,0.898673,0.972155,10.534963,18.721361,16.616142,19.477854,19.405054,24.395092,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
18000,3.779698,1.183161,12.872666,16.778076,17.226854,17.212082,17.572813,19.042673,0.655954,0.855426,0.878228,0.877740,0.896029,0.970678,10.425113,18.717237,16.583460,19.511942,19.421371,24.484713,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
18500,3.771932,1.181135,12.760303,16.715315,17.168510,17.160767,17.517750,19.018225,0.650190,0.852184,0.875226,0.875102,0.893197,0.969393,10.323068,18.716200,16.558821,19.545990,19.436024,24.572510,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
19000,3.764854,1.178944,12.658419,16.659552,17.122120,17.102058,17.466837,18.990585,0.644965,0.849317,0.872825,0.872085,0.890569,0.967938,10.229781,18.717216,16.532942,19.582966,19.457863,24.653902,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
19500,3.768919,1.178436,12.556199,16.607737,17.076370,17.055817,17.426077,18.964624,0.639708,0.846653,0.870469,0.869705,0.888468,0.966566,10.149182,18.718826,16.510468,19.620815,19.475960,24.734604,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
20000,3.755298,1.176621,12.462799,16.559935,17.032551,17.003717,17.379105,18.945314,0.634924,0.844199,0.868204,0.867028,0.886053,0.965539,10.063474,18.720621,16.493670,19.653173,19.494070,24.813881,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
20500,3.749832,1.175270,12.379276,16.511406,16.994282,16.965788,17.340456,18.924250,0.630646,0.841694,0.866222,0.865079,0.884069,0.964429,9.990172,18.723810,16.478670,19.688572,19.516109,24.894222,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
21000,3.755474,1.173349,12.292600,16.468388,16.950375,16.923883,17.298233,18.901688,0.626196,0.839476,0.863958,0.862922,0.881895,0.963238,9.923261,18.726086,16.462606,19.726221,19.539583,24.972954,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
21500,3.727324,1.172213,12.226554,16.428263,16.918022,16.884253,17.257719,18.881319,0.622795,0.837402,0.862286,0.860889,0.879812,0.962162,9.859948,18.730846,16.450054,19.759726,19.561039,25.045977,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
22000,3.732444,1.170787,12.164321,16.394333,16.887794,16.850647,17.222979,18.862860,0.619608,0.835646,0.860726,0.859153,0.878017,0.961186,9.803446,18.736736,16.435539,19.795006,19.582224,25.117146,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
22500,3.716500,1.170488,12.100994,16.359831,16.857880,16.814821,17.193836,18.844599,0.616351,0.833863,0.859172,0.857319,0.876520,0.960215,9.750038,18.743475,16.429068,19.829956,19.605978,25.191278,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
23000,3.709686,1.169519,12.037276,16.324013,16.833923,16.783354,17.166376,18.828613,0.613082,0.832021,0.857941,0.855699,0.875102,0.959368,9.704822,18.749773,16.423815,19.867273,19.627604,25.262098,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
23500,3.697443,1.167775,11.984631,16.299192,16.809879,16.754961,17.136372,18.815056,0.610375,0.830725,0.856688,0.854241,0.873556,0.958642,9.661876,18.756353,16.420511,19.901615,19.653297,25.332853,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
24000,3.687219,1.166995,11.937937,16.270290,16.785229,16.732971,17.115738,18.803131,0.607981,0.829237,0.855410,0.853110,0.872476,0.958001,9.623528,18.764725,16.416328,19.937666,19.673553,25.399601,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
24500,3.694681,1.164983,11.891515,16.242092,16.763582,16.706079,17.092955,18.789616,0.605593,0.827777,0.854279,0.851721,0.871303,0.957289,9.589438,18.775347,16.415277,19.976179,19.696812,25.462727,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
25000,3.672641,1.164466,11.849087,16.225140,16.748013,16.682734,17.073164,18.779959,0.603421,0.826910,0.853471,0.850518,0.870287,0.956765,9.561680,18.782715,16.413397,20.009733,19.722223,25.528379,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
25500,3.671731,1.163186,11.814335,16.201338,16.727760,16.662275,17.051426,18.771582,0.601647,0.825676,0.852414,0.849456,0.869162,0.956309,9.531769,18.793953,16.414762,20.045258,19.749512,25.593115,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
26000,3.687441,1.162170,11.782258,16.181921,16.714828,16.645981,17.035852,18.760441,0.599999,0.824673,0.851745,0.848626,0.868364,0.955720,9.507921,18.805536,16.414545,20.079378,19.773857,25.652731,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
26500,3.656475,1.161474,11.756244,16.165876,16.702950,16.628298,17.019480,18.753500,0.598652,0.823835,0.851121,0.847709,0.867525,0.955338,9.485886,18.814072,16.418844,20.113970,19.797266,25.709751,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
27000,3.649732,1.160677,11.733117,16.153563,16.695570,16.613710,17.005722,18.746574,0.597464,0.823193,0.850730,0.846956,0.866803,0.954960,9.466526,18.825361,16.422709,20.143887,19.823906,25.768858,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
27500,3.661900,1.159038,11.706042,16.146122,16.684996,16.597589,16.992294,18.741343,0.596063,0.822794,0.850180,0.846131,0.866103,0.954677,9.448436,18.835501,16.424212,20.178102,19.847908,25.825958,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
