step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,7.177272,2.052260,19.738228,19.631296,19.637030,19.647242,19.651176,19.648914,1.007262,1.001804,1.002097,1.002617,1.002818,1.002702,19.640305,19.620424,19.621307,19.636166,19.652361,19.668661
1000,6.023333,1.802735,19.766441,19.631466,19.645205,19.678406,19.703062,19.718052,1.008700,1.001812,1.002512,1.004206,1.005463,1.006226,19.480577,19.642685,19.632233,19.645479,19.720860,19.755947
1500,5.517173,1.660109,19.662451,19.575947,19.607504,19.658295,19.731932,19.768185,1.003388,0.998975,1.000583,1.003174,1.006928,1.008775,19.170784,19.630302,19.573418,19.593596,19.757784,19.861095
2000,5.160576,1.561216,19.344246,19.434902,19.489859,19.537302,19.674038,19.747086,0.987144,0.991769,0.994571,0.996989,1.003961,1.007686,18.703703,19.616220,19.428972,19.486113,19.774885,20.019073
2500,4.918876,1.494684,19.001820,19.270752,19.335247,19.371201,19.559832,19.701035,0.969664,0.983383,0.986670,0.988502,0.998118,1.005318,18.198002,19.613411,19.261385,19.378210,19.798445,20.304932
3000,4.721379,1.434491,18.658924,19.109945,19.162888,19.192148,19.406271,19.655508,0.952159,0.975167,0.977863,0.979352,0.990267,1.002975,17.691999,19.606789,19.086061,19.264381,19.795141,20.779547
3500,4.562913,1.390844,18.351179,18.959074,19.004599,19.028538,19.266518,19.618101,0.936447,0.967456,0.969773,0.970993,0.983116,1.001038,17.206211,19.592243,18.912455,19.161810,19.780912,21.176357
4000,4.465565,1.359228,18.070644,18.814688,18.864315,18.881815,19.137390,19.581284,0.922124,0.960072,0.962598,0.963492,0.976512,0.999134,16.747463,19.576796,18.749329,19.081842,19.771467,21.498272
4500,4.379510,1.336739,17.821959,18.676519,18.734238,18.749540,19.028269,19.550093,0.909424,0.953008,0.955947,0.956727,0.970932,0.997511,16.330194,19.556402,18.606947,19.018412,19.770586,21.759104
5000,4.322566,1.317523,17.596199,18.548611,18.611734,18.624969,18.929129,19.516939,0.897899,0.946465,0.949684,0.950357,0.965857,0.995792,15.945943,19.540705,18.480162,18.978695,19.781155,21.995253
5500,4.279843,1.301086,17.398617,18.434944,18.500961,18.516569,18.837889,19.495525,0.887810,0.940652,0.944016,0.944807,0.961186,0.994670,15.605182,19.526379,18.364882,18.957159,19.792633,22.201256
6000,4.215577,1.286814,17.226637,18.334547,18.408470,18.422550,18.757483,19.470680,0.879025,0.935517,0.939284,0.940000,0.957069,0.993374,15.306612,19.508944,18.268278,18.962223,19.809536,22.384762
6500,4.178692,1.275545,17.081457,18.245562,18.322491,18.334520,18.680872,19.448559,0.871611,0.930967,0.934884,0.935495,0.953148,0.992217,15.041282,19.493610,18.185236,18.983887,19.825186,22.551979
7000,4.131320,1.265523,16.954657,18.166700,18.247847,18.262028,18.624571,19.429470,0.865131,0.926929,0.931065,0.931784,0.950262,0.991215,14.819394,19.480022,18.106071,19.023216,19.844841,22.700480
7500,4.099760,1.255881,16.852879,18.097385,18.179728,18.193171,18.570686,19.416866,0.859932,0.923382,0.927579,0.928258,0.947501,0.990547,14.625957,19.464769,18.042505,19.079592,19.869137,22.836824
8000,4.061616,1.247948,16.779470,18.037468,18.132307,18.141977,18.521965,19.409966,0.856179,0.920314,0.925148,0.925635,0.945004,0.990177,14.464975,19.451130,17.990713,19.128279,19.892132,22.960693
8500,4.029463,1.240173,16.718220,17.993059,18.087378,18.100124,18.492035,19.405468,0.853049,0.918040,0.922850,0.923494,0.943470,0.989925,14.334588,19.438511,17.947344,19.185205,19.918489,23.067995
