step,train_loss,val_bpb
200,9.384242,2.617486
400,7.616392,2.136719
600,6.639723,1.946039
800,6.180277,1.846055
1000,5.881452,1.771423
1200,5.643244,1.708937
1400,5.445822,1.652617
1600,5.289762,1.605229
1800,5.134304,1.566579
2000,5.009292,1.531963
2200,4.911717,1.506747
2400,4.829238,1.482569
2600,4.735965,1.455473
2800,4.655521,1.434138
3000,4.586337,1.410500
3200,4.537439,1.392775
3400,4.477974,1.381245
3600,4.426522,1.368653
3800,4.405162,1.355364
4000,4.367253,1.345862
4200,4.327311,1.334324
4400,4.300172,1.326368
4600,4.285909,1.321110
4800,4.256905,1.313502
5000,4.244063,1.307284
5200,4.231954,1.301097
5400,4.231855,1.293878
5600,4.188086,1.289923
5800,4.162495,1.286705
6000,4.149497,1.281824
6200,4.136658,1.277432
6400,4.118160,1.273932
6600,4.105249,1.268642
6800,4.104540,1.265457
7000,4.075275,1.262242
7200,4.051405,1.258349
7400,4.054767,1.254608
7600,4.037383,1.251020
7800,4.020128,1.249402
8000,4.011606,1.246049
8200,4.007324,1.242492
8400,3.994851,1.240964
8600,3.979970,1.238104
8800,3.968844,1.235250
9000,3.973514,1.233867
9200,3.957331,1.232026
9400,3.940940,1.229028
9600,3.936817,1.226701
9800,3.939555,1.224033
10000,3.918718,1.221950
10200,3.915396,1.220595
10400,3.927596,1.217707
10600,3.930821,1.216424
10800,3.896230,1.214340
11000,3.871635,1.213832
11200,3.876191,1.211582
11400,3.875159,1.210476
11600,3.860291,1.208800
11800,3.858275,1.207707
12000,3.853662,1.206651
12200,3.836049,1.205068
12400,3.828539,1.203859
12600,3.826080,1.201635
12800,3.818559,1.201362
13000,3.814870,1.200316
13200,3.806089,1.199507
13400,3.810126,1.197506
13600,3.801768,1.197287
13800,3.792062,1.196459
14000,3.791134,1.195768
14200,3.795765,1.196681
14400,3.785206,1.194688
14600,3.773132,1.194949
14800,3.775714,1.194113
15000,3.779244,1.193739
15200,3.766527,1.192358
15400,3.775790,1.192522
15600,3.800171,1.192208
15800,3.786472,1.191424
16000,3.763999,1.191455
