step,train_loss,val_bpb
500,6.700669,1.908625
1000,5.609833,1.677125
1500,5.161784,1.558797
2000,4.893964,1.484455
2500,4.722177,1.437093
3000,4.593569,1.398901
3500,4.470094,1.363673
4000,4.386318,1.334976
4500,4.303454,1.313157
5000,4.251649,1.295470
5500,4.211115,1.280284
6000,4.147914,1.267720
6500,4.110980,1.257238
7000,4.061841,1.248347
7500,4.029983,1.239893
8000,3.991396,1.232209
8500,3.958358,1.225165
9000,3.943315,1.218808
9500,3.898968,1.213194
10000,3.878319,1.207918
10500,3.883939,1.203234
11000,3.820382,1.199002
11500,3.804104,1.195037
12000,3.793323,1.191760
12500,3.765130,1.188926
13000,3.746533,1.185952
13500,3.739643,1.183666
14000,3.717997,1.181453
14500,3.698311,1.179766
15000,3.698412,1.178411
15500,3.687212,1.177264
16000,3.677768,1.176615
