step,train_loss,val_bpb
200,9.383021,2.598834
400,7.636408,2.132653
600,6.674607,1.940054
800,6.207189,1.838174
1000,5.906684,1.765931
1200,5.671317,1.701452
1400,5.476547,1.646702
1600,5.326814,1.601939
1800,5.179024,1.564317
2000,5.060695,1.534672
2200,4.969185,1.507308
2400,4.895676,1.485766
2600,4.820133,1.467955
2800,4.756595,1.447649
3000,4.693679,1.427282
3200,4.638995,1.407320
3400,4.574142,1.392667
3600,4.517649,1.377989
3800,4.492390,1.365886
4000,4.451572,1.354434
4200,4.410089,1.346241
4400,4.380475,1.337487
4600,4.363105,1.330205
4800,4.335096,1.323404
5000,4.320491,1.317838
5200,4.309127,1.311701
5400,4.308378,1.305176
5600,4.264013,1.300557
5800,4.236721,1.295209
6000,4.224384,1.290910
6200,4.210486,1.286261
6400,4.191182,1.282845
6600,4.177681,1.277872
6800,4.176909,1.274748
7000,4.147314,1.271984
7200,4.123456,1.268167
7400,4.126700,1.265450
7600,4.108129,1.262185
7800,4.090711,1.259143
8000,4.082639,1.255771
8200,4.079234,1.252810
8400,4.065612,1.250286
8600,4.051796,1.248147
8800,4.041739,1.246192
9000,4.047984,1.242998
9200,4.033914,1.243499
9400,4.019394,1.241574
9600,4.014529,1.238258
9800,4.018023,1.237114
10000,3.997632,1.234887
10200,3.991905,1.233480
10400,4.004077,1.230445
10600,4.006868,1.227777
10800,3.970452,1.227157
11000,3.944184,1.225674
11200,3.947957,1.223233
11400,3.946602,1.221178
11600,3.930632,1.220140
11800,3.927668,1.218636
12000,3.922295,1.216929
12200,3.904856,1.215323
12400,3.895750,1.215174
12600,3.894092,1.213416
12800,3.885071,1.211846
13000,3.881347,1.210570
13200,3.872525,1.209581
13400,3.876772,1.209107
13600,3.867335,1.208054
13800,3.858041,1.207122
14000,3.857249,1.206110
14200,3.862041,1.205968
14400,3.851671,1.204353
14600,3.839755,1.203733
14800,3.841117,1.203406
15000,3.846137,1.202952
15200,3.833207,1.202250
15400,3.841551,1.201697
15600,3.866919,1.201727
15800,3.852833,1.201158
16000,3.830201,1.201075
