step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,6.944812,1.974649,19.596848,19.600443,19.600023,19.599649,19.597477,19.597647,1.000046,1.000230,1.000208,1.000189,1.000079,1.000087,19.669767,19.656202,19.653511,19.662592,19.669659,19.658012
1000,5.790229,1.729641,19.598564,19.604717,19.604694,19.602659,19.600834,19.600069,1.000132,1.000445,1.000444,1.000339,1.000247,1.000207,19.511475,19.662804,19.682981,19.704268,19.745327,19.734314
1500,5.307922,1.599841,19.601143,19.608173,19.608736,19.605066,19.603294,19.600916,1.000260,1.000614,1.000640,1.000452,1.000361,1.000240,19.109116,19.627468,19.684052,19.740761,19.792093,19.862740
2000,4.983153,1.508896,19.602999,19.610495,19.610790,19.604895,19.604193,19.597128,1.000348,1.000719,1.000728,1.000426,1.000386,1.000028,18.471617,19.561182,19.798809,19.809189,19.823713,20.071325
2500,4.722948,1.432556,19.603870,19.610508,19.611315,19.605827,19.604744,19.589943,1.000385,1.000704,1.000731,1.000451,1.000392,0.999641,17.785610,19.446547,20.271832,19.894855,19.842539,20.269718
3000,4.549336,1.385064,19.605410,19.609695,19.612576,19.605656,19.605135,19.581116,1.000455,1.000645,1.000770,1.000417,1.000387,0.999169,17.160015,19.323187,20.528461,19.943808,19.850124,20.443611
3500,4.431183,1.352597,19.606850,19.611128,19.613365,19.604990,19.605225,19.569668,1.000518,1.000698,1.000782,1.000360,1.000370,0.998562,16.609217,19.198349,20.691605,19.968611,19.844234,20.612667
4000,4.359948,1.328076,19.608179,19.612177,19.615055,19.604071,19.604311,19.555887,1.000576,1.000735,1.000843,1.000290,1.000298,0.997836,16.118149,19.075312,20.812136,19.981531,19.838310,20.788960
4500,4.288701,1.309608,19.609520,19.612465,19.616108,19.603296,19.605047,19.536718,1.000637,1.000730,1.000871,1.000222,1.000311,0.996826,15.682065,18.954948,20.902470,19.977980,19.830564,20.948921
5000,4.243805,1.293900,19.610029,19.613007,19.616287,19.603357,19.604273,19.520382,1.000650,1.000739,1.000852,1.000203,1.000252,0.995970,15.311616,18.839333,20.982965,19.972729,19.821056,21.104778
5500,4.207537,1.279415,19.611458,19.613382,19.615814,19.603050,19.604141,19.500380,1.000715,1.000741,1.000806,1.000158,1.000223,0.994918,14.984096,18.730700,21.040600,19.970171,19.816082,21.254850
6000,4.150084,1.267530,19.612408,19.613077,19.614988,19.602909,19.603275,19.483898,1.000753,1.000704,1.000739,1.000133,1.000162,0.994048,14.713702,18.629459,21.089218,19.958822,19.815447,21.387911
6500,4.118978,1.257468,19.613136,19.612766,19.614780,19.602509,19.602777,19.465168,1.000781,1.000672,1.000704,1.000091,1.000119,0.993062,14.477863,18.535992,21.134920,19.950268,19.807718,21.511297
7000,4.074070,1.249124,19.614466,19.611589,19.615664,19.601957,19.602726,19.449797,1.000844,1.000600,1.000739,1.000049,1.000102,0.992252,14.288723,18.450905,21.170282,19.940577,19.802731,21.629456
7500,4.045880,1.240239,19.615040,19.611694,19.615503,19.601295,19.602016,19.434668,1.000867,1.000596,1.000709,1.000001,1.000054,0.991456,14.131542,18.376362,21.198898,19.933035,19.805433,21.738098
8000,4.008632,1.233430,19.615116,19.610815,19.616196,19.601248,19.600815,19.421246,1.000863,1.000536,1.000734,0.999989,0.999980,0.990749,14.000763,18.307302,21.228731,19.930370,19.814445,21.836582
8500,3.978234,1.226672,19.615479,19.609449,19.616798,19.600792,19.599497,19.407101,1.000877,1.000454,1.000751,0.999953,0.999902,0.990001,13.890447,18.248995,21.256144,19.932430,19.824619,21.924543
9000,3.967153,1.220354,19.616001,19.608871,19.616825,19.600605,19.598583,19.395765,1.000901,1.000417,1.000746,0.999928,0.999844,0.989405,13.808774,18.200071,21.279413,19.936531,19.835695,22.007008
9500,3.928278,1.214144,19.616467,19.607691,19.616531,19.600103,19.598839,19.384035,1.000921,1.000351,1.000719,0.999899,0.999853,0.988785,13.739217,18.159496,21.311255,19.941877,19.844692,22.084902
10000,3.911046,1.209060,19.616329,19.606829,19.616718,19.600639,19.597515,19.376482,1.000910,1.000298,1.000721,0.999923,0.999778,0.988389,13.690730,18.126501,21.337444,19.947847,19.862028,22.157492
10500,3.919588,1.204130,19.616606,19.606682,19.616655,19.600357,19.597286,19.368565,1.000923,1.000284,1.000712,0.999905,0.999761,0.987972,13.651187,18.097565,21.360825,19.962683,19.877762,22.220720
11000,3.860648,1.200241,19.616671,19.606211,19.616608,19.599871,19.596655,19.360668,1.000924,1.000257,1.000702,0.999874,0.999728,0.987557,13.623096,18.078199,21.384007,19.971596,19.898037,22.281191
11500,3.848210,1.195715,19.617310,19.606318,19.616444,19.599039,19.596354,19.355171,1.000956,1.000262,1.000690,0.999826,0.999708,0.987268,13.607457,18.060965,21.407997,19.984453,19.914526,22.332661
12000,3.840785,1.192404,19.617733,19.606279,19.616352,19.599012,19.596003,19.349972,1.000978,1.000257,1.000682,0.999823,0.999686,0.986994,13.597633,18.047716,21.430687,19.998814,19.930307,22.379896
12500,3.816067,1.189115,19.617952,19.605974,19.616434,19.598671,19.595686,19.346434,1.000988,1.000241,1.000687,0.999803,0.999668,0.986809,13.593681,18.039759,21.449409,20.012129,19.946026,22.421982
13000,3.799638,1.186459,19.617908,19.606060,19.616219,19.598272,19.595514,19.343479,1.000985,1.000243,1.000674,0.999782,0.999659,0.986655,13.593377,18.033722,21.465822,20.023500,19.960869,22.458172
13500,3.795257,1.183891,19.618059,19.605602,19.616306,19.598057,19.594786,19.340502,1.000992,1.000219,1.000678,0.999770,0.999620,0.986497,13.596317,18.028170,21.482140,20.032228,19.975082,22.490522
14000,3.775299,1.181730,19.618078,19.605488,19.616085,19.597855,19.594358,19.337791,1.000993,1.000211,1.000665,0.999760,0.999598,0.986354,13.600904,18.024893,21.495951,20.044590,19.988480,22.518555
14500,3.758932,1.180212,19.618271,19.605286,19.615940,19.597828,19.594198,19.336143,1.001002,1.000200,1.000657,0.999758,0.999588,0.986267,13.605063,18.022219,21.508577,20.053980,19.997776,22.544792
15000,3.763209,1.178712,19.618303,19.605318,19.615852,19.597832,19.594046,19.334379,1.001003,1.000201,1.000652,0.999758,0.999580,0.986174,13.609689,18.020113,21.519947,20.062420,20.008263,22.566509
15500,3.752470,1.177554,19.618362,19.605242,19.615955,19.597683,19.593603,19.332924,1.001006,1.000196,1.000657,0.999751,0.999556,0.986099,13.614185,18.020130,21.533800,20.070536,20.018410,22.586512
16000,3.746642,1.177081,19.618294,19.605009,19.615868,19.597738,19.593481,19.331505,1.001002,1.000183,1.000652,0.999753,0.999549,0.986024,13.621476,18.019989,21.545343,20.079260,20.028751,22.607121
