step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,6.967074,1.982963,19.597883,19.600376,19.599297,19.599920,19.598545,19.597624,1.000099,1.000226,1.000171,1.000203,1.000133,1.000086,19.670839,19.655617,19.650005,19.658150,19.665445,19.656183
1000,5.817531,1.738155,19.599871,19.604656,19.602814,19.603407,19.601255,19.600317,1.000198,1.000442,1.000348,1.000377,1.000268,1.000220,19.517496,19.661684,19.682768,19.696823,19.748133,19.731117
1500,5.338370,1.609242,19.602217,19.609159,19.606354,19.606615,19.603901,19.600132,1.000315,1.000665,1.000520,1.000531,1.000393,1.000199,19.151636,19.628880,19.683960,19.711929,19.792150,19.876688
2000,5.016373,1.519921,19.603748,19.612522,19.608555,19.608234,19.604887,19.596163,1.000386,1.000823,1.000616,1.000597,1.000423,0.999978,18.572105,19.572245,19.724689,19.732801,19.820499,20.116182
2500,4.768439,1.446321,19.605152,19.612984,19.608549,19.609097,19.605211,19.588589,1.000452,1.000829,1.000594,1.000614,1.000418,0.999569,17.945641,19.474634,20.136553,19.760519,19.847136,20.394339
3000,4.583431,1.394961,19.605738,19.611897,19.609015,19.608128,19.605511,19.577221,1.000472,1.000752,1.000593,1.000540,1.000409,0.998964,17.362608,19.354362,20.448048,19.756235,19.862326,20.613550
3500,4.461166,1.361384,19.606897,19.611996,19.611155,19.607588,19.605293,19.565004,1.000522,1.000737,1.000675,1.000485,1.000376,0.998315,16.842491,19.233871,20.630726,19.735552,19.866333,20.811712
4000,4.387030,1.336327,19.608719,19.611254,19.610762,19.607721,19.605156,19.550554,1.000604,1.000680,1.000632,1.000467,1.000339,0.997557,16.384007,19.118078,20.754286,19.705124,19.867022,20.997641
4500,4.313768,1.317016,19.610508,19.611147,19.610893,19.608122,19.604990,19.531507,1.000687,1.000648,1.000613,1.000459,1.000313,0.996552,15.977117,19.006029,20.844406,19.670416,19.868505,21.161819
5000,4.268159,1.301472,19.611357,19.611383,19.612396,19.608152,19.605129,19.515316,1.000721,1.000643,1.000668,1.000442,1.000296,0.995703,15.628732,18.900726,20.920681,19.634077,19.867229,21.324743
