step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,8.062364,2.287650,19.596502,19.596497,19.597744,19.597445,19.596552,19.595127,1.000029,1.000029,1.000093,1.000077,1.000032,0.999959,19.666277,19.624521,19.624172,19.619587,19.625978,19.627529
1000,6.393473,1.900786,19.597176,19.599476,19.600388,19.599003,19.598665,19.597054,1.000063,1.000180,1.000227,1.000156,1.000139,1.000057,19.674168,19.669476,19.672979,19.680788,19.705559,19.688633
1500,5.823745,1.755161,19.598030,19.601503,19.602465,19.600441,19.600080,19.598055,1.000106,1.000283,1.000332,1.000228,1.000210,1.000106,19.619755,19.676754,19.694277,19.710503,19.758324,19.740349
2000,5.463567,1.652115,19.599350,19.603952,19.604952,19.602600,19.601831,19.599703,1.000172,1.000406,1.000457,1.000336,1.000297,1.000187,19.507668,19.668430,19.702135,19.736401,19.795048,19.807051
2500,5.192453,1.574725,19.600939,19.606651,19.607319,19.604704,19.603790,19.600994,1.000252,1.000541,1.000575,1.000439,1.000393,1.000248,19.304787,19.645742,19.697634,19.768501,19.824106,19.904507
3000,4.990562,1.515847,19.602360,19.609097,19.609598,19.605911,19.605057,19.601517,1.000323,1.000662,1.000685,1.000495,1.000451,1.000266,19.029984,19.605129,19.691093,19.811365,19.845955,20.039427
3500,4.825096,1.469231,19.603409,19.610661,19.611029,19.605883,19.605396,19.600401,1.000374,1.000736,1.000750,1.000486,1.000458,1.000197,18.675695,19.549862,19.746569,19.884029,19.860758,20.214958
4000,4.685810,1.423623,19.605309,19.611393,19.612349,19.605919,19.605671,19.595860,1.000467,1.000766,1.000804,1.000474,1.000456,0.999948,18.220016,19.466339,20.033508,20.029671,19.871199,20.415480
4500,4.545792,1.384361,19.605703,19.612535,19.614803,19.606794,19.606741,19.587736,1.000481,1.000811,1.000909,1.000500,1.000491,0.999512,17.679863,19.356813,20.291740,20.153337,19.873566,20.593882
5000,4.453946,1.355242,19.607388,19.612322,19.615862,19.606617,19.606148,19.576670,1.000558,1.000783,1.000938,1.000469,1.000436,0.998924,17.087019,19.226887,20.455101,20.227697,19.863317,20.773626
5500,4.379644,1.329271,19.608099,19.613913,19.616688,19.606157,19.606251,19.559816,1.000584,1.000845,1.000954,1.000419,1.000417,0.998037,16.531933,19.085390,20.560316,20.268881,19.840826,20.951118
6000,4.294078,1.309299,19.609583,19.614874,19.618431,19.605936,19.605694,19.541901,1.000654,1.000874,1.001014,1.000379,1.000367,0.997088,16.022827,18.942335,20.622017,20.282570,19.812263,21.107458
6500,4.244166,1.294470,19.611275,19.614796,19.617912,19.605932,19.603886,19.522572,1.000727,1.000846,1.000957,1.000351,1.000250,0.996073,15.553241,18.790401,20.666634,20.284285,19.778969,21.267128
7000,4.189502,1.280868,19.611866,19.616209,19.617710,19.605173,19.603144,19.501436,1.000747,1.000897,1.000915,1.000287,1.000182,0.994957,15.127332,18.641203,20.693144,20.264257,19.743471,21.406162
7500,4.153263,1.269323,19.614059,19.616375,19.618614,19.605654,19.601995,19.479137,1.000851,1.000882,1.000928,1.000285,1.000097,0.993782,14.736461,18.494034,20.714869,20.237078,19.704525,21.539089
8000,4.112587,1.260585,19.615549,19.614145,19.618677,19.604872,19.601635,19.455971,1.000911,1.000741,1.000901,1.000221,1.000059,0.992561,14.364798,18.347809,20.730360,20.205168,19.671234,21.657385
8500,4.079626,1.251774,19.616758,19.612616,19.618362,19.603804,19.600147,19.431644,1.000963,1.000639,1.000849,1.000134,0.999959,0.991273,14.023948,18.205614,20.735128,20.166834,19.625647,21.768585
9000,4.067660,1.244417,19.617647,19.612057,19.619463,19.603638,19.597635,19.407570,1.000997,1.000585,1.000875,1.000099,0.999805,0.990004,13.702606,18.072977,20.737604,20.128479,19.582848,21.867758
