step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,8.032095,2.277775,19.596453,19.597454,19.597776,19.598064,19.597315,19.596207,1.000027,1.000078,1.000094,1.000109,1.000071,1.000014,19.661177,19.623362,19.626545,19.623817,19.627974,19.629272
1000,6.343080,1.885697,19.596907,19.599890,19.599699,19.600191,19.599148,19.597862,1.000049,1.000202,1.000192,1.000217,1.000164,1.000098,19.667017,19.659475,19.669596,19.683249,19.703779,19.687567
1500,5.774149,1.739332,19.597570,19.601738,19.601553,19.601749,19.600529,19.598261,1.000083,1.000295,1.000286,1.000295,1.000233,1.000117,19.618048,19.664951,19.689795,19.709837,19.754471,19.742548
2000,5.412475,1.637231,19.598724,19.604410,19.604036,19.603485,19.602242,19.599295,1.000141,1.000430,1.000411,1.000382,1.000318,1.000167,19.508991,19.655912,19.698025,19.734976,19.804056,19.812695
2500,5.143561,1.560454,19.600069,19.607639,19.606886,19.604876,19.603983,19.599154,1.000208,1.000592,1.000553,1.000449,1.000403,1.000155,19.311556,19.629248,19.692812,19.772955,19.873028,19.914011
3000,4.943745,1.501753,19.601948,19.610174,19.608973,19.605570,19.605234,19.598154,1.000302,1.000717,1.000655,1.000480,1.000461,1.000097,19.037752,19.587355,19.676220,19.852758,19.967516,20.043921
3500,4.770172,1.450292,19.602995,19.611574,19.609917,19.606123,19.605915,19.596268,1.000353,1.000783,1.000696,1.000498,1.000486,0.999991,18.667583,19.529203,19.655409,20.130114,20.089479,20.186888
4000,4.614433,1.401593,19.603443,19.613253,19.610989,19.606300,19.606487,19.592690,1.000371,1.000858,1.000739,1.000494,1.000503,0.999795,18.195728,19.443714,19.606871,20.543074,20.199999,20.329393
4500,4.487023,1.367941,19.604250,19.614546,19.611897,19.607136,19.607386,19.585682,1.000404,1.000908,1.000770,1.000520,1.000534,0.999420,17.649809,19.342535,19.530397,20.835785,20.293083,20.469698
5000,4.403205,1.340606,19.604134,19.615120,19.612600,19.607479,19.607708,19.576883,1.000387,1.000919,1.000788,1.000521,1.000532,0.998948,17.049252,19.217722,19.426411,21.061394,20.373838,20.616760
5500,4.333208,1.315695,19.605282,19.615665,19.613152,19.607637,19.607796,19.563007,1.000434,1.000924,1.000796,1.000508,1.000516,0.998218,16.475283,19.075245,19.309717,21.232149,20.438261,20.758583
6000,4.250311,1.296901,19.605818,19.616758,19.612513,19.608315,19.607332,19.548830,1.000445,1.000959,1.000739,1.000524,1.000469,0.997471,15.954189,18.920815,19.188612,21.368105,20.491915,20.889114
6500,4.202992,1.282474,19.606802,19.617357,19.610985,19.608492,19.606440,19.532488,1.000482,1.000967,1.000638,1.000507,1.000399,0.996611,15.469333,18.768023,19.060486,21.469387,20.526133,21.012053
7000,4.150469,1.269268,19.607460,19.617918,19.610205,19.607956,19.605759,19.513605,1.000498,1.000972,1.000578,1.000455,1.000342,0.995612,15.024151,18.612543,18.938013,21.556623,20.554441,21.127985
7500,4.116388,1.257762,19.607651,19.619274,19.609303,19.609407,19.606482,19.495626,1.000495,1.001014,1.000510,1.000508,1.000361,0.994666,14.628018,18.454723,18.815805,21.633137,20.581385,21.239338
8000,4.076406,1.250391,19.608549,19.619558,19.608294,19.610645,19.604530,19.475800,1.000528,1.000999,1.000440,1.000552,1.000237,0.993623,14.258940,18.292706,18.685860,21.698952,20.605570,21.350378
8500,4.044571,1.242093,19.609148,19.620262,19.606339,19.611010,19.603451,19.455099,1.000543,1.001011,1.000318,1.000545,1.000157,0.992532,13.922554,18.137999,18.565868,21.756300,20.625929,21.453905
9000,4.033132,1.235356,19.610266,19.620865,19.605497,19.609671,19.602320,19.434153,1.000588,1.001013,1.000256,1.000449,1.000077,0.991421,13.600895,17.977705,18.448606,21.798719,20.639597,21.555119
9500,3.991243,1.229065,19.610842,19.620440,19.604288,19.608982,19.600586,19.411724,1.000598,1.000968,1.000165,1.000399,0.999965,0.990240,13.305223,17.829508,18.332296,21.845058,20.645674,21.655220
10000,3.973341,1.223304,19.611721,19.620850,19.603724,19.609438,19.598907,19.387676,1.000624,1.000957,1.000113,1.000400,0.999864,0.988978,13.036772,17.677456,18.225361,21.883312,20.651493,21.749296
10500,3.981930,1.217728,19.613199,19.620319,19.602989,19.609871,19.597591,19.366615,1.000690,1.000902,1.000057,1.000400,0.999774,0.987863,12.783031,17.532951,18.114132,21.915358,20.665525,21.836288
11000,3.924208,1.213853,19.615150,19.619286,19.601889,19.609100,19.594404,19.344772,1.000770,1.000819,0.999978,1.000339,0.999589,0.986707,12.551927,17.389196,18.011196,21.958961,20.676039,21.926323
11500,3.913335,1.211348,19.615843,19.619419,19.601002,19.608763,19.593773,19.323715,1.000794,1.000802,0.999910,1.000295,0.999528,0.985594,12.336471,17.250673,17.910538,21.993170,20.689011,22.018179
12000,3.907980,1.206899,19.617313,19.618967,19.600325,19.608240,19.591740,19.300081,1.000850,1.000751,0.999856,1.000249,0.999400,0.984343,12.144807,17.116566,17.819487,22.033848,20.700996,22.105618
12500,3.886017,1.204213,19.618889,19.618240,19.600512,19.607201,19.589838,19.278057,1.000916,1.000687,0.999851,1.000178,0.999281,0.983173,11.957869,16.990667,17.724741,22.065477,20.713213,22.192055
13000,3.871132,1.201465,19.620274,19.618120,19.599915,19.607019,19.586296,19.258314,1.000974,1.000652,0.999792,1.000149,0.999080,0.982127,11.787889,16.866291,17.641388,22.105450,20.726460,22.274384
13500,3.866405,1.199028,19.621767,19.618532,19.600903,19.607096,19.583073,19.235643,1.001035,1.000645,0.999820,1.000135,0.998884,0.980924,11.635015,16.741413,17.556976,22.136597,20.740198,22.365351
14000,3.846769,1.195007,19.622753,19.617889,19.599260,19.605419,19.579357,19.213551,1.001071,1.000579,0.999726,1.000019,0.998672,0.979747,11.483706,16.622332,17.478849,22.172693,20.759857,22.448507
14500,3.829141,1.194041,19.623087,19.616676,19.598637,19.604013,19.579159,19.194174,1.001070,1.000494,0.999672,0.999925,0.998637,0.978717,11.345953,16.512224,17.406858,22.206305,20.768017,22.534548
15000,3.828800,1.190959,19.624323,19.615530,19.599102,19.604019,19.574024,19.174116,1.001120,1.000412,0.999674,0.999897,0.998354,0.977652,11.218276,16.405380,17.336838,22.229860,20.779989,22.609522
15500,3.815069,1.188794,19.624971,19.614046,19.597124,19.604893,19.572153,19.155989,1.001141,1.000300,0.999560,0.999920,0.998244,0.976688,11.102796,16.305679,17.274187,22.265299,20.795122,22.682890
16000,3.803866,1.186433,19.626949,19.614420,19.596746,19.603592,19.570629,19.135298,1.001230,1.000301,0.999522,0.999846,0.998139,0.975582,10.989215,16.206182,17.209011,22.301657,20.817095,22.764242
16500,3.795001,1.185110,19.628584,19.613350,19.596691,19.603125,19.567396,19.117338,1.001302,1.000221,0.999502,0.999798,0.997956,0.974627,10.900388,16.116467,17.147730,22.338894,20.833078,22.841230
17000,3.781484,1.183568,19.629841,19.612066,19.597248,19.601652,19.564589,19.098152,1.001348,1.000130,0.999513,0.999701,0.997790,0.973612,10.803731,16.024803,17.091921,22.367580,20.846903,22.916006
17500,3.762390,1.182148,19.631502,19.610609,19.596033,19.600649,19.561272,19.080282,1.001420,1.000032,0.999434,0.999630,0.997603,0.972648,10.718604,15.934464,17.038925,22.399164,20.869989,22.988052
18000,3.755362,1.180158,19.633457,19.609116,19.595295,19.599773,19.560246,19.062475,1.001509,0.999926,0.999379,0.999568,0.997525,0.971706,10.644798,15.855720,16.991699,22.433365,20.889088,23.059822
18500,3.747795,1.178619,19.634514,19.608149,19.594212,19.599031,19.556629,19.045900,1.001550,0.999851,0.999310,0.999509,0.997324,0.970822,10.576245,15.776163,16.941317,22.475134,20.908865,23.131693
19000,3.739791,1.177794,19.634161,19.606756,19.594757,19.598631,19.556616,19.029261,1.001518,0.999764,0.999316,0.999469,0.997300,0.969938,10.514448,15.705385,16.896410,22.502871,20.928988,23.205643
19500,3.743417,1.175831,19.635025,19.606512,19.594639,19.597664,19.554056,19.013554,1.001551,0.999720,0.999301,0.999407,0.997147,0.969092,10.455699,15.636187,16.857859,22.537569,20.947073,23.279514
20000,3.729402,1.173592,19.636827,19.605068,19.594669,19.597176,19.551315,18.999420,1.001631,0.999631,0.999283,0.999367,0.996986,0.968338,10.400220,15.569978,16.820005,22.567417,20.968897,23.343597
20500,3.723717,1.172602,19.637934,19.603283,19.593264,19.596054,19.549881,18.984945,1.001681,0.999520,0.999199,0.999285,0.996901,0.967566,10.351902,15.507949,16.788326,22.606716,20.990442,23.411158
21000,3.729829,1.170857,19.639362,19.603168,19.594547,19.595615,19.546415,18.970142,1.001745,0.999496,0.999253,0.999250,0.996704,0.966767,10.303480,15.449067,16.751701,22.640375,21.020500,23.481188
21500,3.700698,1.169913,19.639723,19.601791,19.593945,19.595364,19.544529,18.957258,1.001745,0.999410,0.999203,0.999230,0.996592,0.966078,10.266665,15.394392,16.722635,22.674732,21.043133,23.545176
22000,3.705332,1.168982,19.640362,19.600796,19.593996,19.594290,19.541700,18.943422,1.001773,0.999344,0.999205,0.999154,0.996434,0.965342,10.231894,15.349523,16.696568,22.706451,21.066881,23.609140
22500,3.688312,1.167806,19.641766,19.599197,19.593374,19.593214,19.539747,18.929192,1.001832,0.999245,0.999167,0.999082,0.996310,0.964584,10.202895,15.297865,16.674246,22.744490,21.089115,23.671726
23000,3.681441,1.167072,19.642342,19.598383,19.593006,19.592556,19.539660,18.916763,1.001859,0.999182,0.999131,0.999022,0.996288,0.963917,10.179586,15.255701,16.649498,22.774889,21.115419,23.739168
23500,3.668932,1.165840,19.642570,19.597977,19.592607,19.592285,19.536608,18.904421,1.001862,0.999143,0.999096,0.999006,0.996119,0.963259,10.158545,15.215080,16.629534,22.816811,21.143608,23.798342
24000,3.657507,1.164719,19.642902,19.597273,19.593822,19.591373,19.534584,18.894550,1.001871,0.999092,0.999146,0.998945,0.995997,0.962729,10.144234,15.179520,16.613150,22.849609,21.170309,23.864140
24500,3.664899,1.163233,19.644331,19.597492,19.593552,19.591434,19.533556,18.882086,1.001932,0.999082,0.999129,0.998933,0.995935,0.962055,10.121353,15.142629,16.598137,22.883532,21.197762,23.926212
25000,3.643210,1.161324,19.645441,19.596825,19.592741,19.589922,19.532455,18.871050,1.001983,0.999034,0.999076,0.998849,0.995869,0.961469,10.108060,15.110940,16.584187,22.916275,21.225140,23.985104
25500,3.641383,1.160652,19.646305,19.596224,19.592443,19.589966,19.530291,18.862213,1.002017,0.998999,0.999054,0.998834,0.995734,0.960995,10.093609,15.080682,16.572069,22.952219,21.252420,24.045725
26000,3.657977,1.159989,19.647118,19.595104,19.592979,19.589249,19.529953,18.853460,1.002056,0.998927,0.999069,0.998787,0.995708,0.960521,10.082709,15.053239,16.561651,22.987099,21.279562,24.100853
26500,3.625645,1.158998,19.647484,19.595499,19.594275,19.588331,19.528444,18.843540,1.002067,0.998932,0.999127,0.998729,0.995623,0.959988,10.075422,15.031005,16.555267,23.022257,21.311773,24.156427
27000,3.619425,1.157552,19.648083,19.595522,19.593925,19.588345,19.526310,18.835615,1.002096,0.998926,0.999098,0.998721,0.995504,0.959559,10.070908,15.009397,16.549910,23.053244,21.339279,24.213331
27500,3.630653,1.157260,19.647722,19.594877,19.593922,19.588200,19.524620,18.825180,1.002068,0.998881,0.999096,0.998699,0.995395,0.958994,10.069689,14.988230,16.545633,23.090469,21.364088,24.268152
28000,3.609734,1.156062,19.648876,19.594030,19.594515,19.588120,19.523148,18.817812,1.002119,0.998819,0.999121,0.998690,0.995316,0.958599,10.066836,14.970888,16.540552,23.118689,21.394703,24.323362
28500,3.598363,1.155638,19.649332,19.594124,19.594030,19.589046,19.521338,18.811523,1.002140,0.998819,0.999086,0.998724,0.995210,0.958266,10.068515,14.954397,16.542465,23.156424,21.423496,24.375858
29000,3.602306,1.154306,19.649923,19.594461,19.594908,19.587646,19.521542,18.803213,1.002165,0.998824,0.999123,0.998641,0.995212,0.957815,10.076072,14.941009,16.538185,23.191360,21.451569,24.426781
29500,3.587703,1.152543,19.650299,19.593386,19.595146,19.587406,19.520617,18.795631,1.002181,0.998762,0.999128,0.998625,0.995150,0.957410,10.081540,14.929437,16.536880,23.224525,21.479755,24.479290
30000,3.574813,1.152838,19.650482,19.592554,19.595097,19.587299,19.520164,18.789572,1.002184,0.998711,0.999123,0.998614,0.995119,0.957080,10.089039,14.918852,16.538731,23.255503,21.505266,24.532816
30500,3.582294,1.150842,19.650600,19.592323,19.594959,19.586950,19.518541,18.783012,1.002181,0.998688,0.999110,0.998589,0.995033,0.956728,10.091552,14.911877,16.539526,23.287645,21.533260,24.578070
31000,3.568772,1.150344,19.651093,19.591520,19.594389,19.586227,19.517208,18.778862,1.002209,0.998636,0.999076,0.998542,0.994950,0.956506,10.099291,14.905950,16.546448,23.318720,21.559317,24.624004
31500,3.567532,1.148811,19.651756,19.592060,19.595545,19.586065,19.516783,18.772419,1.002241,0.998660,0.999126,0.998532,0.994926,0.956157,10.101262,14.899027,16.549913,23.351402,21.590368,24.670490
32000,3.564771,1.148078,19.652050,19.591816,19.595606,19.586521,19.515965,18.767647,1.002252,0.998641,0.999124,0.998551,0.994876,0.955903,10.114893,14.894604,16.553749,23.383242,21.615988,24.713770
32500,3.553945,1.147565,19.652052,19.591375,19.596369,19.586174,19.514610,18.762087,1.002249,0.998609,0.999157,0.998525,0.994806,0.955598,10.122768,14.892904,16.561359,23.411293,21.641705,24.757149
33000,3.537915,1.147487,19.652641,19.591814,19.595884,19.586123,19.513920,18.756403,1.002275,0.998633,0.999135,0.998514,0.994762,0.955288,10.133045,14.888477,16.567898,23.438139,21.666637,24.802172
33500,3.527790,1.146394,19.653021,19.591274,19.595758,19.585623,19.513554,18.751448,1.002296,0.998599,0.999124,0.998482,0.994734,0.955028,10.144730,14.888402,16.574215,23.466885,21.693808,24.842360
34000,3.528029,1.145991,19.653259,19.591188,19.595211,19.585756,19.512468,18.747189,1.002304,0.998588,0.999093,0.998482,0.994678,0.954795,10.157026,14.887681,16.581656,23.497162,21.719130,24.882038
34500,3.520574,1.144911,19.653473,19.591530,19.595675,19.585674,19.512499,18.742754,1.002315,0.998605,0.999109,0.998473,0.994674,0.954558,10.173130,14.886979,16.587803,23.523664,21.743799,24.922079
35000,3.527365,1.144711,19.653732,19.590807,19.596451,19.585581,19.512566,18.739143,1.002322,0.998554,0.999149,0.998467,0.994672,0.954361,10.186459,14.890167,16.595877,23.548887,21.767736,24.959806
35500,3.517139,1.143660,19.654108,19.590525,19.596462,19.585194,19.511976,18.735968,1.002343,0.998534,0.999146,0.998442,0.994639,0.954187,10.198192,14.890397,16.601151,23.574150,21.789333,24.996586
36000,3.511798,1.142932,19.654184,19.590160,19.596912,19.585127,19.511259,18.733366,1.002345,0.998515,0.999168,0.998435,0.994596,0.954051,10.210606,14.895872,16.610157,23.600424,21.811644,25.030382
36500,3.526229,1.142181,19.654438,19.590103,19.597239,19.584953,19.510635,18.729822,1.002359,0.998511,0.999182,0.998425,0.994562,0.953859,10.219275,14.897120,16.617785,23.625519,21.835493,25.065104
37000,3.495304,1.141391,19.654579,19.590258,19.597448,19.584980,19.510305,18.726624,1.002363,0.998510,0.999189,0.998422,0.994538,0.953686,10.232712,14.900578,16.626673,23.649588,21.857338,25.096107
37500,3.506411,1.140980,19.654449,19.590218,19.597778,19.584690,19.510742,18.724867,1.002354,0.998507,0.999208,0.998405,0.994560,0.953589,10.246123,14.905604,16.634384,23.672573,21.876539,25.125736
38000,3.493904,1.140297,19.654613,19.590134,19.598034,19.584787,19.509848,18.722345,1.002361,0.998499,0.999222,0.998407,0.994508,0.953453,10.256828,14.907661,16.644178,23.695805,21.895315,25.157017
38500,3.485739,1.139410,19.654915,19.590221,19.597925,19.584435,19.509163,18.719698,1.002373,0.998502,0.999215,0.998384,0.994470,0.953309,10.270245,14.912093,16.650475,23.714401,21.915878,25.186337
39000,3.474866,1.139347,19.655077,19.590282,19.597996,19.584167,19.508556,18.717525,1.002382,0.998502,0.999215,0.998367,0.994435,0.953191,10.283769,14.915373,16.659525,23.736774,21.934523,25.213440
39500,3.473983,1.138385,19.655071,19.589804,19.598150,19.583546,19.508537,18.715651,1.002383,0.998477,0.999220,0.998332,0.994432,0.953091,10.298067,14.920737,16.668163,23.756788,21.953091,25.240467
40000,3.478911,1.139221,19.655403,19.590021,19.598091,19.583681,19.508377,18.713461,1.002399,0.998486,0.999214,0.998335,0.994424,0.952971,10.311565,14.924811,16.673893,23.775827,21.971226,25.265045
40500,3.460563,1.137732,19.655540,19.589676,19.598055,19.583618,19.508425,18.711063,1.002405,0.998463,0.999215,0.998335,0.994424,0.952840,10.323751,14.929261,16.681934,23.793406,21.986389,25.291494
41000,3.465958,1.137452,19.655525,19.589802,19.597935,19.583536,19.508022,18.709629,1.002403,0.998467,0.999206,0.998328,0.994399,0.952764,10.333784,14.934769,16.689409,23.811060,22.001734,25.315584
41500,3.483597,1.136302,19.655474,19.589600,19.597694,19.583574,19.508009,18.708139,1.002403,0.998454,0.999194,0.998327,0.994396,0.952683,10.343490,14.939244,16.696148,23.827797,22.017778,25.337410
