step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,8.057719,2.285092,19.596468,19.597067,19.597530,19.598143,19.596102,19.595135,1.000027,1.000058,1.000082,1.000113,1.000009,0.999960,19.664633,19.628885,19.622620,19.622597,19.626816,19.628046
1000,6.372327,1.894341,19.597130,19.599188,19.600637,19.600126,19.597900,19.597370,1.000061,1.000166,1.000240,1.000213,1.000100,1.000073,19.669218,19.671574,19.669703,19.687563,19.705681,19.688574
1500,5.803420,1.748614,19.598139,19.601261,19.602791,19.601814,19.599243,19.599031,1.000112,1.000271,1.000348,1.000298,1.000167,1.000156,19.609913,19.675938,19.689762,19.720034,19.758276,19.743210
2000,5.439579,1.645075,19.599646,19.604197,19.604910,19.603104,19.601341,19.600452,1.000188,1.000419,1.000455,1.000362,1.000272,1.000225,19.483150,19.662252,19.695665,19.751551,19.795307,19.811880
2500,5.167845,1.567892,19.600769,19.606844,19.607506,19.604836,19.603016,19.600988,1.000244,1.000551,1.000584,1.000447,1.000353,1.000246,19.268675,19.628822,19.684698,19.802113,19.827627,19.905737
3000,4.967259,1.509110,19.602150,19.609478,19.610382,19.605888,19.604353,19.600271,1.000313,1.000681,1.000725,1.000494,1.000413,1.000201,18.986702,19.573254,19.656248,19.891354,19.852541,20.019150
3500,4.797286,1.460397,19.602808,19.611786,19.612125,19.606190,19.605766,19.598518,1.000345,1.000791,1.000806,1.000500,1.000472,1.000099,18.623224,19.493004,19.605833,20.138063,19.879858,20.142956
4000,4.645487,1.411217,19.604393,19.613686,19.613384,19.606283,19.606148,19.594351,1.000421,1.000877,1.000858,1.000489,1.000471,0.999870,18.152554,19.382647,19.529657,20.557833,19.902166,20.265242
4500,4.514075,1.375624,19.605173,19.614759,19.614153,19.606613,19.606525,19.586357,1.000454,1.000914,1.000878,1.000485,1.000468,0.999441,17.617565,19.246796,19.418892,20.856712,19.914547,20.385300
5000,4.428074,1.347787,19.605595,19.616182,19.614582,19.606840,19.607067,19.575159,1.000465,1.000966,1.000879,1.000471,1.000464,0.998844,17.030378,19.091082,19.273447,21.076731,19.913416,20.514164
