step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498930,0.498839,0.498289,0.498181,0.498116,0.498102,0.499510,0.499269,0.498899,0.498724,0.499470,0.499477,0.499307,0.499010,0.499114,0.498965,0.499912,0.499919,0.499600,0.499382,0.499214,0.499063,0.500000,0.500004,0.499517,0.499371,0.499206,0.499092,0.500035,0.500037,0.499630,0.499500,0.499202,0.499078,0.499996,0.499999
400,0.497621,0.498072,0.496551,0.496435,0.494116,0.494041,0.499395,0.497704,0.497841,0.497727,0.497263,0.497241,0.498469,0.498000,0.498778,0.498657,0.499201,0.499177,0.498414,0.498229,0.499096,0.498958,0.499741,0.499733,0.498889,0.498839,0.499063,0.498965,0.499720,0.499710,0.498191,0.498261,0.499129,0.499003,0.499987,0.499984
600,0.495419,0.497168,0.495402,0.495310,0.489824,0.489676,0.500387,0.496416,0.496804,0.496720,0.495875,0.495889,0.497470,0.496824,0.498238,0.498214,0.498450,0.498389,0.497336,0.497317,0.499153,0.499032,0.499834,0.499803,0.497544,0.497863,0.499025,0.498968,0.499622,0.499590,0.496163,0.496759,0.499240,0.499130,0.500196,0.500190
800,0.491045,0.495115,0.494073,0.494034,0.484733,0.484458,0.502145,0.495179,0.495497,0.495434,0.494452,0.494476,0.498348,0.496542,0.496652,0.496901,0.497413,0.497355,0.496052,0.495787,0.498840,0.498812,0.499492,0.499435,0.496267,0.496896,0.498838,0.498877,0.499284,0.499188,0.492331,0.493238,0.499351,0.499253,0.500320,0.500286
1000,0.482719,0.490545,0.492678,0.492767,0.478292,0.477845,0.506893,0.494710,0.494076,0.494081,0.493805,0.493704,0.499937,0.496455,0.493805,0.494710,0.495940,0.495797,0.495769,0.493799,0.498159,0.498307,0.499723,0.499444,0.493924,0.494116,0.497871,0.498055,0.497579,0.497304,0.489202,0.489478,0.499070,0.499021,0.500616,0.500346
1200,0.471401,0.483334,0.490779,0.491085,0.471063,0.470310,0.511480,0.494885,0.492246,0.492314,0.493957,0.493499,0.502879,0.496280,0.489897,0.491250,0.492470,0.492048,0.496217,0.491475,0.497364,0.497569,0.501240,0.500546,0.494404,0.492326,0.496451,0.496758,0.495828,0.494708,0.485762,0.484594,0.498944,0.498883,0.501027,0.500048
1400,0.458975,0.474142,0.488635,0.489231,0.464577,0.463258,0.519916,0.497989,0.490189,0.490198,0.494192,0.493163,0.509854,0.497086,0.483917,0.485422,0.486272,0.485593,0.499989,0.489001,0.496112,0.496518,0.501684,0.500324,0.494490,0.489072,0.496182,0.496394,0.498204,0.496165,0.483442,0.477568,0.498756,0.498611,0.502325,0.500195
1600,0.447064,0.464940,0.485702,0.486740,0.456164,0.454050,0.532923,0.504700,0.487704,0.487512,0.492517,0.490662,0.519738,0.499207,0.475194,0.477004,0.477692,0.476265,0.505763,0.486542,0.495481,0.495761,0.504706,0.502285,0.497485,0.487613,0.496806,0.496689,0.503821,0.500129,0.489964,0.475443,0.498691,0.498444,0.506304,0.502249
1800,0.435857,0.455666,0.482808,0.484418,0.446350,0.443265,0.543118,0.507540,0.484325,0.483483,0.489997,0.486825,0.536131,0.504295,0.467216,0.468116,0.469013,0.466553,0.513690,0.483489,0.494150,0.494561,0.507501,0.503559,0.497946,0.483140,0.497078,0.496601,0.511052,0.505242,0.496446,0.474252,0.499389,0.498930,0.514944,0.507955
2000,0.426260,0.446902,0.479627,0.481904,0.436050,0.431743,0.551609,0.509308,0.479318,0.476761,0.486113,0.481188,0.548874,0.504374,0.458980,0.457475,0.456450,0.452513,0.521286,0.478601,0.491771,0.492304,0.509412,0.503381,0.502753,0.479748,0.497938,0.497168,0.519191,0.510328,0.506016,0.472791,0.500689,0.499835,0.524020,0.513771
2200,0.417554,0.438185,0.476015,0.479247,0.425573,0.419850,0.559030,0.509862,0.474717,0.470166,0.481209,0.473604,0.560437,0.502962,0.450735,0.445842,0.444385,0.438569,0.534069,0.473908,0.488856,0.489377,0.510414,0.501983,0.509022,0.477568,0.499983,0.498845,0.528906,0.517284,0.513848,0.470214,0.501730,0.500515,0.532640,0.519360
2400,0.409859,0.429725,0.472392,0.476558,0.417776,0.409171,0.567483,0.509751,0.470236,0.462856,0.475109,0.464073,0.575154,0.501528,0.446951,0.434528,0.433091,0.424556,0.543582,0.468361,0.485793,0.486127,0.509391,0.497952,0.516360,0.472979,0.500592,0.499143,0.537802,0.523053,0.520377,0.467476,0.503000,0.501364,0.542659,0.525952
2600,0.403226,0.421596,0.468427,0.473462,0.411345,0.398421,0.575446,0.509503,0.464524,0.454124,0.466399,0.451374,0.587723,0.498434,0.447716,0.424980,0.422838,0.410364,0.555220,0.462133,0.483516,0.483079,0.508114,0.493049,0.524603,0.470525,0.501247,0.499711,0.548790,0.530125,0.532058,0.466101,0.504648,0.502554,0.552599,0.532497
2800,0.397498,0.413922,0.465439,0.471380,0.404917,0.386869,0.584131,0.508491,0.462392,0.446216,0.460665,0.439576,0.601401,0.496100,0.453928,0.417289,0.416450,0.397829,0.570484,0.456449,0.479829,0.478486,0.505705,0.486582,0.530463,0.464020,0.501943,0.500208,0.559677,0.536980,0.543546,0.464863,0.506507,0.503844,0.564853,0.541109
3000,0.393160,0.407319,0.462118,0.468753,0.402237,0.377049,0.591794,0.506399,0.460929,0.439287,0.456131,0.426858,0.615799,0.492295,0.463703,0.411238,0.413925,0.387447,0.586929,0.451695,0.475791,0.473503,0.500532,0.476747,0.541411,0.460320,0.501936,0.500033,0.568960,0.542397,0.556032,0.464837,0.508180,0.504881,0.573775,0.546717
3200,0.389561,0.400515,0.459126,0.466617,0.401692,0.366717,0.602006,0.504322,0.465203,0.434487,0.459746,0.419232,0.632111,0.489140,0.477832,0.408176,0.415681,0.377931,0.606025,0.445556,0.472346,0.468255,0.497386,0.467842,0.553563,0.455011,0.500477,0.498611,0.576440,0.545686,0.569467,0.462986,0.509032,0.505139,0.579771,0.549585
3400,0.386702,0.394293,0.456867,0.464930,0.411340,0.360456,0.609740,0.500543,0.472539,0.430814,0.469405,0.414192,0.647105,0.483754,0.495784,0.406667,0.425070,0.373227,0.629033,0.440133,0.469275,0.462739,0.494529,0.457091,0.570554,0.450190,0.497727,0.495842,0.576718,0.541440,0.584414,0.461007,0.508559,0.504065,0.577896,0.544430
3600,0.382971,0.387260,0.454222,0.463183,0.425248,0.356819,0.617135,0.495775,0.484243,0.430490,0.485308,0.412133,0.664078,0.475813,0.517124,0.408578,0.442709,0.375755,0.652369,0.433229,0.468677,0.457652,0.496611,0.448462,0.589745,0.445052,0.491616,0.489777,0.569496,0.529307,0.599029,0.458429,0.506070,0.501438,0.566738,0.530217
3800,0.380363,0.381328,0.451863,0.461552,0.442116,0.354660,0.626206,0.489364,0.497542,0.429864,0.504000,0.411139,0.684114,0.466583,0.539964,0.410509,0.462856,0.379041,0.677145,0.426982,0.470414,0.452761,0.498505,0.437777,0.606250,0.438545,0.484927,0.483285,0.559993,0.513729,0.605502,0.454678,0.503640,0.499109,0.555476,0.515263
4000,0.378208,0.375693,0.448685,0.459356,0.457262,0.351063,0.635185,0.481932,0.512026,0.428526,0.522711,0.407072,0.701397,0.457449,0.564454,0.412216,0.482341,0.379379,0.703544,0.420586,0.473074,0.447255,0.499310,0.426438,0.621274,0.432556,0.477745,0.476132,0.550346,0.497957,0.608541,0.450602,0.501779,0.497393,0.546800,0.501202
4200,0.376307,0.370065,0.445216,0.456857,0.471588,0.346051,0.643936,0.474254,0.526781,0.427362,0.541376,0.402684,0.721982,0.449410,0.589892,0.410699,0.501780,0.377735,0.729751,0.412479,0.477089,0.440833,0.499947,0.414265,0.635232,0.425871,0.471886,0.470225,0.544737,0.485242,0.609720,0.446298,0.500238,0.495910,0.542339,0.489515
4400,0.374876,0.365122,0.441983,0.454384,0.486793,0.341055,0.652908,0.467359,0.542281,0.424115,0.559682,0.395900,0.742013,0.440955,0.615076,0.408780,0.520204,0.374507,0.759757,0.405848,0.483577,0.434513,0.498620,0.401524,0.648065,0.419889,0.465996,0.464058,0.539175,0.471637,0.610405,0.441943,0.499011,0.494709,0.539879,0.478876
4600,0.373970,0.360629,0.438834,0.452028,0.502662,0.336565,0.660077,0.459403,0.557620,0.421403,0.579881,0.389520,0.763990,0.433625,0.639338,0.405127,0.538973,0.369983,0.790605,0.398984,0.491657,0.429265,0.500215,0.389814,0.662437,0.414338,0.460923,0.458484,0.533382,0.457418,0.610069,0.437517,0.497696,0.493456,0.537946,0.468157
