step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047949e+02,1.147672e+00,5.604007e-03
200,emb_resid_lut.hyperplane_weight,5.545322e+01,4.051791e-01,7.306683e-03
200,emb_resid_lut.hyperplane_bias,1.872947e-02,1.872947e-02,1.000000e+00
200,emb_resid_lut.weights,3.234375e+00,2.953125e+00,9.130435e-01
200,emb_resid_lut.log_soft_score_temp,6.968575e-01,3.710270e-03,5.324288e-03
200,emb_resid_lut.log_select_temp,6.968510e-01,3.703773e-03,5.315015e-03
200,ln_emb_resid.weight,1.962094e+01,2.697045e-02,1.374574e-03
200,ln_emb_resid.bias,9.402156e-03,9.402156e-03,1.000000e+00
200,unembedder.weight,1.046707e+02,8.874773e+00,8.478753e-02
200,layers.0.qk_lut.hyperplane_weight,1.108542e+02,5.915806e-01,5.336567e-03
200,layers.0.qk_lut.hyperplane_bias,2.466177e-02,2.466177e-02,1.000000e+00
200,layers.0.qk_lut.weights,1.812500e+00,1.492188e+00,8.232759e-01
200,layers.0.qk_lut.log_soft_score_temp,6.947461e-01,1.598895e-03,2.301409e-03
200,layers.0.qk_lut.log_select_temp,6.945699e-01,1.422763e-03,2.048408e-03
200,layers.0.v_lut.hyperplane_weight,1.357717e+02,4.624972e-01,3.406433e-03
200,layers.0.v_lut.hyperplane_bias,1.651305e-02,1.651305e-02,1.000000e+00
200,layers.0.v_lut.weights,2.265625e+00,1.734375e+00,7.655172e-01
200,layers.0.v_lut.log_soft_score_temp,6.945606e-01,1.413405e-03,2.034963e-03
200,layers.0.v_lut.log_select_temp,6.945635e-01,1.416326e-03,2.039159e-03
200,layers.0.out_proj.hyperplane_weight,8.466560e+01,3.350820e-01,3.957712e-03
200,layers.0.out_proj.hyperplane_bias,4.249637e-03,4.249637e-03,1.000000e+00
200,layers.0.out_proj.weights,5.281250e+00,4.531250e+00,8.579882e-01
200,layers.0.out_proj.log_soft_score_temp,6.935567e-01,4.094839e-04,5.904116e-04
200,layers.0.out_proj.log_select_temp,6.937466e-01,5.993843e-04,8.639817e-04
200,layers.0.residual_lut.hyperplane_weight,5.543104e+01,3.194330e-01,5.762710e-03
200,layers.0.residual_lut.hyperplane_bias,1.215661e-02,1.215661e-02,1.000000e+00
200,layers.0.residual_lut.weights,2.843750e+00,2.562500e+00,9.010989e-01
200,layers.0.residual_lut.log_soft_score_temp,6.952696e-01,2.122462e-03,3.052717e-03
200,layers.0.residual_lut.log_select_temp,6.961001e-01,2.952933e-03,4.242110e-03
200,layers.0.q_norm.weight,8.009330e+00,1.173953e-02,1.465732e-03
200,layers.0.q_norm.bias,5.821395e-03,5.821395e-03,1.000000e+00
200,layers.0.k_norm.weight,8.009137e+00,1.127258e-02,1.407464e-03
200,layers.0.k_norm.bias,7.084204e-03,7.084204e-03,1.000000e+00
200,layers.0.ln_pre.weight,1.959914e+01,8.018489e-03,4.091245e-04
200,layers.0.ln_pre.bias,5.459374e-03,5.459374e-03,1.000000e+00
200,layers.0.ln_resid.weight,1.960048e+01,1.020849e-02,5.208283e-04
200,layers.0.ln_resid.bias,2.844206e-03,2.844206e-03,1.000000e+00
200,layers.1.qk_lut.hyperplane_weight,1.108524e+02,4.838775e-01,4.365060e-03
200,layers.1.qk_lut.hyperplane_bias,2.185028e-02,2.185028e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.835938e+00,1.539062e+00,8.382979e-01
200,layers.1.qk_lut.log_soft_score_temp,6.938747e-01,7.275343e-04,1.048510e-03
200,layers.1.qk_lut.log_select_temp,6.956165e-01,2.469301e-03,3.549803e-03
200,layers.1.v_lut.hyperplane_weight,1.357708e+02,4.876032e-01,3.591370e-03
200,layers.1.v_lut.hyperplane_bias,1.588486e-02,1.588486e-02,1.000000e+00
200,layers.1.v_lut.weights,2.312500e+00,1.812500e+00,7.837838e-01
200,layers.1.v_lut.log_soft_score_temp,6.959862e-01,2.838969e-03,4.079060e-03
200,layers.1.v_lut.log_select_temp,6.959994e-01,2.852261e-03,4.098080e-03
200,layers.1.out_proj.hyperplane_weight,8.466611e+01,2.383848e-01,2.815587e-03
200,layers.1.out_proj.hyperplane_bias,3.488462e-03,3.488462e-03,1.000000e+00
200,layers.1.out_proj.weights,5.656250e+00,4.906250e+00,8.674033e-01
200,layers.1.out_proj.log_soft_score_temp,6.932184e-01,7.122755e-05,1.027491e-04
200,layers.1.out_proj.log_select_temp,6.932938e-01,1.466274e-04,2.114939e-04
200,layers.1.residual_lut.hyperplane_weight,5.542392e+01,2.950623e-01,5.323736e-03
200,layers.1.residual_lut.hyperplane_bias,1.095485e-02,1.095485e-02,1.000000e+00
200,layers.1.residual_lut.weights,2.734375e+00,2.453125e+00,8.971429e-01
200,layers.1.residual_lut.log_soft_score_temp,6.913489e-01,1.798272e-03,2.601106e-03
200,layers.1.residual_lut.log_select_temp,6.936625e-01,5.153418e-04,7.429286e-04
200,layers.1.q_norm.weight,8.007653e+00,9.171451e-03,1.145336e-03
200,layers.1.q_norm.bias,4.213464e-03,4.213464e-03,1.000000e+00
200,layers.1.k_norm.weight,8.007296e+00,8.635242e-03,1.078422e-03
200,layers.1.k_norm.bias,6.928802e-03,6.928802e-03,1.000000e+00
200,layers.1.ln_pre.weight,1.959851e+01,6.688378e-03,3.412697e-04
200,layers.1.ln_pre.bias,3.909084e-03,3.909084e-03,1.000000e+00
200,layers.1.ln_resid.weight,1.959394e+01,7.593656e-03,3.875513e-04
200,layers.1.ln_resid.bias,2.554815e-03,2.554815e-03,1.000000e+00
200,layers.2.qk_lut.hyperplane_weight,1.108519e+02,4.593756e-01,4.144048e-03
200,layers.2.qk_lut.hyperplane_bias,2.105242e-02,2.105242e-02,1.000000e+00
200,layers.2.qk_lut.weights,1.843750e+00,1.546875e+00,8.389831e-01
200,layers.2.qk_lut.log_soft_score_temp,6.922224e-01,9.247661e-04,1.335938e-03
200,layers.2.qk_lut.log_select_temp,6.944669e-01,1.319766e-03,1.900402e-03
200,layers.2.v_lut.hyperplane_weight,1.357690e+02,4.608347e-01,3.394257e-03
200,layers.2.v_lut.hyperplane_bias,1.494705e-02,1.494705e-02,1.000000e+00
200,layers.2.v_lut.weights,2.375000e+00,1.882812e+00,7.927632e-01
200,layers.2.v_lut.log_soft_score_temp,6.953576e-01,2.210379e-03,3.178766e-03
200,layers.2.v_lut.log_select_temp,6.954936e-01,2.346396e-03,3.373714e-03
200,layers.2.out_proj.hyperplane_weight,8.466767e+01,2.328752e-01,2.750461e-03
200,layers.2.out_proj.hyperplane_bias,3.462937e-03,3.462937e-03,1.000000e+00
200,layers.2.out_proj.weights,5.937500e+00,5.218750e+00,8.789474e-01
200,layers.2.out_proj.log_soft_score_temp,6.932743e-01,1.270771e-04,1.832999e-04
200,layers.2.out_proj.log_select_temp,6.933315e-01,1.842976e-04,2.658145e-04
200,layers.2.residual_lut.hyperplane_weight,5.542004e+01,2.790353e-01,5.034917e-03
200,layers.2.residual_lut.hyperplane_bias,1.005046e-02,1.005046e-02,1.000000e+00
200,layers.2.residual_lut.weights,2.687500e+00,2.406250e+00,8.953488e-01
200,layers.2.residual_lut.log_soft_score_temp,6.903399e-01,2.807260e-03,4.066489e-03
200,layers.2.residual_lut.log_select_temp,6.914318e-01,1.715362e-03,2.480884e-03
200,layers.2.q_norm.weight,8.006628e+00,8.841613e-03,1.104287e-03
200,layers.2.q_norm.bias,6.789728e-03,6.789728e-03,1.000000e+00
200,layers.2.k_norm.weight,8.006448e+00,8.664930e-03,1.082244e-03
200,layers.2.k_norm.bias,1.069950e-02,1.069950e-02,1.000000e+00
200,layers.2.ln_pre.weight,1.959790e+01,6.254936e-03,3.191636e-04
200,layers.2.ln_pre.bias,3.284671e-03,3.284671e-03,1.000000e+00
200,layers.2.ln_resid.weight,1.959064e+01,8.844684e-03,4.514749e-04
200,layers.2.ln_resid.bias,2.574472e-03,2.574472e-03,1.000000e+00
200,layers.3.qk_lut.hyperplane_weight,1.108520e+02,4.404851e-01,3.973634e-03
200,layers.3.qk_lut.hyperplane_bias,2.030850e-02,2.030850e-02,1.000000e+00
200,layers.3.qk_lut.weights,1.828125e+00,1.515625e+00,8.290598e-01
200,layers.3.qk_lut.log_soft_score_temp,6.928257e-01,3.214478e-04,4.639664e-04
200,layers.3.qk_lut.log_select_temp,6.941302e-01,9.829998e-04,1.416161e-03
200,layers.3.v_lut.hyperplane_weight,1.357678e+02,4.164453e-01,3.067335e-03
200,layers.3.v_lut.hyperplane_bias,1.196318e-02,1.196318e-02,1.000000e+00
200,layers.3.v_lut.weights,2.375000e+00,1.890625e+00,7.960526e-01
200,layers.3.v_lut.log_soft_score_temp,6.952381e-01,2.090931e-03,3.007503e-03
200,layers.3.v_lut.log_select_temp,6.952826e-01,2.135456e-03,3.071349e-03
200,layers.3.out_proj.hyperplane_weight,8.466164e+01,1.930372e-01,2.280103e-03
200,layers.3.out_proj.hyperplane_bias,3.927533e-03,3.927533e-03,1.000000e+00
200,layers.3.out_proj.weights,6.562500e+00,5.906250e+00,9.000000e-01
200,layers.3.out_proj.log_soft_score_temp,6.929458e-01,2.013445e-04,2.905631e-04
200,layers.3.out_proj.log_select_temp,6.929660e-01,1.811981e-04,2.614820e-04
200,layers.3.residual_lut.hyperplane_weight,5.541709e+01,2.650870e-01,4.783488e-03
200,layers.3.residual_lut.hyperplane_bias,9.909625e-03,9.909625e-03,1.000000e+00
200,layers.3.residual_lut.weights,2.656250e+00,2.375000e+00,8.941176e-01
200,layers.3.residual_lut.log_soft_score_temp,6.899747e-01,3.172457e-03,4.597933e-03
200,layers.3.residual_lut.log_select_temp,6.905732e-01,2.574027e-03,3.727377e-03
200,layers.3.q_norm.weight,8.002018e+00,4.063598e-03,5.078216e-04
200,layers.3.q_norm.bias,3.788950e-03,3.788950e-03,1.000000e+00
200,layers.3.k_norm.weight,8.001870e+00,4.008864e-03,5.009909e-04
200,layers.3.k_norm.bias,6.309128e-03,6.309128e-03,1.000000e+00
200,layers.3.ln_pre.weight,1.959699e+01,5.690084e-03,2.903550e-04
200,layers.3.ln_pre.bias,2.688825e-03,2.688825e-03,1.000000e+00
200,layers.3.ln_resid.weight,1.958812e+01,1.012922e-02,5.171103e-04
