step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498522,0.498678,0.498779,0.498790,0.499158,0.499158,0.499110,0.499019,0.499343,0.499400,0.499561,0.499560,0.499257,0.499455,0.499431,0.499539,0.499706,0.499705,0.499659,0.499732,0.499622,0.499685,0.499799,0.499797,0.499478,0.499680,0.499617,0.499691,0.499734,0.499729,0.499591,0.499662,0.499722,0.499748,0.499835,0.499828
400,0.494345,0.495567,0.496673,0.496767,0.497712,0.497781,0.496098,0.495941,0.498461,0.498700,0.499481,0.499432,0.497333,0.497820,0.498813,0.499139,0.499551,0.499518,0.498545,0.498994,0.499443,0.499583,0.499847,0.499785,0.498508,0.499060,0.499273,0.499485,0.499554,0.499505,0.498869,0.499243,0.499662,0.499736,0.499856,0.499823
600,0.488519,0.491744,0.492042,0.492388,0.493583,0.494031,0.492907,0.491591,0.496001,0.496387,0.499313,0.499186,0.495168,0.494954,0.496769,0.497497,0.499220,0.499156,0.496390,0.496935,0.499108,0.499365,0.500145,0.499975,0.496915,0.497581,0.498424,0.498888,0.499224,0.499112,0.497077,0.497855,0.499473,0.499650,0.499944,0.499859
800,0.481794,0.487334,0.485908,0.486662,0.487184,0.488118,0.490634,0.486176,0.490490,0.490849,0.498829,0.498632,0.493984,0.490704,0.492774,0.493738,0.498617,0.498556,0.494920,0.494659,0.498377,0.498711,0.500395,0.500072,0.496793,0.496376,0.496005,0.496682,0.498309,0.498275,0.495742,0.496058,0.498158,0.498601,0.499982,0.499797
1000,0.473568,0.481703,0.477053,0.478263,0.478112,0.479160,0.492222,0.480013,0.482358,0.482101,0.497828,0.497339,0.495992,0.486913,0.486718,0.487206,0.497242,0.497209,0.495035,0.491803,0.497154,0.497316,0.500953,0.500227,0.498068,0.494545,0.489748,0.489820,0.496517,0.496751,0.495973,0.494903,0.497021,0.497257,0.500375,0.499906
1200,0.463812,0.474786,0.465889,0.467405,0.465018,0.465440,0.498308,0.474487,0.471634,0.469701,0.496495,0.494787,0.501287,0.482809,0.479749,0.478667,0.495082,0.494665,0.498659,0.488406,0.495846,0.495358,0.502527,0.500747,0.503309,0.493167,0.482047,0.479315,0.493062,0.493800,0.497056,0.493857,0.496734,0.496056,0.501258,0.500187
1400,0.453540,0.467343,0.453128,0.454496,0.449284,0.448048,0.509499,0.468478,0.462143,0.456128,0.495730,0.490554,0.511994,0.479508,0.472628,0.467586,0.492872,0.490522,0.507872,0.485060,0.494427,0.492372,0.505824,0.501726,0.512974,0.491697,0.476964,0.466490,0.488327,0.489368,0.499630,0.492850,0.498181,0.494994,0.503181,0.500803
1600,0.443111,0.459449,0.441198,0.441428,0.433934,0.428564,0.523778,0.464616,0.457688,0.442631,0.499107,0.485557,0.526607,0.477173,0.468926,0.456509,0.493081,0.485592,0.521101,0.482887,0.493251,0.488405,0.511684,0.503233,0.527990,0.491440,0.479126,0.452734,0.483393,0.483561,0.504444,0.492014,0.502112,0.493810,0.506821,0.501935
1800,0.435258,0.452543,0.432757,0.429899,0.423230,0.408116,0.539507,0.461714,0.462294,0.431703,0.509678,0.480112,0.543483,0.475002,0.471707,0.447075,0.499151,0.481321,0.537694,0.479751,0.493028,0.483014,0.522010,0.505668,0.546287,0.491415,0.490876,0.441476,0.479619,0.475834,0.511851,0.491163,0.510242,0.493922,0.513334,0.504079
