step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047163e+02,1.132778e+00,5.533401e-03
200,layers.0.qk_lut.hyperplane_weight,7.684051e+01,6.012864e-01,7.825123e-03
200,layers.0.qk_lut.hyperplane_bias,2.536772e-02,2.536772e-02,1.000000e+00
200,layers.0.qk_lut.weights,1.734375e+00,1.414062e+00,8.153153e-01
200,layers.0.qk_lut.log_soft_score_temp,6.952237e-01,2.076507e-03,2.986818e-03
200,layers.0.qk_lut.log_select_temp,6.949244e-01,1.777172e-03,2.557360e-03
200,layers.0.v_lut.hyperplane_weight,9.409142e+01,1.027996e+00,1.092550e-02
200,layers.0.v_lut.hyperplane_bias,5.063275e-02,5.063275e-02,1.000000e+00
200,layers.0.v_lut.weights,3.671875e+00,3.359375e+00,9.148936e-01
200,layers.0.v_lut.log_soft_score_temp,6.954446e-01,2.297461e-03,3.303586e-03
200,layers.0.v_lut.log_select_temp,6.954478e-01,2.300620e-03,3.308113e-03
200,layers.0.out_proj.hyperplane_weight,5.870881e+01,7.711511e-01,1.313518e-02
200,layers.0.out_proj.hyperplane_bias,2.851740e-02,2.851740e-02,1.000000e+00
200,layers.0.out_proj.weights,9.375000e+00,8.937500e+00,9.533333e-01
200,layers.0.out_proj.log_soft_score_temp,6.955354e-01,2.388179e-03,3.433584e-03
200,layers.0.out_proj.log_select_temp,6.955650e-01,2.417862e-03,3.476113e-03
200,layers.0.q_norm.weight,8.009478e+00,1.000009e-02,1.248532e-03
200,layers.0.q_norm.bias,4.667015e-03,4.667015e-03,1.000000e+00
200,layers.0.k_norm.weight,8.009371e+00,9.854308e-03,1.230347e-03
200,layers.0.k_norm.bias,3.919453e-03,3.919453e-03,1.000000e+00
200,layers.0.ln_pre.weight,1.960430e+01,1.285901e-02,6.559282e-04
200,layers.0.ln_pre.bias,7.550784e-03,7.550784e-03,1.000000e+00
200,layers.1.qk_lut.hyperplane_weight,7.683869e+01,4.085363e-01,5.316804e-03
200,layers.1.qk_lut.hyperplane_bias,1.910354e-02,1.910354e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.984375e+00,1.718750e+00,8.661417e-01
200,layers.1.qk_lut.log_soft_score_temp,6.948028e-01,1.655579e-03,2.382804e-03
200,layers.1.qk_lut.log_select_temp,6.946368e-01,1.489639e-03,2.144486e-03
200,layers.1.v_lut.hyperplane_weight,9.405855e+01,4.590072e-01,4.880016e-03
200,layers.1.v_lut.hyperplane_bias,2.200953e-02,2.200953e-02,1.000000e+00
200,layers.1.v_lut.weights,3.921875e+00,3.640625e+00,9.282869e-01
200,layers.1.v_lut.log_soft_score_temp,6.947238e-01,1.576602e-03,2.269395e-03
200,layers.1.v_lut.log_select_temp,6.945325e-01,1.385272e-03,1.994538e-03
200,layers.1.out_proj.hyperplane_weight,5.869228e+01,3.982202e-01,6.784882e-03
200,layers.1.out_proj.hyperplane_bias,1.360771e-02,1.360771e-02,1.000000e+00
200,layers.1.out_proj.weights,1.206250e+01,1.175000e+01,9.740933e-01
200,layers.1.out_proj.log_soft_score_temp,6.940559e-01,9.087324e-04,1.309307e-03
200,layers.1.out_proj.log_select_temp,6.940784e-01,9.312630e-04,1.341726e-03
200,layers.1.q_norm.weight,8.012175e+00,1.333759e-02,1.664666e-03
200,layers.1.q_norm.bias,6.706574e-03,6.706574e-03,1.000000e+00
200,layers.1.k_norm.weight,8.011959e+00,1.297755e-02,1.619773e-03
200,layers.1.k_norm.bias,8.656874e-03,8.656874e-03,1.000000e+00
200,layers.1.ln_pre.weight,1.959953e+01,7.991496e-03,4.077391e-04
200,layers.1.ln_pre.bias,5.735710e-03,5.735710e-03,1.000000e+00
200,layers.2.qk_lut.hyperplane_weight,7.680787e+01,3.339988e-01,4.348497e-03
200,layers.2.qk_lut.hyperplane_bias,1.573692e-02,1.573692e-02,1.000000e+00
200,layers.2.qk_lut.weights,2.359375e+00,2.156250e+00,9.139073e-01
200,layers.2.qk_lut.log_soft_score_temp,6.946197e-01,1.472473e-03,2.119826e-03
200,layers.2.qk_lut.log_select_temp,6.945006e-01,1.353383e-03,1.948714e-03
200,layers.2.v_lut.hyperplane_weight,9.413561e+01,3.459921e-01,3.675464e-03
200,layers.2.v_lut.hyperplane_bias,1.778415e-02,1.778415e-02,1.000000e+00
200,layers.2.v_lut.weights,4.687500e+00,4.437500e+00,9.466667e-01
200,layers.2.v_lut.log_soft_score_temp,6.939183e-01,7.711053e-04,1.111234e-03
200,layers.2.v_lut.log_select_temp,6.938489e-01,7.017255e-04,1.011352e-03
200,layers.2.out_proj.hyperplane_weight,5.860357e+01,3.217726e-01,5.490666e-03
200,layers.2.out_proj.hyperplane_bias,1.247159e-02,1.247159e-02,1.000000e+00
200,layers.2.out_proj.weights,1.225000e+01,1.187500e+01,9.693878e-01
200,layers.2.out_proj.log_soft_score_temp,6.938335e-01,6.863475e-04,9.892106e-04
200,layers.2.out_proj.log_select_temp,6.938555e-01,7.083416e-04,1.020878e-03
200,layers.2.q_norm.weight,8.006530e+00,6.880315e-03,8.593380e-04
200,layers.2.q_norm.bias,2.581079e-03,2.581079e-03,1.000000e+00
200,layers.2.k_norm.weight,8.006425e+00,6.870444e-03,8.581163e-04
200,layers.2.k_norm.bias,4.101228e-03,4.101228e-03,1.000000e+00
200,layers.2.ln_pre.weight,1.959865e+01,6.436911e-03,3.284364e-04
200,layers.2.ln_pre.bias,5.407381e-03,5.407381e-03,1.000000e+00
