step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047746e+02,1.137131e+00,5.553083e-03
200,emb_resid_lut.hyperplane_weight,5.543784e+01,3.800010e-01,6.854542e-03
200,emb_resid_lut.hyperplane_bias,1.779538e-02,1.779538e-02,1.000000e+00
200,emb_resid_lut.weights,3.062500e+00,2.796875e+00,9.132653e-01
200,emb_resid_lut.log_soft_score_temp,6.965907e-01,3.443539e-03,4.943418e-03
200,emb_resid_lut.log_select_temp,6.965660e-01,3.418863e-03,4.908167e-03
200,unembedder_lut.hyperplane_weight,2.197708e+01,8.225539e-01,3.742781e-02
200,unembedder_lut.hyperplane_bias,4.272678e-02,4.272678e-02,1.000000e+00
200,unembedder_lut.w_cell,1.421251e+01,1.667542e+00,1.173292e-01
200,layers.0.qk_lut.hyperplane_weight,1.108534e+02,5.482512e-01,4.945732e-03
200,layers.0.qk_lut.hyperplane_bias,2.451035e-02,2.451035e-02,1.000000e+00
200,layers.0.qk_lut.weights,1.757812e+00,1.429688e+00,8.133333e-01
200,layers.0.qk_lut.log_soft_score_temp,6.950684e-01,1.921237e-03,2.764097e-03
200,layers.0.qk_lut.log_select_temp,6.947843e-01,1.637101e-03,2.356273e-03
200,layers.0.v_lut.hyperplane_weight,1.357668e+02,3.159133e-01,2.326883e-03
200,layers.0.v_lut.hyperplane_bias,1.360951e-02,1.360951e-02,1.000000e+00
200,layers.0.v_lut.weights,2.359375e+00,1.859375e+00,7.880795e-01
200,layers.0.v_lut.log_soft_score_temp,6.936021e-01,4.549026e-04,6.558554e-04
200,layers.0.v_lut.log_select_temp,6.936064e-01,4.592538e-04,6.621245e-04
200,layers.0.out_proj.hyperplane_weight,8.466103e+01,1.879559e-01,2.220099e-03
200,layers.0.out_proj.hyperplane_bias,7.282314e-03,7.282314e-03,1.000000e+00
200,layers.0.out_proj.weights,7.500000e+00,6.937500e+00,9.250000e-01
200,layers.0.out_proj.log_soft_score_temp,6.930553e-01,9.185076e-05,1.325302e-04
200,layers.0.out_proj.log_select_temp,6.930761e-01,7.110834e-05,1.025982e-04
200,layers.0.residual_lut.hyperplane_weight,5.542847e+01,2.810128e-01,5.069828e-03
200,layers.0.residual_lut.hyperplane_bias,1.149292e-02,1.149292e-02,1.000000e+00
200,layers.0.residual_lut.weights,2.718750e+00,2.515625e+00,9.252874e-01
200,layers.0.residual_lut.log_soft_score_temp,6.940458e-01,8.985996e-04,1.294727e-03
200,layers.0.residual_lut.log_select_temp,6.950783e-01,1.931071e-03,2.778207e-03
200,layers.0.q_norm.weight,8.003104e+00,4.477523e-03,5.594733e-04
200,layers.0.q_norm.bias,3.593331e-03,3.593331e-03,1.000000e+00
200,layers.0.k_norm.weight,8.002943e+00,4.332279e-03,5.413358e-04
200,layers.0.k_norm.bias,4.891546e-03,4.891546e-03,1.000000e+00
200,layers.1.qk_lut.hyperplane_weight,1.108520e+02,3.999818e-01,3.608251e-03
200,layers.1.qk_lut.hyperplane_bias,1.953419e-02,1.953419e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.875000e+00,1.578125e+00,8.416667e-01
200,layers.1.qk_lut.log_soft_score_temp,6.933423e-01,1.950860e-04,2.813704e-04
200,layers.1.qk_lut.log_select_temp,6.937926e-01,6.454587e-04,9.303337e-04
200,layers.1.v_lut.hyperplane_weight,1.357655e+02,3.923753e-01,2.890096e-03
200,layers.1.v_lut.hyperplane_bias,1.781734e-02,1.781734e-02,1.000000e+00
200,layers.1.v_lut.weights,2.656250e+00,2.218750e+00,8.352941e-01
200,layers.1.v_lut.log_soft_score_temp,6.934534e-01,3.061891e-04,4.415424e-04
200,layers.1.v_lut.log_select_temp,6.935257e-01,3.785491e-04,5.458328e-04
200,layers.1.out_proj.hyperplane_weight,8.465983e+01,1.809301e-01,2.137142e-03
200,layers.1.out_proj.hyperplane_bias,7.557323e-03,7.557323e-03,1.000000e+00
200,layers.1.out_proj.weights,1.043750e+01,1.000000e+01,9.580838e-01
