step,train_loss,val_bpb
200,9.225732,2.536571
400,7.470106,2.122155
600,6.602969,1.953352
800,6.191972,1.868315
1000,5.943044,1.808231
1200,5.761605,1.764597
1400,5.615461,1.720025
1600,5.502469,1.688399
1800,5.381579,1.657904
2000,5.284836,1.630724
2200,5.207624,1.610854
2400,5.145146,1.591868
2600,5.078965,1.575447
2800,5.029742,1.563296
3000,4.990076,1.549125
3200,4.957715,1.538460
3400,4.914663,1.528008
3600,4.873866,1.519995
3800,4.861803,1.507715
4000,4.827705,1.500820
4200,4.795927,1.492417
4400,4.767877,1.485794
4600,4.751874,1.476929
4800,4.724539,1.471036
5000,4.709430,1.466638
5200,4.695077,1.459640
5400,4.689700,1.451745
5600,4.650360,1.447142
5800,4.621077,1.444034
6000,4.608465,1.438297
6200,4.593594,1.432559
6400,4.571290,1.428366
6600,4.555726,1.422870
6800,4.551246,1.418828
7000,4.520628,1.413994
7200,4.497332,1.409694
7400,4.496619,1.406403
7600,4.477951,1.403166
7800,4.459377,1.397834
8000,4.450517,1.394862
8200,4.443148,1.391039
8400,4.429111,1.388120
8600,4.414821,1.385714
8800,4.403602,1.381437
9000,4.407611,1.378196
9200,4.389841,1.376087
9400,4.376646,1.374071
9600,4.369546,1.370683
9800,4.371342,1.367807
10000,4.352623,1.364899
10200,4.347547,1.364567
10400,4.361767,1.362736
10600,4.364918,1.360504
10800,4.326827,1.358134
11000,4.302627,1.356410
11200,4.307951,1.354661
11400,4.306678,1.353390
11600,4.292400,1.351886
11800,4.290654,1.350313
12000,4.286536,1.349580
12200,4.268271,1.347590
12400,4.260905,1.346878
12600,4.260626,1.344704
12800,4.252203,1.343262
13000,4.248299,1.343150
13200,4.243175,1.342988
13400,4.246173,1.340329
13600,4.238856,1.339733
13800,4.229847,1.338575
14000,4.230532,1.337129
14200,4.235633,1.336931
14400,4.225702,1.337744
14600,4.218536,1.336159
14800,4.216041,1.335380
15000,4.221203,1.335507
15200,4.211054,1.334211
15400,4.221216,1.334786
15600,4.246797,1.334154
15800,4.233985,1.333393
16000,4.209969,1.333856
