step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.046971e+02,1.567580e+00,7.658047e-03
200,layers.0.qk_lut.hyperplane_weight,3.919521e+01,4.142476e-01,1.056883e-02
200,layers.0.qk_lut.hyperplane_bias,1.904376e-02,1.904376e-02,1.000000e+00
200,layers.0.qk_lut.weights,6.718750e-01,5.937500e-01,8.837209e-01
200,layers.0.qk_lut.log_soft_score_temp,6.960169e-01,2.869725e-03,4.123068e-03
200,layers.0.qk_lut.log_select_temp,6.957118e-01,2.564609e-03,3.686310e-03
200,layers.0.v_lut.hyperplane_weight,4.804770e+01,1.069784e+00,2.226505e-02
200,layers.0.v_lut.hyperplane_bias,5.006785e-02,5.006785e-02,1.000000e+00
200,layers.0.v_lut.weights,1.617188e+00,1.531250e+00,9.468599e-01
200,layers.0.v_lut.log_soft_score_temp,6.969973e-01,3.850102e-03,5.523841e-03
200,layers.0.v_lut.log_select_temp,6.970106e-01,3.863454e-03,5.542891e-03
200,layers.0.out_proj.hyperplane_weight,8.479684e+01,1.186789e+00,1.399568e-02
200,layers.0.out_proj.hyperplane_bias,3.602203e-02,3.602203e-02,1.000000e+00
200,layers.0.out_proj.weights,7.468750e+00,6.875000e+00,9.205021e-01
200,layers.0.out_proj.log_soft_score_temp,6.968998e-01,3.752589e-03,5.384690e-03
200,layers.0.out_proj.log_select_temp,6.969149e-01,3.767729e-03,5.406297e-03
200,layers.0.q_norm.weight,8.024889e+00,2.506289e-02,3.123144e-03
200,layers.0.q_norm.bias,1.122993e-02,1.122993e-02,1.000000e+00
200,layers.0.k_norm.weight,8.024801e+00,2.499364e-02,3.114550e-03
200,layers.0.k_norm.bias,1.343135e-02,1.343135e-02,1.000000e+00
200,layers.0.ln_pre.weight,1.960800e+01,2.316319e-02,1.181313e-03
200,layers.0.ln_pre.bias,1.927474e-02,1.927474e-02,1.000000e+00
200,layers.1.qk_lut.hyperplane_weight,3.919396e+01,2.883168e-01,7.356155e-03
200,layers.1.qk_lut.hyperplane_bias,1.403545e-02,1.403545e-02,1.000000e+00
200,layers.1.qk_lut.weights,6.757812e-01,5.937500e-01,8.786127e-01
200,layers.1.qk_lut.log_soft_score_temp,6.953255e-01,2.178311e-03,3.132794e-03
200,layers.1.qk_lut.log_select_temp,6.957303e-01,2.583086e-03,3.712770e-03
200,layers.1.v_lut.hyperplane_weight,4.801220e+01,4.085261e-01,8.508796e-03
200,layers.1.v_lut.hyperplane_bias,2.121352e-02,2.121352e-02,1.000000e+00
200,layers.1.v_lut.weights,1.257812e+00,1.148438e+00,9.130435e-01
200,layers.1.v_lut.log_soft_score_temp,6.949747e-01,1.827538e-03,2.629647e-03
200,layers.1.v_lut.log_select_temp,6.949675e-01,1.820326e-03,2.619296e-03
200,layers.1.out_proj.hyperplane_weight,8.468916e+01,5.842751e-01,6.899054e-03
200,layers.1.out_proj.hyperplane_bias,3.330379e-02,3.330379e-02,1.000000e+00
200,layers.1.out_proj.weights,1.018750e+01,9.812500e+00,9.631902e-01
200,layers.1.out_proj.log_soft_score_temp,6.943899e-01,1.242757e-03,1.789710e-03
