step,train_loss,val_bpb
200,8.377303,2.194451
400,6.630437,1.904234
600,5.972219,1.792749
800,5.651257,1.719195
1000,5.428924,1.664221
1200,5.263504,1.623855
1400,5.141670,1.590185
1600,5.054746,1.564423
1800,4.959375,1.542873
2000,4.885743,1.524584
2200,4.827605,1.506324
2400,4.777498,1.491422
2600,4.720067,1.477381
2800,4.678325,1.466041
3000,4.645092,1.454776
3200,4.622834,1.446246
3400,4.589300,1.439155
3600,4.561196,1.433612
3800,4.561532,1.428380
4000,4.544446,1.425244
4096,4.533106,1.423876
