step,train_loss,val_bpb
200,8.223860,2.143516
400,6.559643,1.896161
600,5.953225,1.790409
800,5.643994,1.718728
1000,5.425181,1.664497
1200,5.265481,1.625875
1400,5.147820,1.594485
1600,5.066249,1.569414
1800,4.974274,1.547556
2000,4.899387,1.526578
2200,4.834428,1.507690
2400,4.775646,1.489103
2600,4.711975,1.473651
2800,4.665351,1.460386
3000,4.630645,1.449717
3200,4.609568,1.441725
3400,4.577294,1.434699
3600,4.551104,1.429255
3800,4.552109,1.424797
4000,4.536054,1.421736
4096,4.526314,1.420223
