step,train_loss,val_bpb
200,8.414078,2.235589
400,6.741010,1.936440
600,6.053668,1.810995
800,5.705170,1.730382
1000,5.473576,1.677227
1200,5.305532,1.635817
1400,5.174977,1.599360
1600,5.071230,1.565377
1800,4.944428,1.532433
2000,4.832344,1.500691
2200,4.744514,1.476530
2400,4.677527,1.457796
2600,4.613874,1.442970
2800,4.569147,1.430822
3000,4.537540,1.419514
3200,4.520106,1.411200
3400,4.488177,1.405718
3600,4.462250,1.400124
3800,4.464691,1.395879
4000,4.448897,1.392781
4096,4.438197,1.391544
