step,train_loss,val_bpb
200,8.416160,2.227752
400,6.714905,1.928912
600,6.043534,1.810633
800,5.711021,1.734439
1000,5.487058,1.681961
1200,5.324723,1.641280
1400,5.200777,1.608164
1600,5.102152,1.576804
1800,4.984308,1.544787
2000,4.881423,1.517693
2200,4.798071,1.493339
2400,4.731841,1.474565
2600,4.667149,1.459980
2800,4.621430,1.446696
3000,4.588822,1.436369
3200,4.569387,1.428105
3400,4.537889,1.421127
3600,4.511523,1.416032
3800,4.513691,1.411636
4000,4.497415,1.408965
4096,4.487337,1.407416
