step,train_loss,val_bpb
200,8.197431,2.125782
400,6.525735,1.884950
600,5.902547,1.773500
800,5.597324,1.706659
1000,5.395625,1.659329
1200,5.249891,1.624294
1400,5.139056,1.591567
1600,5.057934,1.566757
1800,4.966321,1.545559
2000,4.889630,1.525083
2200,4.824800,1.504818
2400,4.762490,1.485964
2600,4.694028,1.468562
2800,4.643855,1.454116
3000,4.607041,1.443019
3200,4.583797,1.434177
3400,4.550963,1.426268
3600,4.523003,1.420912
3800,4.524730,1.416395
4000,4.507572,1.413116
4096,4.497333,1.411679
