step,train_loss,val_bpb
200,8.383132,2.193374
400,6.605556,1.894160
600,5.929097,1.776788
800,5.596177,1.701616
1000,5.370312,1.647091
1200,5.205693,1.607783
1400,5.082455,1.574826
1600,4.992928,1.546587
1800,4.890297,1.520736
2000,4.800885,1.495188
2200,4.726824,1.473940
2400,4.666087,1.456912
2600,4.602968,1.441018
2800,4.558221,1.428484
3000,4.524919,1.417461
3200,4.505065,1.408985
3400,4.472145,1.402181
3600,4.444747,1.396759
3800,4.445752,1.392071
4000,4.429814,1.388938
4096,4.419627,1.387667
