step,train_loss,val_bpb
200,8.374057,2.197969
400,6.665173,1.914733
600,5.988669,1.794544
800,5.652170,1.719173
1000,5.427203,1.664609
1200,5.262419,1.624139
1400,5.134595,1.588048
1600,5.025435,1.550741
1800,4.889585,1.514739
2000,4.777432,1.484939
2200,4.693923,1.462097
2400,4.630489,1.444278
2600,4.568361,1.429152
2800,4.525180,1.416812
3000,4.493970,1.406291
3200,4.476112,1.399030
3400,4.444286,1.392694
3600,4.418846,1.386989
3800,4.421080,1.382644
4000,4.405010,1.379747
4096,4.394368,1.378499
