step,train_loss,val_bpb
200,8.371878,2.203025
400,6.654823,1.910564
600,5.959455,1.781726
800,5.612572,1.704464
1000,5.382758,1.650916
1200,5.213925,1.608689
1400,5.082015,1.571369
1600,4.968379,1.532938
1800,4.830969,1.498007
2000,4.720042,1.468140
2200,4.636568,1.443932
2400,4.574054,1.426816
2600,4.511956,1.412988
2800,4.468998,1.400066
3000,4.437328,1.389668
3200,4.420638,1.381506
3400,4.389178,1.375303
3600,4.363419,1.369964
3800,4.366305,1.366037
4000,4.350544,1.362913
4096,4.339641,1.361681
