step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.045570e+02,6.542136e+00,3.198197e-02
200,layers.0.q_lut.compress.weight,9.804668e+00,6.374114e-01,6.501101e-02
200,layers.0.q_lut.compress.bias,5.079867e-01,3.321401e-02,6.538362e-02
200,layers.0.q_lut.lut_batched.weights,2.684486e+00,2.665472e+00,9.929170e-01
200,layers.0.q_lut.lut_batched.log_soft_score_temp,7.026026e-01,9.455442e-03,1.345774e-02
200,layers.0.q_lut.lut_batched.log_select_temp,7.020593e-01,8.912086e-03,1.269421e-02
200,layers.0.k_lut.compress.weight,9.783327e+00,3.399399e-01,3.474686e-02
200,layers.0.k_lut.compress.bias,4.699467e-01,1.679756e-02,3.574354e-02
200,layers.0.k_lut.lut_batched.weights,2.695536e+00,2.681073e+00,9.946345e-01
200,layers.0.k_lut.lut_batched.log_soft_score_temp,7.007133e-01,7.566154e-03,1.079779e-02
200,layers.0.k_lut.lut_batched.log_select_temp,7.008988e-01,7.751584e-03,1.105949e-02
200,layers.0.v_lut.compress.weight,1.017474e+01,2.137288e+00,2.100581e-01
200,layers.0.v_lut.compress.bias,4.954621e-01,8.640344e-02,1.743896e-01
200,layers.0.v_lut.lut_batched.weights,5.305157e+00,5.277078e+00,9.947071e-01
200,layers.0.v_lut.lut_batched.log_soft_score_temp,7.074426e-01,1.429540e-02,2.020715e-02
200,layers.0.v_lut.lut_batched.log_select_temp,7.074764e-01,1.432920e-02,2.025396e-02
200,layers.0.out_proj.compress.weight,1.178195e+01,2.552325e+00,2.166301e-01
200,layers.0.out_proj.compress.bias,6.536103e-01,1.130918e-01,1.730263e-01
200,layers.0.out_proj.lut_batched.weights,2.383547e+00,2.326591e+00,9.761045e-01
200,layers.0.out_proj.lut_batched.log_soft_score_temp,7.076188e-01,1.447159e-02,2.045111e-02
200,layers.0.out_proj.lut_batched.log_select_temp,7.077135e-01,1.456630e-02,2.058220e-02
200,layers.0.out_proj.decompress.weight,1.151254e+01,1.542555e+00,1.339891e-01
200,layers.0.out_proj.decompress.bias,5.893438e-01,3.837816e-02,6.512015e-02
200,layers.0.q_norm.weight,8.078321e+00,7.967085e-02,9.862303e-03
