step,train_loss,val_bpb
200,8.441345,2.225772
400,6.779938,1.951808
600,6.161719,1.851193
800,5.883713,1.788404
1000,5.684978,1.738795
1200,5.532924,1.699989
1400,5.415807,1.667698
1600,5.329677,1.640572
1800,5.235533,1.619184
2000,5.161554,1.599605
2200,5.103706,1.583594
2400,5.055556,1.567989
2600,5.003419,1.555256
2800,4.966901,1.545571
3000,4.940671,1.537076
3200,4.920842,1.529453
3400,4.892969,1.524039
3600,4.867793,1.518926
3800,4.873047,1.514541
4000,4.858438,1.512301
