layer,step,mse
0,1,1.02865958
0,50,0.59107041
0,100,0.38091850
0,150,0.29805386
0,200,0.25978696
0,250,0.22833356
0,300,0.21373110
0,350,0.20126536
0,400,0.18407631
0,450,0.17734121
0,500,0.17008762
1,1,1.00776672
1,50,0.45426548
1,100,0.27686715
1,150,0.19183235
1,200,0.14152938
1,250,0.11641546
1,300,0.09998845
1,350,0.08899352
1,400,0.08125371
1,450,0.07423566
1,500,0.06909858
2,1,1.00802112
2,50,0.47671181
2,100,0.30730438
2,150,0.22404775
2,200,0.17234826
2,250,0.13943423
2,300,0.11679043
2,350,0.10235876
2,400,0.09140740
2,450,0.08299642
2,500,0.07772294
3,1,1.00837541
3,50,0.52407759
3,100,0.34647793
3,150,0.24446134
3,200,0.18326983
3,250,0.14660981
3,300,0.12376229
3,350,0.10539230
3,400,0.09425239
3,450,0.08588221
3,500,0.07892765
4,1,1.01153612
4,50,0.55039632
4,100,0.36756226
4,150,0.24254787
4,200,0.17994544
4,250,0.14073184
4,300,0.11744945
4,350,0.10272586
4,400,0.09228188
4,450,0.08451837
4,500,0.07867844
5,1,1.01477861
5,50,0.49115658
5,100,0.29233688
5,150,0.19636998
5,200,0.14494908
5,250,0.11655056
5,300,0.10029372
5,350,0.08894845
5,400,0.08146526
5,450,0.07538505
5,500,0.07119839
