step,train_loss,val_bpb
200,9.314844,2.599464
400,7.551331,2.135741
600,6.627627,1.962065
800,6.196309,1.868716
1000,5.903068,1.794445
1200,5.670106,1.733568
1400,5.479745,1.680181
1600,5.319827,1.633423
1800,5.133491,1.577736
2000,4.963779,1.530114
2200,4.830623,1.495640
2400,4.731432,1.468181
2600,4.641655,1.445286
2800,4.576406,1.429065
3000,4.526770,1.411629
3200,4.493096,1.399337
3400,4.446229,1.389370
3600,4.404889,1.378655
3800,4.391884,1.371143
4000,4.359898,1.362783
4200,4.325345,1.355567
4400,4.305061,1.349152
4600,4.293885,1.343333
4800,4.269735,1.337926
5000,4.258778,1.332429
5200,4.249951,1.327166
5400,4.251288,1.322007
5600,4.213030,1.320044
5800,4.190451,1.315334
6000,4.181061,1.311671
6200,4.170936,1.308135
6400,4.155512,1.305124
6600,4.143764,1.301980
6800,4.146703,1.299441
7000,4.120502,1.296656
7200,4.099498,1.293307
7400,4.103764,1.290749
7600,4.088844,1.288205
7800,4.072168,1.286527
8000,4.066338,1.284082
8200,4.065048,1.280761
8400,4.053152,1.279271
8600,4.040995,1.276880
8800,4.032382,1.274566
9000,4.040097,1.272899
9200,4.025325,1.271945
9400,4.010758,1.269988
9600,4.008982,1.267415
9800,4.013800,1.265522
10000,3.993797,1.263664
10200,3.991409,1.262159
10400,4.004114,1.260605
10600,4.008135,1.258457
10800,3.977012,1.257477
11000,3.953411,1.256755
11200,3.960458,1.255033
11400,3.961056,1.253368
11600,3.948486,1.251990
11800,3.946658,1.251479
12000,3.942800,1.250145
12200,3.927834,1.248787
12400,3.921836,1.247559
12600,3.920703,1.246470
12800,3.913863,1.245462
13000,3.910289,1.245133
13200,3.903073,1.243157
13400,3.909195,1.242769
13600,3.901127,1.242255
13800,3.892238,1.241503
14000,3.892820,1.240730
14200,3.898987,1.240291
14400,3.888948,1.239896
14600,3.878232,1.239766
14800,3.881328,1.238708
15000,3.886559,1.237816
15200,3.874028,1.237486
15400,3.882950,1.237632
15600,3.906821,1.237092
15800,3.894447,1.236757
16000,3.874922,1.236579
