step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.045711e+02,6.067820e+00,2.966118e-02
200,layers.0.q_lut.compress.weight,1.384696e+01,7.544975e-01,5.448831e-02
200,layers.0.q_lut.compress.bias,7.028074e-01,3.317869e-02,4.720879e-02
200,layers.0.q_lut.lut_batched.weights,3.899304e+00,3.851434e+00,9.877236e-01
200,layers.0.q_lut.lut_batched.log_soft_score_temp,7.000200e-01,6.872833e-03,9.818052e-03
200,layers.0.q_lut.lut_batched.log_select_temp,6.992621e-01,6.114960e-03,8.744875e-03
200,layers.0.k_lut.compress.weight,1.383658e+01,3.790869e-01,2.739745e-02
200,layers.0.k_lut.compress.bias,6.762190e-01,1.922282e-02,2.842691e-02
200,layers.0.k_lut.lut_batched.weights,3.804135e+00,3.758388e+00,9.879744e-01
200,layers.0.k_lut.lut_batched.log_soft_score_temp,6.984577e-01,5.310476e-03,7.603146e-03
200,layers.0.k_lut.lut_batched.log_select_temp,6.984550e-01,5.307853e-03,7.599420e-03
200,layers.0.v_lut.compress.weight,1.416953e+01,2.049939e+00,1.446723e-01
200,layers.0.v_lut.compress.bias,7.188333e-01,8.115595e-02,1.128995e-01
200,layers.0.v_lut.lut_batched.weights,7.014668e+00,6.972500e+00,9.939885e-01
200,layers.0.v_lut.lut_batched.log_soft_score_temp,7.066201e-01,1.347291e-02,1.906670e-02
200,layers.0.v_lut.lut_batched.log_select_temp,7.064832e-01,1.333606e-02,1.887669e-02
200,layers.0.out_proj.compress.weight,1.161946e+01,1.687089e+00,1.451951e-01
200,layers.0.out_proj.compress.bias,6.310230e-01,7.710906e-02,1.221969e-01
200,layers.0.out_proj.lut_batched.weights,3.822870e+00,3.753133e+00,9.817578e-01
200,layers.0.out_proj.lut_batched.log_soft_score_temp,7.073649e-01,1.421773e-02,2.009958e-02
200,layers.0.out_proj.lut_batched.log_select_temp,7.076213e-01,1.447415e-02,2.045466e-02
200,layers.0.out_proj.decompress.weight,1.146113e+01,1.190182e+00,1.038450e-01
200,layers.0.out_proj.decompress.bias,5.884029e-01,2.758777e-02,4.688586e-02
200,layers.0.q_norm.weight,8.086346e+00,8.780403e-02,1.085831e-02
200,layers.0.q_norm.bias,2.749890e-02,2.749890e-02,1.000000e+00
200,layers.0.k_norm.weight,8.085136e+00,8.653422e-02,1.070288e-02
200,layers.0.k_norm.bias,3.029562e-02,3.029562e-02,1.000000e+00
200,layers.0.ln_pre.weight,1.968695e+01,9.876837e-02,5.016946e-03
200,layers.0.ln_pre.bias,4.648900e-02,4.648900e-02,1.000000e+00
200,layers.1.q_lut.compress.weight,1.384410e+01,6.759115e-01,4.882308e-02
200,layers.1.q_lut.compress.bias,6.815580e-01,2.590642e-02,3.801059e-02
200,layers.1.q_lut.lut_batched.weights,4.838469e+00,4.810274e+00,9.941729e-01
200,layers.1.q_lut.lut_batched.log_soft_score_temp,7.024937e-01,9.346545e-03,1.330481e-02
200,layers.1.q_lut.lut_batched.log_select_temp,7.028765e-01,9.729326e-03,1.384216e-02
200,layers.1.k_lut.compress.weight,1.386655e+01,5.415163e-01,3.905198e-02
200,layers.1.k_lut.compress.bias,6.965852e-01,3.053302e-02,4.383243e-02
200,layers.1.k_lut.lut_batched.weights,4.931918e+00,4.910587e+00,9.956748e-01
200,layers.1.k_lut.lut_batched.log_soft_score_temp,7.011243e-01,7.977128e-03,1.137762e-02
200,layers.1.k_lut.lut_batched.log_select_temp,7.016082e-01,8.460999e-03,1.205944e-02
200,layers.1.v_lut.compress.weight,1.397631e+01,1.577899e+00,1.128981e-01
200,layers.1.v_lut.compress.bias,6.976929e-01,6.597793e-02,9.456587e-02
200,layers.1.v_lut.lut_batched.weights,6.800072e+00,6.758828e+00,9.939348e-01
200,layers.1.v_lut.lut_batched.log_soft_score_temp,7.038838e-01,1.073658e-02,1.525335e-02
200,layers.1.v_lut.lut_batched.log_select_temp,7.036997e-01,1.055253e-02,1.499578e-02
200,layers.1.out_proj.compress.weight,1.149984e+01,1.369688e+00,1.191050e-01
200,layers.1.out_proj.compress.bias,5.943266e-01,5.642859e-02,9.494541e-02
200,layers.1.out_proj.lut_batched.weights,3.711346e+00,3.640227e+00,9.808373e-01
200,layers.1.out_proj.lut_batched.log_soft_score_temp,7.048317e-01,1.168448e-02,1.657769e-02
200,layers.1.out_proj.lut_batched.log_select_temp,7.047364e-01,1.158923e-02,1.644477e-02
200,layers.1.out_proj.decompress.weight,1.139653e+01,1.016041e+00,8.915359e-02
