step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.352236e+01,6.380216e-01,7.638932e-03
200,layers.0.q_lut.compress.weight,2.765825e+01,1.563759e-01,5.653861e-03
200,layers.0.q_lut.compress.bias,3.470857e+00,1.502200e-02,4.328038e-03
200,layers.0.q_lut.lut_batched.weights,4.443252e-01,3.786635e-01,8.522215e-01
200,layers.0.q_lut.lut_batched.log_soft_score_temp,6.946234e-01,1.476169e-03,2.125135e-03
200,layers.0.q_lut.lut_batched.log_select_temp,6.946514e-01,1.504242e-03,2.165464e-03
200,layers.0.k_lut.compress.weight,2.765177e+01,6.165508e-02,2.229697e-03
200,layers.0.k_lut.compress.bias,3.472138e+00,6.954498e-03,2.002944e-03
200,layers.0.k_lut.lut_batched.weights,4.114652e-01,3.444127e-01,8.370397e-01
200,layers.0.k_lut.lut_batched.log_soft_score_temp,6.947981e-01,1.650870e-03,2.376043e-03
200,layers.0.k_lut.lut_batched.log_select_temp,6.949457e-01,1.798511e-03,2.587987e-03
200,layers.0.v_lut.compress.weight,2.765508e+01,1.657210e-01,5.992425e-03
200,layers.0.v_lut.compress.bias,3.448573e+00,2.009841e-02,5.828037e-03
200,layers.0.v_lut.lut_batched.weights,7.343057e-01,6.353319e-01,8.652144e-01
200,layers.0.v_lut.lut_batched.log_soft_score_temp,6.949357e-01,1.788497e-03,2.573615e-03
200,layers.0.v_lut.lut_batched.log_select_temp,6.950008e-01,1.853645e-03,2.667112e-03
200,layers.0.out_proj.compress.weight,1.131436e+01,1.381162e-01,1.220716e-02
200,layers.0.out_proj.compress.bias,1.136308e+00,7.774824e-03,6.842182e-03
200,layers.0.out_proj.lut_batched.weights,1.263530e+00,7.423075e-01,5.874872e-01
200,layers.0.out_proj.lut_batched.log_soft_score_temp,6.946005e-01,1.453340e-03,2.092339e-03
200,layers.0.out_proj.lut_batched.log_select_temp,6.945753e-01,1.428127e-03,2.056116e-03
200,layers.0.out_proj.decompress.weight,4.637697e+00,1.103473e-01,2.379355e-02
200,layers.0.out_proj.decompress.bias,2.242881e-01,2.296689e-03,1.023991e-02
200,layers.0.q_norm.weight,8.010232e+00,1.053733e-02,1.315484e-03
200,layers.0.q_norm.bias,3.980267e-03,3.980267e-03,1.000000e+00
200,layers.0.k_norm.weight,8.010196e+00,1.048782e-02,1.309309e-03
200,layers.0.k_norm.bias,3.365147e-03,3.365147e-03,1.000000e+00
200,layers.0.ln_pre.weight,8.006015e+00,7.643844e-03,9.547627e-04
200,layers.0.ln_pre.bias,5.281809e-03,5.281809e-03,1.000000e+00
200,layers.1.q_lut.compress.weight,2.767740e+01,1.113553e-01,4.023331e-03
200,layers.1.q_lut.compress.bias,3.455560e+00,1.154037e-02,3.339653e-03
200,layers.1.q_lut.lut_batched.weights,4.450904e-01,3.812048e-01,8.564660e-01
200,layers.1.q_lut.lut_batched.log_soft_score_temp,6.954120e-01,2.264857e-03,3.256857e-03
200,layers.1.q_lut.lut_batched.log_select_temp,6.954520e-01,2.304792e-03,3.314093e-03
200,layers.1.k_lut.compress.weight,2.772842e+01,5.444136e-02,1.963378e-03
200,layers.1.k_lut.compress.bias,3.417009e+00,6.712986e-03,1.964579e-03
200,layers.1.k_lut.lut_batched.weights,4.456075e-01,3.847944e-01,8.635276e-01
200,layers.1.k_lut.lut_batched.log_soft_score_temp,6.947315e-01,1.584291e-03,2.280437e-03
200,layers.1.k_lut.lut_batched.log_select_temp,6.948789e-01,1.731753e-03,2.492166e-03
200,layers.1.v_lut.compress.weight,2.766382e+01,1.089658e-01,3.938928e-03
200,layers.1.v_lut.compress.bias,3.512322e+00,1.363108e-02,3.880931e-03
200,layers.1.v_lut.lut_batched.weights,7.423159e-01,6.462520e-01,8.705890e-01
200,layers.1.v_lut.lut_batched.log_soft_score_temp,6.953257e-01,2.178490e-03,3.133050e-03
200,layers.1.v_lut.lut_batched.log_select_temp,6.954004e-01,2.253234e-03,3.240197e-03
200,layers.1.out_proj.compress.weight,1.127170e+01,1.014380e-01,8.999358e-03
200,layers.1.out_proj.compress.bias,1.099091e+00,7.728534e-03,7.031749e-03
200,layers.1.out_proj.lut_batched.weights,1.125291e+00,4.679634e-01,4.158598e-01
200,layers.1.out_proj.lut_batched.log_soft_score_temp,6.929673e-01,1.798868e-04,2.595892e-04
200,layers.1.out_proj.lut_batched.log_select_temp,6.929774e-01,1.697540e-04,2.449633e-04
200,layers.1.out_proj.decompress.weight,4.621563e+00,7.039795e-02,1.523250e-02
200,layers.1.out_proj.decompress.bias,2.375891e-01,1.924256e-03,8.099091e-03
200,layers.1.q_norm.weight,8.006877e+00,7.271212e-03,9.081209e-04
200,layers.1.q_norm.bias,3.816967e-03,3.816967e-03,1.000000e+00
200,layers.1.k_norm.weight,8.006958e+00,7.249220e-03,9.053650e-04
200,layers.1.k_norm.bias,4.310445e-03,4.310445e-03,1.000000e+00
200,layers.1.ln_pre.weight,8.003060e+00,4.665659e-03,5.829843e-04
200,layers.1.ln_pre.bias,4.270774e-03,4.270774e-03,1.000000e+00
200,layers.2.q_lut.compress.weight,2.775154e+01,8.778287e-02,3.163170e-03
200,layers.2.q_lut.compress.bias,3.502798e+00,9.595098e-03,2.739267e-03
200,layers.2.q_lut.lut_batched.weights,4.942855e-01,4.330052e-01,8.760224e-01
200,layers.2.q_lut.lut_batched.log_soft_score_temp,6.952432e-01,2.096057e-03,3.014854e-03
200,layers.2.q_lut.lut_batched.log_select_temp,6.953780e-01,2.230823e-03,3.208072e-03
200,layers.2.k_lut.compress.weight,2.767043e+01,5.214211e-02,1.884398e-03
200,layers.2.k_lut.compress.bias,3.481745e+00,6.203647e-03,1.781764e-03
200,layers.2.k_lut.lut_batched.weights,4.792874e-01,4.145496e-01,8.649291e-01
200,layers.2.k_lut.lut_batched.log_soft_score_temp,6.944371e-01,1.289964e-03,1.857567e-03
200,layers.2.k_lut.lut_batched.log_select_temp,6.946490e-01,1.501858e-03,2.162039e-03
200,layers.2.v_lut.compress.weight,2.770849e+01,8.038638e-02,2.901146e-03
200,layers.2.v_lut.compress.bias,3.443232e+00,9.875735e-03,2.868158e-03
200,layers.2.v_lut.lut_batched.weights,8.219631e-01,7.370294e-01,8.966697e-01
200,layers.2.v_lut.lut_batched.log_soft_score_temp,6.955221e-01,2.374887e-03,3.414539e-03
200,layers.2.v_lut.lut_batched.log_select_temp,6.955589e-01,2.411723e-03,3.467317e-03
200,layers.2.out_proj.compress.weight,1.127986e+01,8.206403e-02,7.275271e-03
200,layers.2.out_proj.compress.bias,1.145042e+00,7.599291e-03,6.636693e-03
200,layers.2.out_proj.lut_batched.weights,1.121104e+00,4.568017e-01,4.074570e-01
200,layers.2.out_proj.lut_batched.log_soft_score_temp,6.932109e-01,6.371737e-05,9.191628e-05
200,layers.2.out_proj.lut_batched.log_select_temp,6.932189e-01,7.176399e-05,1.035228e-04
200,layers.2.out_proj.decompress.weight,4.590224e+00,6.291433e-02,1.370616e-02
200,layers.2.out_proj.decompress.bias,2.370003e-01,1.902449e-03,8.027200e-03
200,layers.2.q_norm.weight,8.005990e+00,6.393997e-03,7.986516e-04
200,layers.2.q_norm.bias,2.973300e-03,2.973300e-03,1.000000e+00
200,layers.2.k_norm.weight,8.005927e+00,6.256687e-03,7.815069e-04
200,layers.2.k_norm.bias,3.997027e-03,3.997027e-03,1.000000e+00
200,layers.2.ln_pre.weight,8.001680e+00,4.266829e-03,5.332416e-04
200,layers.2.ln_pre.bias,3.221790e-03,3.221790e-03,1.000000e+00
200,layers.3.q_lut.compress.weight,2.766482e+01,7.551598e-02,2.729676e-03
200,layers.3.q_lut.compress.bias,3.493277e+00,8.252172e-03,2.362301e-03
200,layers.3.q_lut.lut_batched.weights,5.106683e-01,4.492169e-01,8.796647e-01
200,layers.3.q_lut.lut_batched.log_soft_score_temp,6.946133e-01,1.466155e-03,2.110750e-03
200,layers.3.q_lut.lut_batched.log_select_temp,6.949489e-01,1.801729e-03,2.592607e-03
200,layers.3.k_lut.compress.weight,2.766521e+01,5.142068e-02,1.858677e-03
200,layers.3.k_lut.compress.bias,3.499071e+00,6.626003e-03,1.893646e-03
200,layers.3.k_lut.lut_batched.weights,5.031667e-01,4.427267e-01,8.798809e-01
200,layers.3.k_lut.lut_batched.log_soft_score_temp,6.951535e-01,2.006352e-03,2.886200e-03
200,layers.3.k_lut.lut_batched.log_select_temp,6.955961e-01,2.448916e-03,3.520601e-03
200,layers.3.v_lut.compress.weight,2.770374e+01,9.364758e-02,3.380322e-03
200,layers.3.v_lut.compress.bias,3.456262e+00,1.103902e-02,3.193918e-03
200,layers.3.v_lut.lut_batched.weights,8.544889e-01,7.734202e-01,9.051261e-01
200,layers.3.v_lut.lut_batched.log_soft_score_temp,6.958610e-01,2.713799e-03,3.899916e-03
200,layers.3.v_lut.lut_batched.log_select_temp,6.960301e-01,2.882898e-03,4.141916e-03
200,layers.3.out_proj.compress.weight,1.131991e+01,9.266260e-02,8.185810e-03
200,layers.3.out_proj.compress.bias,1.155780e+00,1.025557e-02,8.873288e-03
200,layers.3.out_proj.lut_batched.weights,1.122903e+00,4.614438e-01,4.109384e-01
200,layers.3.out_proj.lut_batched.log_soft_score_temp,6.927807e-01,3.664494e-04,5.289543e-04
200,layers.3.out_proj.lut_batched.log_select_temp,6.927798e-01,3.673434e-04,5.302455e-04
200,layers.3.out_proj.decompress.weight,4.611224e+00,6.874054e-02,1.490722e-02
200,layers.3.out_proj.decompress.bias,2.442563e-01,1.833945e-03,7.508282e-03
200,layers.3.q_norm.weight,8.010618e+00,1.191230e-02,1.487064e-03
200,layers.3.q_norm.bias,9.836721e-03,9.836721e-03,1.000000e+00
200,layers.3.k_norm.weight,8.010104e+00,1.145158e-02,1.429642e-03
200,layers.3.k_norm.bias,1.086493e-02,1.086493e-02,1.000000e+00
200,layers.3.ln_pre.weight,8.002374e+00,4.773339e-03,5.964904e-04
200,layers.3.ln_pre.bias,4.444919e-03,4.444919e-03,1.000000e+00
200,layers.4.q_lut.compress.weight,2.769591e+01,5.928942e-02,2.140728e-03
200,layers.4.q_lut.compress.bias,3.501244e+00,6.489989e-03,1.853624e-03
200,layers.4.q_lut.lut_batched.weights,5.001591e-01,4.358798e-01,8.714823e-01
200,layers.4.q_lut.lut_batched.log_soft_score_temp,6.939437e-01,7.964969e-04,1.147783e-03
200,layers.4.q_lut.lut_batched.log_select_temp,6.941032e-01,9.560585e-04,1.377401e-03
200,layers.4.k_lut.compress.weight,2.770515e+01,4.280869e-02,1.545153e-03
200,layers.4.k_lut.compress.bias,3.509922e+00,5.129051e-03,1.461301e-03
200,layers.4.k_lut.lut_batched.weights,5.002299e-01,4.361852e-01,8.719695e-01
200,layers.4.k_lut.lut_batched.log_soft_score_temp,6.937396e-01,5.924106e-04,8.539379e-04
200,layers.4.k_lut.lut_batched.log_select_temp,6.939187e-01,7.715225e-04,1.111834e-03
200,layers.4.v_lut.compress.weight,2.770780e+01,5.590669e-02,2.017724e-03
200,layers.4.v_lut.compress.bias,3.501306e+00,6.832575e-03,1.951436e-03
200,layers.4.v_lut.lut_batched.weights,8.567906e-01,7.765861e-01,9.063896e-01
200,layers.4.v_lut.lut_batched.log_soft_score_temp,6.951911e-01,2.043903e-03,2.940059e-03
200,layers.4.v_lut.lut_batched.log_select_temp,6.952813e-01,2.134144e-03,3.069469e-03
200,layers.4.out_proj.compress.weight,1.128939e+01,7.387106e-02,6.543404e-03
200,layers.4.out_proj.compress.bias,1.156360e+00,1.016706e-02,8.792302e-03
200,layers.4.out_proj.lut_batched.weights,1.117259e+00,4.479821e-01,4.009654e-01
200,layers.4.out_proj.lut_batched.log_soft_score_temp,6.926477e-01,4.994869e-04,7.211270e-04
200,layers.4.out_proj.lut_batched.log_select_temp,6.926333e-01,5.138516e-04,7.418812e-04
200,layers.4.out_proj.decompress.weight,4.600749e+00,6.829177e-02,1.484362e-02
200,layers.4.out_proj.decompress.bias,2.370942e-01,2.296368e-03,9.685466e-03
200,layers.4.q_norm.weight,8.002562e+00,2.824746e-03,3.529802e-04
200,layers.4.q_norm.bias,1.258316e-03,1.258316e-03,1.000000e+00
200,layers.4.k_norm.weight,8.002541e+00,2.817203e-03,3.520385e-04
200,layers.4.k_norm.bias,1.669337e-03,1.669337e-03,1.000000e+00
200,layers.4.ln_pre.weight,8.001236e+00,2.550977e-03,3.188228e-04
200,layers.4.ln_pre.bias,2.436102e-03,2.436102e-03,1.000000e+00
200,layers.5.q_lut.compress.weight,2.766316e+01,6.028381e-02,2.179209e-03
200,layers.5.q_lut.compress.bias,3.497459e+00,6.681599e-03,1.910415e-03
200,layers.5.q_lut.lut_batched.weights,4.878173e-01,4.232692e-01,8.676798e-01
200,layers.5.q_lut.lut_batched.log_soft_score_temp,6.950272e-01,1.879990e-03,2.704916e-03
200,layers.5.q_lut.lut_batched.log_select_temp,6.953908e-01,2.243578e-03,3.226356e-03
200,layers.5.k_lut.compress.weight,2.765599e+01,3.879870e-02,1.402904e-03
200,layers.5.k_lut.compress.bias,3.426452e+00,4.545953e-03,1.326723e-03
200,layers.5.k_lut.lut_batched.weights,4.925726e-01,4.296583e-01,8.722741e-01
200,layers.5.k_lut.lut_batched.log_soft_score_temp,6.949400e-01,1.792848e-03,2.579860e-03
200,layers.5.k_lut.lut_batched.log_select_temp,6.952139e-01,2.066731e-03,2.972799e-03
200,layers.5.v_lut.compress.weight,2.772114e+01,7.419415e-02,2.676446e-03
200,layers.5.v_lut.compress.bias,3.444286e+00,8.605278e-03,2.498422e-03
200,layers.5.v_lut.lut_batched.weights,8.110302e-01,7.261302e-01,8.953183e-01
200,layers.5.v_lut.lut_batched.log_soft_score_temp,6.952086e-01,2.061427e-03,2.965191e-03
200,layers.5.v_lut.lut_batched.log_select_temp,6.952363e-01,2.089143e-03,3.004939e-03
200,layers.5.out_proj.compress.weight,1.129429e+01,8.125688e-02,7.194508e-03
200,layers.5.out_proj.compress.bias,1.166829e+00,9.170705e-03,7.859511e-03
200,layers.5.out_proj.lut_batched.weights,1.131176e+00,4.818454e-01,4.259686e-01
200,layers.5.out_proj.lut_batched.log_soft_score_temp,6.929006e-01,2.465844e-04,3.558727e-04
200,layers.5.out_proj.lut_batched.log_select_temp,6.928940e-01,2.532005e-04,3.654246e-04
200,layers.5.out_proj.decompress.weight,4.633955e+00,7.898644e-02,1.704515e-02
200,layers.5.out_proj.decompress.bias,2.497667e-01,2.821188e-03,1.129529e-02
200,layers.5.q_norm.weight,8.006810e+00,7.480093e-03,9.342164e-04
200,layers.5.q_norm.bias,4.596650e-03,4.596650e-03,1.000000e+00
200,layers.5.k_norm.weight,8.006698e+00,7.286712e-03,9.100771e-04
200,layers.5.k_norm.bias,5.428358e-03,5.428358e-03,1.000000e+00
200,layers.5.ln_pre.weight,8.001836e+00,3.429050e-03,4.285329e-04
200,layers.5.ln_pre.bias,3.500324e-03,3.500324e-03,1.000000e+00
200,ln_final.weight,1.962659e+01,3.506762e-02,1.786741e-03
200,ln_final.bias,2.470541e-02,2.470541e-02,1.000000e+00
200,readout_lut.compress.weight,1.135624e+01,4.875730e-01,4.293439e-02
200,readout_lut.compress.bias,5.832011e-01,2.526740e-02,4.332536e-02
200,readout_lut.lut_batched.weights,2.029730e+00,1.903818e+00,9.379662e-01
200,readout_lut.lut_batched.log_soft_score_temp,6.969697e-01,3.822505e-03,5.484464e-03
200,readout_lut.lut_batched.log_select_temp,6.969536e-01,3.806412e-03,5.461500e-03
200,readout_lut.decompress.weight,1.134784e+01,5.777549e-01,5.091321e-02
200,readout_lut.decompress.bias,5.465096e-01,2.349229e-02,4.298605e-02
200,ln_readout.weight,1.965525e+01,6.265627e-02,3.187762e-03
200,ln_readout.bias,6.836089e-02,6.836089e-02,1.000000e+00
200,unembedder.weight,1.046985e+02,8.488585e+00,8.107650e-02
400,tok_emb_E.weight,8.350426e+01,1.693158e+00,2.027631e-02
400,layers.0.q_lut.compress.weight,2.763156e+01,3.705205e-01,1.340932e-02
400,layers.0.q_lut.compress.bias,3.470617e+00,3.204577e-02,9.233449e-03
400,layers.0.q_lut.lut_batched.weights,1.190917e+00,9.960849e-01,8.364019e-01
400,layers.0.q_lut.lut_batched.log_soft_score_temp,6.958386e-01,1.215279e-03,1.746496e-03
400,layers.0.q_lut.lut_batched.log_select_temp,6.955825e-01,9.310842e-04,1.338568e-03
400,layers.0.k_lut.compress.weight,2.762403e+01,1.924984e-01,6.968513e-03
400,layers.0.k_lut.compress.bias,3.471764e+00,1.537781e-02,4.429395e-03
400,layers.0.k_lut.lut_batched.weights,1.112809e+00,9.647850e-01,8.669813e-01
400,layers.0.k_lut.lut_batched.log_soft_score_temp,6.963264e-01,1.528323e-03,2.194837e-03
400,layers.0.k_lut.lut_batched.log_select_temp,6.963947e-01,1.448989e-03,2.080701e-03
400,layers.0.v_lut.compress.weight,2.763579e+01,1.758142e-01,6.361830e-03
400,layers.0.v_lut.compress.bias,3.447396e+00,1.377015e-02,3.994363e-03
400,layers.0.v_lut.lut_batched.weights,1.784502e+00,1.493767e+00,8.370778e-01
400,layers.0.v_lut.lut_batched.log_soft_score_temp,6.956628e-01,7.271171e-04,1.045215e-03
400,layers.0.v_lut.lut_batched.log_select_temp,6.957136e-01,7.128119e-04,1.024577e-03
400,layers.0.out_proj.compress.weight,1.131421e+01,9.584643e-02,8.471333e-03
400,layers.0.out_proj.compress.bias,1.129070e+00,8.463252e-03,7.495771e-03
400,layers.0.out_proj.lut_batched.weights,3.824254e+00,3.563498e+00,9.318153e-01
400,layers.0.out_proj.lut_batched.log_soft_score_temp,6.940356e-01,5.649328e-04,8.139825e-04
400,layers.0.out_proj.lut_batched.log_select_temp,6.940014e-01,5.739331e-04,8.269913e-04
400,layers.0.out_proj.decompress.weight,4.634584e+00,6.696857e-02,1.444975e-02
400,layers.0.out_proj.decompress.bias,2.242588e-01,3.093074e-04,1.379243e-03
400,layers.0.q_norm.weight,8.026000e+00,2.160623e-02,2.692030e-03
400,layers.0.q_norm.bias,2.174699e-02,1.995517e-02,9.176064e-01
400,layers.0.k_norm.weight,8.026105e+00,2.128283e-02,2.651701e-03
400,layers.0.k_norm.bias,1.202444e-02,1.014342e-02,8.435670e-01
400,layers.0.ln_pre.weight,8.012612e+00,1.085518e-02,1.354761e-03
400,layers.0.ln_pre.bias,9.944868e-03,7.888783e-03,7.932516e-01
400,layers.1.q_lut.compress.weight,2.764939e+01,2.842328e-01,1.027989e-02
400,layers.1.q_lut.compress.bias,3.454005e+00,2.677842e-02,7.752860e-03
400,layers.1.q_lut.lut_batched.weights,1.191986e+00,1.079462e+00,9.056000e-01
400,layers.1.q_lut.lut_batched.log_soft_score_temp,6.999784e-01,4.566371e-03,6.523589e-03
400,layers.1.q_lut.lut_batched.log_select_temp,7.023600e-01,6.908000e-03,9.835412e-03
400,layers.1.k_lut.compress.weight,2.769878e+01,1.931879e-01,6.974598e-03
400,layers.1.k_lut.compress.bias,3.416327e+00,2.056134e-02,6.018552e-03
400,layers.1.k_lut.lut_batched.weights,1.135332e+00,1.019418e+00,8.979030e-01
400,layers.1.k_lut.lut_batched.log_soft_score_temp,6.966476e-01,1.916111e-03,2.750473e-03
400,layers.1.k_lut.lut_batched.log_select_temp,6.984652e-01,3.586233e-03,5.134447e-03
400,layers.1.v_lut.compress.weight,2.764250e+01,2.212805e-01,8.005083e-03
400,layers.1.v_lut.compress.bias,3.510943e+00,1.747672e-02,4.977786e-03
400,layers.1.v_lut.lut_batched.weights,1.755834e+00,1.556557e+00,8.865055e-01
400,layers.1.v_lut.lut_batched.log_soft_score_temp,6.989748e-01,3.649175e-03,5.220753e-03
400,layers.1.v_lut.lut_batched.log_select_temp,6.988955e-01,3.495038e-03,5.000802e-03
400,layers.1.out_proj.compress.weight,1.126742e+01,1.234075e-01,1.095260e-02
400,layers.1.out_proj.compress.bias,1.088339e+00,1.275062e-02,1.171566e-02
400,layers.1.out_proj.lut_batched.weights,2.781873e+00,2.510370e+00,9.024027e-01
400,layers.1.out_proj.lut_batched.log_soft_score_temp,6.905794e-01,2.387881e-03,3.457794e-03
400,layers.1.out_proj.lut_batched.log_select_temp,6.906284e-01,2.349019e-03,3.401278e-03
400,layers.1.out_proj.decompress.weight,4.598162e+00,7.627397e-02,1.658793e-02
400,layers.1.out_proj.decompress.bias,2.375719e-01,2.999037e-04,1.262371e-03
400,layers.1.q_norm.weight,8.020161e+00,2.025223e-02,2.525165e-03
400,layers.1.q_norm.bias,1.577290e-02,1.273398e-02,8.073330e-01
400,layers.1.k_norm.weight,8.020471e+00,2.081952e-02,2.595797e-03
400,layers.1.k_norm.bias,2.317689e-02,1.957703e-02,8.446790e-01
400,layers.1.ln_pre.weight,8.007762e+00,8.453232e-03,1.055630e-03
400,layers.1.ln_pre.bias,6.939295e-03,4.380008e-03,6.311891e-01
400,layers.2.q_lut.compress.weight,2.772239e+01,2.417471e-01,8.720281e-03
400,layers.2.q_lut.compress.bias,3.501417e+00,2.391622e-02,6.830439e-03
400,layers.2.q_lut.lut_batched.weights,1.182812e+00,1.053749e+00,8.908852e-01
400,layers.2.q_lut.lut_batched.log_soft_score_temp,6.984756e-01,3.232360e-03,4.627735e-03
400,layers.2.q_lut.lut_batched.log_select_temp,7.007950e-01,5.416989e-03,7.729777e-03
400,layers.2.k_lut.compress.weight,2.764076e+01,2.144415e-01,7.758163e-03
400,layers.2.k_lut.compress.bias,3.481922e+00,2.286896e-02,6.567914e-03
400,layers.2.k_lut.lut_batched.weights,1.141460e+00,1.020203e+00,8.937698e-01
