step,train_loss,val_bpb
200,9.348380,2.556813
400,7.454669,2.103469
600,6.568860,1.944530
800,6.177080,1.866385
1000,5.933233,1.807321
1200,5.748185,1.759335
1400,5.594904,1.714564
1600,5.472913,1.677567
1800,5.342679,1.644802
2000,5.237253,1.617221
2200,5.155069,1.593636
2400,5.088008,1.574611
2600,5.020847,1.557913
2800,4.970949,1.544848
3000,4.931540,1.530433
3200,4.898144,1.520557
3400,4.854530,1.509268
3600,4.812346,1.499725
3800,4.798148,1.487606
4000,4.761827,1.479503
4200,4.724711,1.468987
4400,4.694621,1.461028
4600,4.676070,1.453400
4800,4.647014,1.448256
5000,4.630606,1.439800
5200,4.616609,1.434259
5400,4.615087,1.426673
5600,4.572267,1.422183
5800,4.543058,1.417436
6000,4.531992,1.412550
6200,4.517691,1.406991
6400,4.499326,1.403508
6600,4.484872,1.398246
6800,4.481937,1.394692
7000,4.451822,1.389790
7200,4.429449,1.385869
7400,4.431336,1.382467
7600,4.413725,1.380400
7800,4.395915,1.375755
8000,4.388621,1.373446
8200,4.384116,1.370083
8400,4.370669,1.368182
8600,4.356361,1.364582
8800,4.346202,1.362219
9000,4.350900,1.359128
9200,4.334813,1.357353
9400,4.320581,1.354452
9600,4.314647,1.350829
9800,4.317110,1.349042
10000,4.298541,1.347768
10200,4.293156,1.344546
10400,4.307447,1.342404
10600,4.311426,1.340439
10800,4.273610,1.338515
11000,4.250007,1.336169
11200,4.255198,1.334713
11400,4.253709,1.332843
11600,4.240097,1.330860
11800,4.237980,1.329729
12000,4.232429,1.328925
12200,4.213682,1.327077
12400,4.205941,1.325446
12600,4.207085,1.323976
12800,4.196923,1.323896
13000,4.194315,1.321423
13200,4.187499,1.319552
13400,4.191684,1.318877
13600,4.182894,1.318328
13800,4.173567,1.317385
14000,4.172901,1.316710
14200,4.179054,1.316407
14400,4.168034,1.315051
14600,4.159333,1.315103
14800,4.158361,1.313604
15000,4.163137,1.312393
15200,4.150977,1.312345
15400,4.160662,1.312688
15600,4.186642,1.310804
15800,4.174231,1.310914
16000,4.149834,1.310400
