step,train_loss,val_bpb
200,9.052387,2.525266
400,7.346197,2.055114
600,6.449295,1.898644
800,6.045850,1.811538
1000,5.773953,1.744037
1200,5.561519,1.689713
1400,5.387890,1.637404
1600,5.254096,1.598827
1800,5.113017,1.562843
2000,4.997178,1.530993
2200,4.906484,1.505320
2400,4.830417,1.483731
2600,4.750035,1.464412
2800,4.685368,1.445428
3000,4.626456,1.423532
3200,4.577241,1.409966
3400,4.518337,1.393189
3600,4.465030,1.381737
3800,4.441593,1.368408
4000,4.401520,1.356444
