step,train_loss,val_bpb
200,9.410250,2.631746
400,7.710073,2.173951
600,6.717492,1.963787
800,6.224582,1.858501
1000,5.910323,1.781733
1200,5.665500,1.715630
1400,5.464692,1.654609
1600,5.306647,1.610950
1800,5.149917,1.572084
2000,5.025570,1.537984
2200,4.929759,1.513930
2400,4.850508,1.491006
2600,4.767573,1.467741
2800,4.698682,1.447907
3000,4.636276,1.427556
3200,4.587412,1.410432
3400,4.527879,1.396764
3600,4.476916,1.383643
3800,4.455007,1.372711
4000,4.417194,1.362309
