step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,187.394463
200,0.831469,0.084236,0.084295,64.7160,4675569,0.49544111,0,0,4675569,4675569,0.391286,0.391821,0.392256,-0.002134,0.000003,0.002395,0.000538,1.000000,64.7160,0.501287,1.0063,16.0000,0.171011,51.303372
400,0.890582,0.054712,0.054706,42.0165,5233433,0.55455452,0,0,5233433,557864,0.389663,0.391616,0.392619,-0.005543,0.000005,0.006171,0.001131,1.000000,42.0165,0.404557,0.8212,16.0000,0.112481,33.744164
600,0.911733,0.044127,0.044140,33.8946,5433037,0.57570535,0,0,5433037,199604,0.387794,0.391689,0.393909,-0.008409,0.000009,0.009269,0.001590,1.000000,33.8946,0.363981,0.7505,16.0000,0.091756,27.526659
800,0.921631,0.039191,0.039178,30.0936,5526449,0.58560359,0,0,5526449,93412,0.386121,0.392095,0.395829,-0.011630,0.000009,0.010841,0.002053,1.000000,30.0936,0.343665,0.7204,16.0000,0.081829,24.548820
1000,0.927344,0.036336,0.036320,27.8998,5580364,0.59131664,0,0,5580364,53915,0.384259,0.392529,0.398250,-0.015839,0.000003,0.016061,0.002692,1.000000,27.8998,0.331613,0.7070,16.0000,0.075972,22.791484
1200,0.931143,0.034432,0.034425,26.4410,5616215,0.59511554,0,0,5616215,35851,0.381486,0.392827,0.401693,-0.020059,0.000012,0.020681,0.003550,1.000000,26.4410,0.323305,0.6986,16.0000,0.072008,21.602456
1400,0.933863,0.033070,0.033066,25.3964,5641887,0.59783584,0,0,5641887,25672,0.378679,0.393189,0.405096,-0.027435,0.000034,0.024956,0.004567,1.000000,25.3964,0.317338,0.6949,16.0000,0.069141,20.742164
1600,0.935960,0.032024,0.032016,24.5912,5661676,0.59993279,0,0,5661676,19789,0.376857,0.393591,0.410442,-0.030099,0.000038,0.029090,0.005701,1.000000,24.5912,0.312663,0.6906,16.0000,0.066909,20.072616
1800,0.937566,0.031218,0.031216,23.9747,5676828,0.60153836,0,0,5676828,15152,0.375175,0.393284,0.411686,-0.037278,0.000054,0.035108,0.006845,1.000000,23.9747,0.309085,0.6837,16.0000,0.064917,19.475072
2000,0.938795,0.030609,0.030597,23.5029,5688423,0.60276699,0,0,5688423,11595,0.373343,0.392779,0.410005,-0.041902,0.000052,0.042932,0.007902,1.000000,23.5029,0.306285,0.6767,16.0000,0.063419,19.025624
2200,0.939778,0.030117,0.030105,23.1252,5697705,0.60375053,0,0,5697705,9282,0.371506,0.392325,0.411141,-0.046077,0.000045,0.051075,0.008879,1.000000,23.1252,0.304125,0.6681,16.0000,0.062242,18.672639
2400,0.940598,0.029704,0.029698,22.8104,5705441,0.60457027,0,0,5705441,7736,0.368481,0.391534,0.409899,-0.053374,0.000043,0.054880,0.009745,1.000000,22.8104,0.302239,0.6588,16.0000,0.061276,18.382721
2600,0.941284,0.029359,0.029356,22.5468,5711921,0.60525692,0,0,5711921,6480,0.367840,0.390866,0.409814,-0.061232,0.000042,0.055159,0.010535,1.000000,22.5468,0.300618,0.6479,16.0000,0.060471,18.141218
2800,0.941902,0.029045,0.029053,22.3097,5717748,0.60587436,0,0,5717748,5827,0.365040,0.390180,0.412476,-0.062301,0.000022,0.063699,0.011251,1.000000,22.3097,0.299209,0.6375,16.0000,0.059761,17.928431
3000,0.942433,0.028777,0.028790,22.1059,5722756,0.60640508,0,0,5722756,5008,0.361861,0.389503,0.409763,-0.063710,0.000025,0.070777,0.011883,1.000000,22.1059,0.297976,0.6254,16.0000,0.059159,17.747578
3200,0.942897,0.028543,0.028560,21.9275,5727140,0.60686958,0,0,5727140,4384,0.362369,0.388709,0.413250,-0.070927,-0.000010,0.076292,0.012451,1.000000,21.9275,0.296936,0.6125,16.0000,0.058608,17.582253
3400,0.943325,0.028328,0.028347,21.7633,5731174,0.60729706,0,0,5731174,4034,0.359565,0.387953,0.411962,-0.075098,-0.000002,0.076733,0.012973,1.000000,21.7633,0.295978,0.6008,16.0000,0.058112,17.433647
3600,0.943696,0.028143,0.028161,21.6207,5734680,0.60766858,0,0,5734680,3506,0.357892,0.387350,0.412590,-0.075504,-0.000005,0.078849,0.013417,1.000000,21.6207,0.295066,0.5871,16.0000,0.057679,17.303616
3800,0.944036,0.027975,0.027989,21.4902,5737888,0.60800850,0,0,5737888,3208,0.355308,0.386682,0.413013,-0.078304,-0.000000,0.076251,0.013844,1.000000,21.4902,0.294287,0.5740,16.0000,0.057284,17.185114
4000,0.944346,0.027823,0.027832,21.3712,5740811,0.60831821,0,0,5740811,2923,0.354690,0.386142,0.413935,-0.078168,-0.000011,0.080649,0.014198,1.000000,21.3712,0.293514,0.5608,16.0000,0.056920,17.075969
