step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,174.788923,0.333333,+0.291315,1
200,0.722856,0.138595,0.138549,106.4235,3656512,0.38745797,2619,1663,3652230,3656512,0.390921,0.391536,0.392206,-0.002662,0.000007,0.002717,0.000895,1.000000,106.4235,0.635619,1.2753,16.0000,0.326351,0.070515,0.333333,-0.006983,0
400,0.762230,0.118892,0.118878,91.3037,4065265,0.43077099,10204,16455,4038606,442950,0.387552,0.390953,0.392595,-0.008163,0.000004,0.007074,0.001465,1.000000,91.3037,0.586870,1.1887,16.0000,0.313171,0.000000,0.333333,-0.020162,0
600,0.774203,0.112911,0.112886,86.7062,4200624,0.44511414,15791,24847,4159986,211776,0.386522,0.391524,0.394007,-0.010536,0.000010,0.010917,0.001718,1.000000,86.7062,0.571120,1.1714,16.0000,0.313990,0.000000,0.333333,-0.019343,0
800,0.780649,0.109700,0.109651,84.2306,4257819,0.45117474,15264,23288,4219267,138829,0.388529,0.393394,0.396926,-0.014303,0.000013,0.012946,0.001968,1.000000,84.2306,0.560243,1.1637,16.0000,0.298816,0.000000,0.333333,-0.034517,0
1000,0.782531,0.108747,0.108722,83.5081,4291797,0.45477518,19373,29344,4243080,116408,0.391675,0.395922,0.403142,-0.018292,0.000020,0.015994,0.002359,1.000000,83.5081,0.557960,1.1692,16.0000,0.304290,0.000000,0.333333,-0.029043,0
1200,0.784312,0.107843,0.107845,82.8243,4312678,0.45698780,20671,30734,4261273,112786,0.391800,0.398828,0.411936,-0.020333,0.000021,0.019446,0.002863,1.000000,82.8243,0.555323,1.1691,16.0000,0.304579,0.000000,0.333333,-0.028755,0
1400,0.785242,0.107376,0.107382,82.4671,4327473,0.45855555,22078,33038,4272357,107271,0.391317,0.401698,0.421652,-0.025042,0.000031,0.020810,0.003544,1.000000,82.4671,0.554998,1.1669,16.0000,0.308008,0.000000,0.333333,-0.025326,0
1600,0.783489,0.108231,0.108281,83.1403,4339070,0.45978442,29555,43371,4266144,124878,0.390016,0.404705,0.433240,-0.027294,0.000060,0.024894,0.004403,1.000000,83.1403,0.554619,1.1517,16.0000,0.317475,0.027189,0.333333,-0.015858,0
1800,0.785348,0.107316,0.107336,82.4265,4345889,0.46050698,26884,39344,4279661,128992,0.386775,0.407340,0.445337,-0.030445,0.000057,0.030095,0.005270,1.000000,82.4265,0.552635,1.1213,16.0000,0.307948,0.000000,0.333333,-0.025385,0
2000,0.783611,0.108225,0.108165,83.0935,4352698,0.46122849,33134,47820,4271744,130413,0.385169,0.409079,0.452476,-0.036761,0.000068,0.034184,0.006023,1.000000,83.0935,0.555192,1.0951,16.0000,0.312515,0.000000,0.333333,-0.020818,0
2200,0.782688,0.108650,0.108662,83.4478,4358503,0.46184361,36733,53276,4268494,144660,0.381969,0.410242,0.461441,-0.040755,0.000070,0.042882,0.006746,1.000000,83.4478,0.558580,1.0681,16.0000,0.314950,0.000000,0.333333,-0.018383,0
2400,0.782400,0.108817,0.108783,83.5586,4362331,0.46224922,38310,55763,4268258,151197,0.377995,0.410955,0.468199,-0.044245,0.000073,0.046083,0.007392,1.000000,83.5586,0.558877,1.0313,16.0000,0.314200,0.000000,0.333333,-0.019133,0
2600,0.780751,0.109592,0.109657,84.1915,4367383,0.46278456,43703,63370,4260310,157707,0.373452,0.410878,0.474925,-0.048567,0.000091,0.045617,0.008005,1.000000,84.1915,0.557420,0.9908,16.0000,0.317268,0.000000,0.333333,-0.016066,0
2800,0.782346,0.108806,0.108848,83.5791,4369157,0.46297255,40411,58378,4270368,155428,0.369147,0.410585,0.482190,-0.046858,0.000094,0.050623,0.008527,1.000000,83.5791,0.553790,0.9488,16.0000,0.310688,0.000000,0.333333,-0.022645,0
3000,0.778635,0.110645,0.110720,85.0043,4375677,0.46366343,50830,73941,4250906,169761,0.364000,0.410104,0.487845,-0.054961,0.000112,0.054312,0.009006,1.000000,85.0043,0.570222,0.9385,16.0000,0.320771,0.000000,0.333333,-0.012562,0
3200,0.775481,0.112211,0.112307,86.2152,4382148,0.46434912,60270,87336,4234542,192355,0.358932,0.409100,0.491776,-0.057139,0.000118,0.056641,0.009469,1.000000,86.2152,0.563615,0.8938,16.0000,0.328307,0.008258,0.333333,-0.005026,0
3400,0.780006,0.109930,0.110064,84.4777,4379693,0.46408898,48988,70399,4260306,183631,0.352766,0.407997,0.496906,-0.059969,0.000107,0.059438,0.009900,1.000000,84.4777,0.555260,0.8456,16.0000,0.314265,0.000000,0.333333,-0.019069,0
3600,0.777941,0.110968,0.111091,85.2708,4383882,0.46453285,55092,79188,4249602,173531,0.347679,0.406793,0.500368,-0.069804,0.000109,0.064265,0.010317,1.000000,85.2708,0.568169,0.8313,16.0000,0.319408,0.000000,0.333333,-0.013925,0
3800,0.779652,0.110148,0.110200,84.6136,4384579,0.46460670,51083,73465,4260031,171032,0.341525,0.405325,0.503283,-0.070899,0.000110,0.070409,0.010688,1.000000,84.6136,0.557756,0.7853,16.0000,0.313889,0.000000,0.333333,-0.019445,0
4000,0.779397,0.110276,0.110326,84.7114,4387615,0.46492842,52411,75521,4259683,166796,0.336323,0.404144,0.509318,-0.067917,0.000102,0.068579,0.011051,1.000000,84.7114,0.569255,0.7710,16.0000,0.314625,0.000000,0.333333,-0.018708,0
