step,train_loss,val_bpb
200,9.352680,2.605094
400,7.619673,2.147896
600,6.691712,1.965854
800,6.249010,1.870360
1000,5.959364,1.798326
1200,5.732253,1.740035
1400,5.539925,1.679828
1600,5.381917,1.635771
1800,5.217875,1.591193
2000,5.084464,1.555762
2200,4.979808,1.526643
2400,4.892420,1.503255
2600,4.797801,1.474181
2800,4.712577,1.449287
3000,4.638691,1.425546
3200,4.584271,1.409629
3400,4.520960,1.392756
3600,4.467450,1.379738
3800,4.443269,1.366835
4000,4.403518,1.355937
