step,train_loss,val_bpb
200,9.366475,2.611223
400,7.654626,2.161728
600,6.725108,1.975299
800,6.275725,1.878404
1000,5.985908,1.807558
1200,5.758885,1.746342
1400,5.566185,1.688032
1600,5.405608,1.640493
1800,5.239200,1.598289
2000,5.103989,1.561600
2200,4.997407,1.532416
2400,4.908308,1.505007
2600,4.811817,1.478871
2800,4.726536,1.452937
3000,4.654760,1.430922
3200,4.600521,1.412117
3400,4.538959,1.398353
3600,4.486516,1.384693
3800,4.461998,1.371424
4000,4.422128,1.361956
4200,4.382294,1.350540
4400,4.354662,1.343049
4600,4.337913,1.335307
4800,4.308809,1.328070
5000,4.294595,1.321673
5200,4.283023,1.316378
5400,4.281880,1.309249
5600,4.237310,1.303549
5800,4.211407,1.299529
6000,4.198761,1.294459
6200,4.185343,1.290762
6400,4.167424,1.287220
6600,4.154391,1.282554
6800,4.154155,1.278659
7000,4.125118,1.276049
7200,4.101993,1.272262
7400,4.104933,1.269015
7600,4.087912,1.266392
7800,4.070765,1.262653
8000,4.063356,1.260105
8200,4.060022,1.257529
8400,4.047340,1.254805
8600,4.033526,1.252613
8800,4.022897,1.251256
9000,4.028723,1.248900
9200,4.012989,1.246068
9400,3.997838,1.243650
9600,3.994189,1.241854
9800,3.997830,1.239519
10000,3.977254,1.237870
10200,3.973603,1.235168
10400,3.986558,1.234539
10600,3.991214,1.232559
10800,3.957354,1.230906
11000,3.932818,1.228164
11200,3.937909,1.226418
11400,3.937695,1.225121
11600,3.923260,1.224266
11800,3.922099,1.222032
12000,3.917006,1.220762
12200,3.900615,1.219689
12400,3.894102,1.218405
12600,3.891444,1.216884
12800,3.884836,1.216194
13000,3.881156,1.215014
13200,3.873020,1.213953
13400,3.879039,1.212331
13600,3.869751,1.212027
13800,3.860458,1.211909
14000,3.860057,1.210336
14200,3.865905,1.210415
14400,3.855579,1.209099
14600,3.843687,1.209799
14800,3.846824,1.208196
15000,3.851311,1.207699
15200,3.838741,1.207761
15400,3.846937,1.207280
15600,3.871572,1.206414
15800,3.859819,1.206081
16000,3.837726,1.206055
