step,train_loss,val_bpb
200,9.339745,2.620332
400,7.598802,2.150166
600,6.657114,1.968976
800,6.201169,1.865699
1000,5.887860,1.788414
1200,5.645149,1.727668
1400,5.454533,1.675291
1600,5.305651,1.631881
1800,5.151011,1.591635
2000,5.018080,1.554714
2200,4.895003,1.516260
2400,4.770600,1.478234
2600,4.656241,1.449077
2800,4.573438,1.427340
3000,4.512687,1.407837
3200,4.470013,1.392849
3400,4.416951,1.381100
3600,4.370766,1.369174
3800,4.354847,1.359662
4000,4.319621,1.351574
4200,4.280880,1.342204
4400,4.257863,1.334943
4600,4.244833,1.328645
4800,4.217286,1.321787
5000,4.205089,1.317508
5200,4.194021,1.311115
5400,4.193478,1.304497
5600,4.152484,1.300505
5800,4.127891,1.296825
6000,4.117275,1.292032
6200,4.105735,1.288066
6400,4.088468,1.284757
6600,4.075971,1.281842
6800,4.077241,1.277583
7000,4.049409,1.274695
7200,4.026902,1.271417
7400,4.030534,1.268233
7600,4.014787,1.265440
7800,3.997819,1.263131
8000,3.990221,1.261207
8200,3.987984,1.257830
8400,3.974676,1.254633
8600,3.960673,1.252179
8800,3.950542,1.249814
9000,3.957268,1.248669
9200,3.940979,1.246731
9400,3.925615,1.244192
9600,3.921805,1.242850
9800,3.925978,1.239781
10000,3.903904,1.237599
10200,3.901255,1.236140
10400,3.912988,1.234783
10600,3.916409,1.232418
10800,3.883315,1.231355
11000,3.858158,1.229956
11200,3.864108,1.228161
11400,3.863810,1.226292
11600,3.849805,1.225036
11800,3.846961,1.223151
12000,3.842964,1.222151
12200,3.826743,1.221337
12400,3.819510,1.220416
12600,3.817273,1.218962
12800,3.810433,1.217923
13000,3.806825,1.217091
13200,3.797789,1.215954
13400,3.802898,1.215126
13600,3.793961,1.214024
13800,3.784029,1.213463
14000,3.784326,1.212799
14200,3.789266,1.212195
14400,3.778890,1.211489
14600,3.767276,1.211011
14800,3.768824,1.209890
15000,3.774318,1.209369
15200,3.760782,1.209192
15400,3.769544,1.209201
15600,3.792836,1.208420
15800,3.780073,1.208254
16000,3.758911,1.208232
