step,train_loss,val_bpb
200,9.406554,2.639210
400,7.656730,2.164642
600,6.692723,1.974355
800,6.226424,1.874255
1000,5.910632,1.793335
1200,5.666237,1.731982
1400,5.472094,1.678830
1600,5.318949,1.634255
1800,5.161288,1.593145
2000,5.021904,1.553280
2200,4.885772,1.511839
2400,4.758679,1.475826
2600,4.648630,1.447326
2800,4.569622,1.427340
3000,4.512054,1.407702
3200,4.472216,1.394575
3400,4.421020,1.382863
3600,4.376232,1.372351
3800,4.360874,1.362824
4000,4.327847,1.354194
4200,4.291318,1.345273
4400,4.268582,1.338849
4600,4.256511,1.332544
4800,4.230820,1.326035
5000,4.218932,1.321253
5200,4.208361,1.315032
5400,4.208939,1.310702
5600,4.168458,1.306566
5800,4.145735,1.302114
6000,4.135674,1.298218
6200,4.124363,1.294580
6400,4.108014,1.291649
6600,4.096231,1.287757
6800,4.097617,1.284974
7000,4.069989,1.281622
7200,4.048896,1.278402
7400,4.052599,1.274989
7600,4.037263,1.273033
7800,4.019899,1.271009
8000,4.012207,1.268115
8200,4.011351,1.265423
8400,3.998384,1.262301
8600,3.985013,1.259901
8800,3.975119,1.257613
9000,3.982041,1.256705
9200,3.966732,1.254442
9400,3.950860,1.252847
9600,3.948361,1.250887
9800,3.952227,1.248413
10000,3.931769,1.246280
10200,3.928627,1.244271
10400,3.940540,1.242821
10600,3.944773,1.241048
10800,3.911870,1.239691
11000,3.888061,1.237925
11200,3.893926,1.236747
11400,3.894172,1.234319
11600,3.880710,1.233916
11800,3.879058,1.233114
12000,3.874600,1.231275
12200,3.858590,1.230262
12400,3.851592,1.229076
12600,3.850190,1.228595
12800,3.842938,1.227069
13000,3.839196,1.226338
13200,3.830833,1.224544
13400,3.837088,1.224077
13600,3.827670,1.223417
13800,3.819135,1.222153
14000,3.818356,1.221927
14200,3.824566,1.220880
14400,3.813817,1.220276
14600,3.802805,1.219694
14800,3.805356,1.219084
15000,3.810470,1.218948
15200,3.797318,1.218483
15400,3.806269,1.218233
15600,3.829503,1.217465
15800,3.817296,1.217378
16000,3.795887,1.217377
