step,train_loss,val_bpb
200,5.454055,1.657413
400,5.075593,1.572026
600,4.984921,1.528439
800,4.908904,1.502403
1000,4.794240,1.489140
1200,4.807506,1.478397
1400,4.747951,1.472550
1600,4.777618,1.458387
1800,4.674623,1.450479
2000,4.598517,1.441402
2200,4.655127,1.435800
2400,4.624119,1.429466
2600,4.577804,1.420691
2800,4.599929,1.407668
3000,4.541681,1.403923
3200,4.473095,1.399587
3400,4.479545,1.393670
3600,4.476754,1.390621
3800,4.490897,1.387189
4000,4.484940,1.385934
