step,train_loss,val_bpb
200,6.514774,1.988147
400,5.702863,1.759501
600,5.371724,1.643258
800,5.147244,1.579060
1000,4.974379,1.536922
1200,4.915492,1.506160
1400,4.816656,1.484279
1600,4.805640,1.465847
1800,4.684903,1.452947
2000,4.600180,1.437365
2200,4.628759,1.426041
2400,4.586097,1.415267
2600,4.528969,1.404839
2800,4.561222,1.395898
3000,4.488501,1.390121
3200,4.423741,1.383382
3400,4.437828,1.378113
3600,4.435446,1.375378
3800,4.443603,1.371881
4000,4.428404,1.369477
