step,train_loss,val_bpb
200,9.424512,2.645164
400,7.669280,2.164444
600,6.696058,1.977176
800,6.241509,1.881945
1000,5.946438,1.806990
1200,5.718158,1.750233
1400,5.534709,1.699494
1600,5.390239,1.656838
1800,5.241510,1.619636
2000,5.114275,1.582375
2200,4.996490,1.547847
2400,4.881208,1.513307
2600,4.768870,1.482343
2800,4.682884,1.459591
3000,4.616124,1.438401
3200,4.568161,1.422943
3400,4.510254,1.408702
3600,4.460591,1.397323
3800,4.440421,1.385855
4000,4.403062,1.378149
4200,4.363019,1.366542
4400,4.337924,1.359251
4600,4.323572,1.353172
4800,4.295556,1.347724
5000,4.282237,1.340535
5200,4.270748,1.334107
5400,4.269906,1.329166
5600,4.228436,1.325174
5800,4.204256,1.320348
6000,4.193778,1.315585
6200,4.181963,1.311870
6400,4.165892,1.309370
6600,4.153177,1.305582
6800,4.154711,1.301744
7000,4.126526,1.297898
7200,4.104082,1.295972
7400,4.107936,1.292331
7600,4.092339,1.288667
7800,4.074650,1.287368
8000,4.068437,1.285214
8200,4.066461,1.281062
8400,4.053594,1.278338
8600,4.040069,1.275560
8800,4.030353,1.273930
9000,4.037145,1.272413
9200,4.021444,1.270172
9400,4.006669,1.267925
9600,4.003605,1.265545
9800,4.007828,1.263657
10000,3.988039,1.261208
10200,3.984670,1.259985
10400,3.997540,1.257976
10600,4.000613,1.255604
10800,3.967980,1.254856
11000,3.944431,1.253476
11200,3.950937,1.251832
11400,3.950813,1.250181
11600,3.937946,1.248630
11800,3.936373,1.247244
12000,3.932329,1.246208
12200,3.916275,1.245078
12400,3.909030,1.243764
12600,3.907493,1.242470
12800,3.900910,1.241478
13000,3.896506,1.241421
13200,3.889178,1.239743
13400,3.894548,1.238890
13600,3.886330,1.237752
13800,3.877284,1.236503
14000,3.876622,1.236113
14200,3.882134,1.235462
14400,3.871422,1.234979
14600,3.860933,1.234068
14800,3.863478,1.233574
15000,3.869012,1.232993
15200,3.856420,1.232371
15400,3.864513,1.232561
15600,3.888503,1.231532
15800,3.876104,1.231913
16000,3.855007,1.231325
