step,train_loss,val_bpb
200,9.631841,2.771226
400,8.093191,2.296162
600,7.057911,2.071289
800,6.511555,1.952340
1000,6.175153,1.873839
1200,5.930181,1.811276
1400,5.729907,1.753862
1600,5.564932,1.705380
1800,5.404214,1.666414
2000,5.267210,1.627034
2200,5.144228,1.590673
2400,5.019265,1.549790
2600,4.871965,1.508593
2800,4.751886,1.474931
3000,4.662414,1.449670
3200,4.599908,1.429992
3400,4.532174,1.413182
3600,4.474792,1.401140
3800,4.450620,1.388315
4000,4.409801,1.378798
4200,4.366964,1.367646
4400,4.340898,1.359490
4600,4.325633,1.352952
4800,4.297328,1.346296
5000,4.283372,1.339730
5200,4.271127,1.334283
5400,4.269674,1.328906
5600,4.228553,1.324715
5800,4.205033,1.319884
6000,4.194899,1.315860
6200,4.183411,1.311872
6400,4.166789,1.309110
6600,4.155268,1.306090
6800,4.157613,1.301618
7000,4.130129,1.298385
7200,4.108384,1.295566
7400,4.112336,1.291403
7600,4.097242,1.289958
7800,4.080513,1.287770
8000,4.074516,1.285692
8200,4.071741,1.282772
8400,4.060393,1.279803
8600,4.048262,1.278340
8800,4.039265,1.275263
9000,4.046279,1.274374
9200,4.031217,1.272278
9400,4.016813,1.269969
9600,4.015509,1.269086
9800,4.019601,1.265992
10000,4.000091,1.263473
10200,3.998754,1.262052
10400,4.010627,1.260994
10600,4.014712,1.257788
10800,3.982628,1.257733
11000,3.960702,1.256212
11200,3.967203,1.254506
11400,3.967782,1.253813
11600,3.954916,1.251528
11800,3.953851,1.250003
12000,3.950046,1.248465
12200,3.933883,1.247638
12400,3.927325,1.245905
12600,3.926021,1.244463
12800,3.918717,1.244517
13000,3.914591,1.242879
13200,3.905945,1.241869
13400,3.910939,1.240227
13600,3.902480,1.238769
13800,3.892493,1.237921
14000,3.891226,1.237032
14200,3.895368,1.235433
14400,3.884316,1.233755
14600,3.871978,1.233081
14800,3.873022,1.232021
15000,3.876339,1.231351
15200,3.862252,1.230234
15400,3.869631,1.228935
15600,3.890289,1.227617
15800,3.876035,1.226471
16000,3.852560,1.226461
16200,3.836434,1.225127
16400,3.838515,1.224196
16600,3.837357,1.223606
16800,3.837991,1.222040
17000,3.830644,1.222109
17200,3.834242,1.221296
17400,3.811232,1.220931
17600,3.819236,1.219714
17800,3.817505,1.218517
18000,3.804979,1.217632
18200,3.802350,1.217296
18400,3.794689,1.216854
18600,3.808398,1.215541
18800,3.795125,1.215458
19000,3.789508,1.214901
19200,3.787007,1.214248
19400,3.797264,1.213519
19600,3.784974,1.213274
19800,3.773782,1.212308
20000,3.780776,1.211370
20200,3.776836,1.211343
20400,3.768366,1.210771
20600,3.773892,1.210016
20800,3.794648,1.209595
21000,3.784629,1.209012
21200,3.766797,1.208585
21400,3.755441,1.208390
21600,3.757168,1.208193
21800,3.760149,1.207674
22000,3.766290,1.206988
22200,3.758142,1.207446
22400,3.762482,1.206873
22600,3.740196,1.206457
22800,3.749603,1.206468
23000,3.748590,1.206263
23200,3.737810,1.206153
23400,3.740945,1.206085
23600,3.739772,1.205817
23800,3.753672,1.205789
24000,3.732866,1.205657
