step,train_loss,val_bpb
200,9.573822,2.772563
400,8.146839,2.331872
600,7.239153,2.137790
800,6.738947,2.028868
1000,6.439568,1.958664
1200,6.228826,1.910717
1400,6.060705,1.859051
1600,5.911973,1.812860
1800,5.761040,1.772760
2000,5.634466,1.737137
2200,5.525416,1.708019
2400,5.428807,1.682325
2600,5.328347,1.653642
2800,5.243121,1.628947
3000,5.167616,1.607428
3200,5.092125,1.579221
3400,4.994030,1.550697
3600,4.901197,1.527143
3800,4.847126,1.506465
4000,4.784162,1.489040
4200,4.727238,1.475405
4400,4.686055,1.464065
4600,4.656519,1.452960
4800,4.619241,1.443162
5000,4.596012,1.435060
5200,4.578280,1.425672
5400,4.569649,1.418331
5600,4.522599,1.413764
5800,4.491804,1.406722
6000,4.477614,1.399115
6200,4.459233,1.394770
6400,4.437994,1.389236
6600,4.422828,1.385443
6800,4.419513,1.379620
7000,4.389581,1.377440
7200,4.366495,1.372620
7400,4.366302,1.366952
7600,4.348626,1.366144
7800,4.330082,1.362104
8000,4.321956,1.359565
8200,4.317971,1.355281
8400,4.302875,1.352045
8600,4.288192,1.347696
8800,4.276573,1.347431
9000,4.284040,1.343006
9200,4.265618,1.342874
9400,4.250860,1.339262
9600,4.246860,1.336406
9800,4.249337,1.333841
10000,4.229487,1.332342
10200,4.224861,1.329176
10400,4.236708,1.327493
10600,4.239830,1.324806
10800,4.206246,1.323342
11000,4.182145,1.321610
11200,4.188001,1.319131
11400,4.185700,1.317118
11600,4.172952,1.316690
11800,4.171624,1.315007
12000,4.165960,1.312272
12200,4.149402,1.310323
12400,4.141864,1.308459
12600,4.139325,1.306504
12800,4.131724,1.306564
13000,4.127335,1.304875
13200,4.118855,1.302727
13400,4.122897,1.301293
13600,4.112377,1.298600
13800,4.102821,1.297867
14000,4.100484,1.296874
14200,4.105582,1.295272
14400,4.093174,1.294044
14600,4.080529,1.292068
14800,4.081473,1.290656
15000,4.083486,1.290591
15200,4.069199,1.288525
15400,4.075652,1.287180
15600,4.097711,1.286281
15800,4.082260,1.285207
16000,4.058803,1.284463
16200,4.041035,1.282397
16400,4.043917,1.282123
16600,4.040914,1.280683
16800,4.042613,1.279748
17000,4.034858,1.278871
17200,4.038208,1.277764
17400,4.015512,1.277076
17600,4.022311,1.276218
17800,4.020470,1.275102
18000,4.008435,1.274578
18200,4.005944,1.273356
18400,3.998382,1.272571
18600,4.012206,1.271656
18800,3.998216,1.269844
19000,3.992282,1.269847
19200,3.989565,1.269241
19400,4.001040,1.268836
19600,3.989298,1.267248
19800,3.976425,1.267452
20000,3.984663,1.265934
20200,3.980347,1.265703
20400,3.971664,1.265095
20600,3.976470,1.264239
20800,3.999096,1.264076
21000,3.988468,1.263186
21200,3.970294,1.263033
21400,3.958746,1.262468
21600,3.960872,1.261753
21800,3.962153,1.261769
22000,3.969091,1.261349
22200,3.961043,1.261068
22400,3.965696,1.260464
22600,3.944132,1.260252
22800,3.951721,1.259889
23000,3.951803,1.259621
23200,3.941084,1.259898
23400,3.944360,1.259376
23600,3.943458,1.259528
23800,3.957186,1.259173
24000,3.936913,1.259109
