step,train_ce,train_recon,val_bpb
200,9.419047,0.832354,2.644435
400,7.699846,0.488161,2.182872
600,6.739056,0.500980,1.990571
800,6.272545,0.509625,1.887392
1000,5.960217,0.524275,1.810339
1200,5.718105,0.536721,1.746999
1400,5.523910,0.539502,1.693817
1600,5.370084,0.536242,1.650116
1800,5.211840,0.526461,1.609067
2000,5.076330,0.513818,1.570242
2200,4.944194,0.498369,1.529550
2400,4.821865,0.483220,1.493173
2600,4.709263,0.470535,1.464325
2800,4.628128,0.459069,1.443664
3000,4.567391,0.448187,1.424203
3200,4.525080,0.439131,1.409174
3400,4.471793,0.430525,1.396602
3600,4.425782,0.422439,1.386978
3800,4.409042,0.415937,1.376862
4000,4.374400,0.409455,1.367642
4200,4.336322,0.403393,1.360061
4400,4.313737,0.397653,1.351720
4600,4.300630,0.392456,1.346015
4800,4.274028,0.388350,1.339712
5000,4.261839,0.384261,1.333950
5200,4.250828,0.379403,1.327861
5400,4.249873,0.375064,1.322685
5600,4.210224,0.372832,1.320051
5800,4.186489,0.369843,1.315093
6000,4.176460,0.367371,1.310401
6200,4.164361,0.364380,1.307505
6400,4.148257,0.361444,1.303739
6600,4.136313,0.359046,1.300916
6800,4.137475,0.356639,1.297146
7000,4.110620,0.353678,1.293671
7200,4.088896,0.352576,1.290307
7400,4.092678,0.350238,1.287618
7600,4.077163,0.348436,1.284719
7800,4.060273,0.347139,1.283616
8000,4.053957,0.345678,1.280719
8200,4.051516,0.344078,1.277183
8400,4.039115,0.342459,1.274884
8600,4.025873,0.341335,1.271595
8800,4.016021,0.340046,1.270588
9000,4.022880,0.338921,1.267471
9200,4.007937,0.337650,1.265719
9400,3.992723,0.337025,1.263946
9600,3.990146,0.335732,1.262020
9800,3.993963,0.334758,1.259531
10000,3.974242,0.334252,1.256961
10200,3.971113,0.332918,1.255837
10400,3.983348,0.331646,1.253495
10600,3.986449,0.330244,1.251344
10800,3.954200,0.330228,1.251039
11000,3.930924,0.329562,1.249339
11200,3.936746,0.329030,1.247479
11400,3.937203,0.327979,1.245947
11600,3.923204,0.327409,1.244819
11800,3.922111,0.326718,1.243240
12000,3.917595,0.325713,1.242121
12200,3.901720,0.324990,1.241000
12400,3.895004,0.324503,1.239715
12600,3.893208,0.324322,1.238910
12800,3.886770,0.323582,1.237828
13000,3.883040,0.323338,1.236864
13200,3.875086,0.323044,1.235551
13400,3.880273,0.322735,1.234734
13600,3.872795,0.322197,1.233644
13800,3.863279,0.321793,1.232984
14000,3.862932,0.321268,1.232074
14200,3.868471,0.321350,1.231519
14400,3.857766,0.321090,1.230745
14600,3.847404,0.321341,1.230400
14800,3.850147,0.320754,1.229616
15000,3.855641,0.320632,1.229143
15200,3.842286,0.320429,1.228744
15400,3.851246,0.320483,1.228473
15600,3.874121,0.319900,1.227739
15800,3.861670,0.319345,1.227853
16000,3.841493,0.319893,1.227688
