step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00125,9.224755,0.001819,0.001819,0.000259,0.000241,0.000279,0.000324,0.000339,0.000377,2.582582,2.629131
400,0.00250,7.526240,0.000619,0.000619,0.000064,0.000068,0.000085,0.000110,0.000153,0.000138,2.137456,2.179200
600,0.00375,6.653812,0.000623,0.000623,0.000068,0.000068,0.000078,0.000095,0.000127,0.000186,1.976594,2.022870
800,0.00500,6.232065,0.000880,0.000880,0.000102,0.000089,0.000102,0.000119,0.000142,0.000327,1.878803,1.920203
1000,0.00625,5.928447,0.001262,0.001262,0.000143,0.000123,0.000142,0.000165,0.000193,0.000497,1.801914,1.838230
1200,0.00750,5.685169,0.001833,0.001833,0.000201,0.000182,0.000213,0.000239,0.000277,0.000722,1.736948,1.774927
1400,0.00875,5.486309,0.002689,0.002689,0.000286,0.000279,0.000327,0.000356,0.000404,0.001036,1.682776,1.722677
1600,0.01000,5.323602,0.003930,0.003930,0.000409,0.000425,0.000498,0.000530,0.000594,0.001473,1.633616,1.676986
1800,0.01125,5.141109,0.005511,0.005511,0.000553,0.000594,0.000732,0.000754,0.000846,0.002031,1.580425,1.629706
2000,0.01250,4.956782,0.007188,0.007188,0.000673,0.000744,0.000997,0.001000,0.001143,0.002630,1.525829,1.580048
2200,0.01375,4.802061,0.008941,0.008941,0.000793,0.000890,0.001283,0.001265,0.001465,0.003246,1.485541,1.542741
2400,0.01500,4.686965,0.010749,0.010749,0.000902,0.001031,0.001561,0.001540,0.001817,0.003898,1.454002,1.513202
2600,0.01625,4.587986,0.012801,0.012801,0.001042,0.001195,0.001881,0.001864,0.002223,0.004597,1.429329,1.494064
2800,0.01750,4.515331,0.014932,0.014932,0.001175,0.001341,0.002219,0.002202,0.002666,0.005328,1.409580,1.478508
3000,0.01875,4.459444,0.017119,0.017119,0.001304,0.001498,0.002567,0.002545,0.003122,0.006083,1.391229,1.462134
3200,0.02000,4.420806,0.019401,0.019401,0.001437,0.001658,0.002922,0.002915,0.003595,0.006874,1.376385,1.450780
3400,0.02125,4.368343,0.021797,0.021797,0.001574,0.001811,0.003293,0.003305,0.004112,0.007703,1.365519,1.442448
3600,0.02250,4.324503,0.024240,0.024240,0.001708,0.001986,0.003671,0.003705,0.004635,0.008535,1.352830,1.433060
3800,0.02375,4.308094,0.026678,0.026678,0.001844,0.002139,0.004055,0.004102,0.005156,0.009382,1.345051,1.425291
4000,0.02500,4.273121,0.029062,0.029062,0.001965,0.002280,0.004405,0.004478,0.005686,0.010248,1.336385,1.420903
4200,0.02625,4.235345,0.031665,0.031665,0.002101,0.002458,0.004796,0.004920,0.006252,0.011138,1.328353,1.414407
4400,0.02750,4.213818,0.034093,0.034093,0.002231,0.002611,0.005166,0.005311,0.006789,0.011985,1.320329,1.407929
