step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.01250,9.212157,0.002102,0.002102,0.000255,0.000267,0.000295,0.000342,0.000484,0.000460,2.585533,2.640834
400,0.02500,7.501697,0.001034,0.001034,0.000099,0.000109,0.000130,0.000162,0.000262,0.000272,2.126193,2.174032
600,0.03750,6.631472,0.001508,0.001508,0.000170,0.000151,0.000169,0.000190,0.000318,0.000510,1.969896,2.020078
800,0.05000,6.218618,0.002365,0.002365,0.000291,0.000221,0.000250,0.000262,0.000411,0.000930,1.876095,1.918453
1000,0.06250,5.920070,0.003473,0.003473,0.000438,0.000330,0.000372,0.000374,0.000559,0.001400,1.799259,1.836974
1200,0.07500,5.680119,0.005060,0.005060,0.000644,0.000520,0.000573,0.000550,0.000786,0.001986,1.735660,1.775430
1400,0.08750,5.480720,0.007327,0.007327,0.000934,0.000809,0.000896,0.000809,0.001116,0.002763,1.679790,1.721763
1600,0.10000,5.315699,0.010597,0.010597,0.001363,0.001233,0.001378,0.001190,0.001585,0.003848,1.629273,1.677232
1800,0.11250,5.126504,0.014484,0.014484,0.001825,0.001709,0.001970,0.001661,0.002177,0.005142,1.574295,1.629451
2000,0.12500,4.935841,0.018179,0.018179,0.002168,0.002082,0.002582,0.002164,0.002768,0.006416,1.519872,1.579235
2200,0.13750,4.785182,0.021847,0.021847,0.002473,0.002425,0.003202,0.002682,0.003384,0.007680,1.481233,1.545060
2400,0.15000,4.672363,0.025545,0.025545,0.002785,0.002749,0.003822,0.003222,0.004031,0.008936,1.448831,1.519500
2600,0.16250,4.571809,0.029258,0.029258,0.003078,0.003051,0.004441,0.003770,0.004688,0.010230,1.422021,1.497606
2800,0.17500,4.498278,0.033077,0.033077,0.003380,0.003372,0.005093,0.004380,0.005385,0.011467,1.403130,1.483858
3000,0.18750,4.440890,0.036712,0.036712,0.003678,0.003690,0.005737,0.004961,0.006060,0.012587,1.384876,1.467123
3200,0.20000,4.400109,0.040081,0.040081,0.003941,0.003954,0.006306,0.005543,0.006708,0.013629,1.369390,1.456842
3400,0.21250,4.345942,0.043292,0.043292,0.004143,0.004183,0.006894,0.006112,0.007362,0.014597,1.357090,1.446502
3600,0.22500,4.301100,0.046650,0.046650,0.004426,0.004492,0.007481,0.006713,0.008013,0.015525,1.346793,1.438730
3800,0.23750,4.283699,0.049426,0.049426,0.004618,0.004713,0.008002,0.007227,0.008586,0.016280,1.336656,1.432812
4000,0.25000,4.246831,0.051637,0.051637,0.004756,0.004880,0.008404,0.007653,0.009043,0.016901,1.327374,1.428564
4200,0.26250,4.206786,0.053985,0.053985,0.004904,0.005083,0.008841,0.008111,0.009532,0.017514,1.318247,1.420922
4400,0.27500,4.183859,0.055855,0.055855,0.005053,0.005256,0.009150,0.008487,0.009943,0.017965,1.311615,1.417401
4600,0.28750,4.171342,0.057489,0.057489,0.005170,0.005374,0.009449,0.008828,0.010302,0.018367,1.304697,1.412514
4800,0.30000,4.142470,0.058801,0.058801,0.005218,0.005506,0.009691,0.009154,0.010599,0.018632,1.297400,1.407294
5000,0.31250,4.128976,0.059779,0.059779,0.005273,0.005595,0.009879,0.009391,0.010843,0.018797,1.292104,1.405212
5200,0.32500,4.118144,0.060626,0.060626,0.005311,0.005667,0.010027,0.009572,0.011066,0.018983,1.285994,1.399859
5400,0.33750,4.117349,0.061066,0.061066,0.005340,0.005665,0.010088,0.009715,0.011205,0.019054,1.280571,1.396306
5600,0.35000,4.076430,0.061747,0.061747,0.005352,0.005757,0.010253,0.009922,0.011375,0.019089,1.277042,1.397591
5800,0.36250,4.052392,0.061945,0.061945,0.005356,0.005815,0.010309,0.010030,0.011420,0.019015,1.272997,1.395069
6000,0.37500,4.040665,0.062122,0.062122,0.005344,0.005835,0.010336,0.010111,0.011501,0.018996,1.268123,1.392564
6200,0.38750,4.029267,0.061773,0.061773,0.005316,0.005817,0.010272,0.010091,0.011464,0.018813,1.265031,1.388669
6400,0.40000,4.013036,0.061428,0.061428,0.005257,0.005774,0.010238,0.010097,0.011438,0.018625,1.260391,1.386906
6600,0.41250,3.999457,0.061057,0.061057,0.005202,0.005770,0.010181,0.010078,0.011420,0.018406,1.256584,1.388998
6800,0.42500,3.999541,0.060495,0.060495,0.005148,0.005749,0.010099,0.010018,0.011299,0.018183,1.252866,1.385632
7000,0.43750,3.971284,0.059879,0.059879,0.005093,0.005679,0.009965,0.009945,0.011217,0.017980,1.250575,1.382674
7200,0.45000,3.948684,0.059084,0.059084,0.005016,0.005608,0.009806,0.009834,0.011112,0.017707,1.247429,1.379377
7400,0.46250,3.951267,0.058509,0.058509,0.004954,0.005555,0.009709,0.009768,0.011013,0.017509,1.243109,1.377564
7600,0.47500,3.933421,0.057403,0.057403,0.004838,0.005456,0.009519,0.009578,0.010813,0.017198,1.241182,1.380228
7800,0.48750,3.916982,0.056759,0.056759,0.004775,0.005406,0.009413,0.009501,0.010678,0.016987,1.237820,1.377403
8000,0.50000,3.908426,0.056037,0.056037,0.004679,0.005339,0.009275,0.009421,0.010582,0.016740,1.234877,1.376864
8200,0.51250,3.904259,0.055017,0.055017,0.004595,0.005247,0.009101,0.009266,0.010384,0.016425,1.231679,1.375292
8400,0.52500,3.891757,0.054073,0.054073,0.004496,0.005179,0.008933,0.009117,0.010243,0.016105,1.229240,1.374533
8600,0.53750,3.876848,0.053015,0.053015,0.004388,0.005066,0.008775,0.008942,0.010045,0.015799,1.226760,1.375414
8800,0.55000,3.866463,0.052093,0.052093,0.004282,0.004978,0.008624,0.008802,0.009888,0.015519,1.223916,1.374256
9000,0.56250,3.872521,0.051166,0.051166,0.004212,0.004912,0.008451,0.008665,0.009714,0.015212,1.222594,1.371956
