step,train_loss,shadow_loss,val_bpb,off_dist_frac,cov_real_frac,cov_union_frac
300,7.630308,0.000000,2.090535,0.0164,0.6396,0.6499
600,6.155401,0.000000,1.835441,0.0087,0.9175,0.9254
900,5.601263,0.000000,1.704978,0.0043,0.9759,0.9801
1200,5.299339,0.000000,1.631536,0.0034,0.9876,0.9909
1500,5.091739,0.000000,1.574781,0.0016,0.9932,0.9947
1800,4.916911,0.000000,1.523535,0.001,0.9952,0.9962
2100,4.743232,0.000000,1.473091,0.001,0.9965,0.9975
2400,4.619173,0.000000,1.438717,0.0007,0.9975,0.9981
2700,4.523188,0.000000,1.413372,0.0005,0.9976,0.9981
3000,4.451848,0.000000,1.392431,0.0005,0.9977,0.9982
3300,4.395888,0.000000,1.377499,0.0005,0.9982,0.9987
3600,4.345055,0.000000,1.362282,0.0005,0.9982,0.9987
3900,4.323044,0.000000,1.352128,0.0005,0.9984,0.9989
4200,4.276930,0.000000,1.342099,0.0004,0.9984,0.9987
4500,4.254044,0.000000,1.333613,0.0005,0.9983,0.9988
4800,4.231599,0.000000,1.327372,0.0004,0.9982,0.9987
5100,4.214735,0.000000,1.322471,0.0004,0.9985,0.9989
5400,4.228841,0.000000,1.317987,0.0003,0.9986,0.9989
5700,4.185046,0.000000,1.314581,0.0003,0.9987,0.999
6000,4.173554,0.000000,1.312390,0.0003,0.9986,0.9989
