step,train_loss,val_bpb
200,9.410787,2.631674
400,7.686662,2.166563
600,6.709964,1.969781
800,6.209578,1.862976
1000,5.888481,1.781484
1200,5.637384,1.712918
1400,5.425224,1.656151
1600,5.256311,1.608097
1800,5.094852,1.564973
2000,4.956774,1.525594
2200,4.833062,1.489165
2400,4.711022,1.454164
2600,4.621189,1.426058
2800,4.527811,1.402333
3000,4.462656,1.384995
3200,4.410606,1.369195
3400,4.368007,1.355795
3600,4.354710,1.345161
3800,4.299324,1.336719
4000,4.266931,1.328350
4200,4.240283,1.320526
4400,4.218187,1.314535
4600,4.203101,1.307859
4800,4.166117,1.302388
5000,4.156805,1.297855
5200,4.130126,1.293118
5400,4.116307,1.288417
5600,4.107873,1.284889
5800,4.086873,1.281393
6000,4.086274,1.277373
6200,4.063634,1.273867
6400,4.053711,1.271361
6600,4.044699,1.266920
6800,4.034872,1.264241
7000,4.041194,1.261428
7200,4.020105,1.259457
7400,4.000232,1.256766
7600,4.000159,1.254304
7800,3.991487,1.252263
8000,3.983881,1.249738
8200,3.961251,1.247868
8400,3.957630,1.246023
8600,3.941978,1.244139
8800,3.937814,1.242423
9000,3.941691,1.240196
9200,3.924769,1.238373
9400,3.922677,1.236349
9600,3.916676,1.234461
9800,3.898612,1.232988
10000,3.906461,1.231752
10200,3.894643,1.230048
10400,3.911719,1.228256
10600,3.888017,1.226569
10800,3.871772,1.225547
11000,3.874767,1.223940
11200,3.869700,1.222892
11400,3.871073,1.222056
11600,3.849119,1.220882
11800,3.848150,1.219467
12000,3.840019,1.218271
12200,3.831914,1.217376
12400,3.839923,1.216379
12600,3.828746,1.215948
12800,3.822087,1.214348
13000,3.828705,1.213491
13200,3.810818,1.212917
13400,3.816761,1.212085
13600,3.806173,1.211361
13800,3.814214,1.210300
14000,3.820429,1.210152
14200,3.800600,1.209319
14400,3.795026,1.208948
14600,3.795130,1.208459
14800,3.795665,1.208048
15000,3.793220,1.207718
15200,3.785325,1.207181
15400,3.785004,1.206959
15600,3.778086,1.206736
15800,3.778713,1.206063
16000,3.773763,1.206009
