step,train_loss,val_bpb
200,9.376941,2.618883
400,7.597314,2.139399
600,6.624173,1.949333
800,6.163396,1.851578
1000,5.863725,1.777048
1200,5.626716,1.713241
1400,5.430795,1.657864
1600,5.277388,1.613268
1800,5.122823,1.574475
2000,4.997895,1.540142
2200,4.898118,1.512403
2400,4.810769,1.487085
2600,4.714741,1.459206
2800,4.636413,1.437932
3000,4.573357,1.417831
3200,4.527305,1.400149
3400,4.471425,1.389118
3600,4.422556,1.375545
3800,4.402817,1.364821
4000,4.365039,1.355748
4200,4.326164,1.344953
4400,4.298331,1.336330
4600,4.282566,1.329267
4800,4.253803,1.323627
5000,4.239350,1.317886
5200,4.228086,1.310706
5400,4.226988,1.303342
5600,4.182949,1.300203
5800,4.155929,1.294766
6000,4.143372,1.289391
6200,4.130008,1.284800
6400,4.111611,1.280965
6600,4.097845,1.278427
6800,4.097536,1.272867
7000,4.068045,1.269430
7200,4.044815,1.265772
7400,4.047555,1.264520
7600,4.029901,1.260946
7800,4.011936,1.257816
8000,4.003867,1.254563
8200,4.000262,1.251139
8400,3.986782,1.248226
8600,3.972314,1.246017
8800,3.960830,1.243126
9000,3.965604,1.240898
9200,3.949802,1.238608
9400,3.933475,1.236343
9600,3.928755,1.234254
9800,3.931733,1.231943
10000,3.911288,1.229850
10200,3.907391,1.228979
10400,3.919633,1.227177
10600,3.922555,1.223619
10800,3.887526,1.221329
11000,3.861842,1.221467
11200,3.866806,1.219123
11400,3.866147,1.217322
11600,3.851181,1.215442
11800,3.848511,1.215110
12000,3.843798,1.213170
12200,3.826386,1.211948
12400,3.819139,1.211477
12600,3.816765,1.210085
12800,3.808288,1.209108
13000,3.804640,1.207863
13200,3.796176,1.207351
13400,3.800125,1.205615
13600,3.791886,1.205324
13800,3.782445,1.204325
14000,3.781611,1.202959
14200,3.785857,1.203021
14400,3.775112,1.201721
14600,3.763527,1.201528
14800,3.765248,1.200482
15000,3.769840,1.200611
15200,3.757096,1.200026
15400,3.765640,1.199526
15600,3.790239,1.199217
15800,3.776187,1.199100
16000,3.753710,1.198660
