step,train_loss,val_bpb
200,9.369864,2.609920
400,7.578077,2.123310
600,6.599632,1.934033
800,6.141096,1.837369
1000,5.840546,1.759714
1200,5.602713,1.697951
1400,5.406735,1.638722
1600,5.253747,1.595142
1800,5.100026,1.557687
2000,4.976932,1.523906
2200,4.878917,1.497469
2400,4.795824,1.473740
2600,4.706621,1.447689
2800,4.630698,1.426495
3000,4.566197,1.403917
3200,4.519210,1.388154
3400,4.460964,1.375011
3600,4.409677,1.363375
3800,4.388132,1.351064
4000,4.349592,1.341463
4200,4.309087,1.331034
4400,4.280746,1.322088
4600,4.264932,1.313703
4800,4.236137,1.306765
5000,4.221735,1.302355
5200,4.210045,1.296461
5400,4.209146,1.287240
5600,4.164579,1.283729
5800,4.137855,1.278956
6000,4.124581,1.273061
6200,4.111628,1.267756
6400,4.093415,1.266019
6600,4.078328,1.260886
6800,4.077653,1.257186
7000,4.048243,1.254366
7200,4.023907,1.250153
7400,4.026193,1.246242
7600,4.007606,1.243615
7800,3.990016,1.240959
8000,3.982064,1.237323
8200,3.976788,1.233415
8400,3.963890,1.232004
8600,3.948273,1.230018
8800,3.936339,1.226442
9000,3.940861,1.225467
9200,3.924032,1.221571
9400,3.906919,1.220401
9600,3.902366,1.217320
9800,3.904282,1.215405
10000,3.883467,1.212058
10200,3.878621,1.211916
10400,3.890980,1.208827
10600,3.893850,1.206767
10800,3.857897,1.205336
11000,3.831944,1.202973
11200,3.835984,1.201764
11400,3.835141,1.200107
11600,3.820319,1.198874
11800,3.816714,1.197509
12000,3.812062,1.194727
12200,3.794411,1.194147
12400,3.786368,1.193073
12600,3.783452,1.190853
12800,3.774201,1.190651
13000,3.771105,1.190375
13200,3.761308,1.188489
13400,3.765321,1.186767
13600,3.757143,1.186373
13800,3.746648,1.186474
14000,3.745503,1.185823
14200,3.749221,1.185428
14400,3.738093,1.184086
14600,3.726191,1.183986
14800,3.728060,1.183278
15000,3.732071,1.182701
15200,3.719260,1.181886
15400,3.727391,1.181598
15600,3.752315,1.181094
15800,3.737876,1.180737
16000,3.715129,1.181484
