step,eval_mean_10ep,eval_std,fps
25000,264.0,38.9,321
50000,240.2,70.0,244
75000,444.5,84.6,223
100000,520.4,176.8,215
125000,934.4,262.3,212
150000,878.2,706.6,193
175000,2341.1,841.5,179
200000,2176.3,1372.1,169
225000,3676.3,702.0,163
250000,4153.0,145.0,158
275000,2250.6,1662.1,159
300000,3898.8,738.8,161
325000,4050.5,468.8,163
350000,4159.8,860.1,164
375000,3992.4,1221.5,165
400000,4567.4,85.1,166
425000,4543.8,46.7,168
450000,4825.9,122.9,169
475000,4687.8,102.3,171
500000,3564.6,2199.7,172
525000,4996.7,86.7,173
550000,4769.8,106.3,174
575000,4982.7,47.4,174
600000,3902.0,1909.0,172
625000,4344.9,1346.8,169
650000,4678.9,48.8,165
675000,4837.8,74.8,162
700000,5004.9,110.8,159
725000,4813.7,102.5,156
750000,4931.8,85.4,154
775000,4895.2,86.1,152
800000,4855.9,71.5,152
825000,4557.0,1441.8,152
850000,3944.1,1907.6,153
875000,5079.7,112.7,154
900000,5299.5,86.4,155
925000,5413.9,38.1,155
950000,5100.5,34.0,156
975000,5393.0,156.9,157
1000000,5274.6,53.7,158
