step,train_loss,val_bpb
200,8.961596,2.443927
400,7.760767,2.304338
600,7.413813,2.236430
800,7.183326,2.166655
1000,6.930763,2.082163
1200,6.746383,2.036182
1400,6.624718,2.009980
1600,6.525522,1.989406
1800,6.478916,1.976450
2000,6.438209,1.965043
2200,6.389042,1.955963
2400,6.362516,1.945711
2600,6.342549,1.935052
2800,6.306792,1.928276
3000,6.279860,1.917121
3200,6.258986,1.908643
3400,6.219074,1.905616
3600,6.219601,1.902649
3800,6.196126,1.893378
4000,6.164156,1.887584
4200,6.162769,1.883760
4400,6.152595,1.879689
4600,6.137100,1.875853
4800,6.138865,1.871893
5000,6.114854,1.866883
5200,6.084522,1.861839
5400,6.065277,1.859466
5600,6.080417,1.854285
5800,6.061714,1.854304
6000,6.052244,1.850542
6200,6.038645,1.849114
6400,6.030613,1.846430
6600,6.036014,1.842391
6800,6.023118,1.842137
7000,6.019007,1.842069
7200,6.017067,1.840516
7400,6.018957,1.839180
7600,6.002278,1.836542
7800,6.003006,1.836244
8000,5.993696,1.835597
