step,train_loss,val_bpb
200,8.959655,2.442318
400,7.761970,2.302911
600,7.396496,2.227909
800,7.128959,2.138519
1000,6.871556,2.066638
1200,6.715111,2.029026
1400,6.609330,2.007365
1600,6.517847,1.990206
1800,6.478629,1.976993
2000,6.438134,1.965148
2200,6.391925,1.957125
2400,6.364630,1.946612
2600,6.345151,1.936044
2800,6.313207,1.928808
3000,6.285565,1.918631
3200,6.263937,1.911041
3400,6.224727,1.908121
3600,6.224771,1.904915
3800,6.202096,1.897756
4000,6.169003,1.890015
4200,6.167092,1.885924
4400,6.156352,1.882713
4600,6.139161,1.876194
4800,6.139795,1.872422
5000,6.114080,1.864887
5200,6.080627,1.863266
5400,6.061033,1.859827
5600,6.074344,1.854855
5800,6.052883,1.853616
6000,6.042517,1.848206
6200,6.029540,1.846572
6400,6.017890,1.843295
6600,6.019337,1.839581
6800,6.005731,1.838042
7000,6.003190,1.835521
7200,5.997475,1.834129
7400,5.997552,1.832490
7600,5.977783,1.830008
7800,5.979603,1.828631
8000,5.969388,1.829184
