step,train_loss,val_bpb
200,8.947035,2.435320
400,7.723085,2.290653
600,7.340136,2.204656
800,7.024395,2.103131
1000,6.782792,2.046071
1200,6.650839,2.013245
1400,6.559649,1.993052
1600,6.477135,1.976952
1800,6.440305,1.964867
2000,6.402084,1.954498
2200,6.354889,1.947098
2400,6.328012,1.933595
2600,6.305761,1.924235
2800,6.267213,1.914503
3000,6.232462,1.901677
3200,6.203499,1.890845
3400,6.149531,1.884785
3600,6.140682,1.877129
3800,6.106811,1.868443
4000,6.062247,1.856308
4200,6.053488,1.850602
4400,6.037990,1.844748
4600,6.016191,1.840897
4800,6.012174,1.832892
5000,5.981562,1.825159
5200,5.945456,1.821726
5400,5.921946,1.818551
5600,5.936493,1.812184
5800,5.910851,1.810157
6000,5.901033,1.805716
6200,5.885331,1.802615
6400,5.872889,1.799618
6600,5.874532,1.795320
6800,5.861946,1.793775
7000,5.858957,1.793957
7200,5.854085,1.791749
7400,5.854198,1.789743
7600,5.831829,1.787730
7800,5.834480,1.786005
8000,5.824114,1.785208
