step,train_loss,val_bpb
200,8.589959,2.352077
400,7.565418,2.227603
600,7.002283,2.077876
800,6.723025,2.023899
1000,6.564159,1.985457
1200,6.457283,1.955939
1400,6.361088,1.928751
1600,6.253934,1.903020
1800,6.192052,1.886710
2000,6.130861,1.870091
2200,6.065596,1.855141
2400,6.035505,1.841297
2600,6.003410,1.829212
2800,5.958924,1.820074
3000,5.925052,1.807418
3200,5.896244,1.798220
3400,5.851107,1.792070
3600,5.851771,1.788993
3800,5.817014,1.779586
4000,5.776761,1.774167
4200,5.774512,1.768534
4400,5.767304,1.761737
4600,5.741937,1.757861
4800,5.739243,1.750110
5000,5.709941,1.744676
5200,5.679274,1.740332
5400,5.653857,1.736221
5600,5.672594,1.732593
5800,5.643832,1.729282
6000,5.636210,1.725773
6200,5.621709,1.722017
6400,5.605633,1.719109
6600,5.604406,1.715219
6800,5.591430,1.714202
7000,5.592164,1.713064
7200,5.588734,1.711668
7400,5.585507,1.710268
7600,5.564428,1.707515
7800,5.569186,1.705633
8000,5.558508,1.703694
